为了使提供的数据更加清晰、连贯和专业，我将对这些信息进行整理，并将其分为几个部分：首先是证书发行机构及其相关数据，其次是错误和警告的统计数据。以下是优化后的文本：

### 证书发行机构及统计数据

| 序号 | 发行机构名称 | 错误数 | 警告数 | 错误百分比 | 警告百分比 |
| --- | --- | --- | --- | --- | --- |
| 41006 | KEYNECTIS | 0.03% | 0.28% | 99.97% | - |
| 33522 | Globe Hosting | 0.96% | 99.98% | 0.02% | - |
| 32406 | Dreamcommerce S.A. | 23.95% | 0.27% | 76.05% | - |
| 28078 | Intermediate Certificate | 0.34% | 99.78% | 0.22% | - |
| 22195 | AlphaSSL | 0.14% | 99.86% | 0.14% | - |
| 21603 | FBS Inc | 4.20% | 0.03% | 95.77% | - |
| 15578 | Oracle Corporation | 6.62% | 0.25% | 93.13% | - |
| 15276 | Japan Registry Services | 0.11% | 99.89% | 0.11% | - |
| 14240 | DOMENY.PL sp. z o.o | 0.54% | 99.82% | 0.18% | - |
| 13111 | HydrantID | 1.45% | 0.02% | 98.53% | - |
| 11288 | Buypass AS-983... | 0.05% | 99.95% | 0.05% | - |
| 10746 | FIDUCIA GAD IT AG | 0.53% | 98.74% | 0.73% | - |
| 9709 | Wells Fargo | 0.03% | 99.97% | 0.03% | - |
| 9318 | AffirmTrust | 0.02% | 99.98% | 0.02% | - |
| 8631 | Foerderung | 2.52% | 97.48% | 2.52% | - |
| 8588 | Forschungsnetzes | 0.62% | 99.38% | 0.62% | - |
| 8447 | AC Camerfirma S.A. | 0.49% | 99.51% | 0.49% | - |
| 8160 | Rede Nacional de Ensino e Pesquisa - RNP | 6.94% | 93.06% | 6.94% | - |
| 7946 | NetLock Kft. | 0.05% | 99.95% | 0.05% | - |
| 7913 | TBS INTERNET | 19.78% | 80.22% | 19.78% | - |
| 6374 | EUNETIC GmbH | 0.39% | 99.61% | 0.39% | - |
| 6357 | KPN B.V. | 0.00% | 100.00% | 0.00% | - |
| 4615 | KPN Corp. Market BV | 0.00% | 100.00% | 0.00% | - |

### 其他组织及其相关数据

| 序号 | 组织名称 | 错误数 | 警告数 | 错误百分比 | 警告百分比 |
| --- | --- | --- | --- | --- | --- |
| 66 | Universitaet Stuttgart | 0.00% | 100.00% | 0.00% | - |
| 67 | Plex | 0.00% | 100.00% | 0.00% | - |
| 68 | QuoVadis Trustlink BV | 0.00% | 100.00% | 0.00% | - |
| 69 | DFN-Verein | 0.00% | 100.00% | 0.00% | - |
| 70 | Fraunhofer | 0.00% | 100.00% | 0.00% | - |
| 71 | Max-Planck-Gesellschaft | 0.00% | 100.00% | 0.00% | - |
| 72 | Swiss Government PKI | 0.00% | 100.00% | 0.00% | - |
| 73 | TeliaSonera | 0.00% | 100.00% | 0.00% | - |
| 74 | D-Trust GmbH | 0.00% | 100.00% | 0.00% | - |
| 75 | Karlsruhe Inst. of Tech. | 0.00% | 100.00% | 0.00% | - |
| 76 | Digi-Sign Limited | 0.00% | 100.00% | 0.00% | - |
| 77 | Telecom Italia Trust Technologies S.r.l. | 0.00% | 100.00% | 0.00% | - |
| 78 | Regionales Hochschulrechenzentrum Kaiserslautern | 0.00% | 100.00% | 0.00% | - |
| 79 | Consorci Oberta de Catalunya | 0.00% | 100.00% | 0.00% | - |
| 80 | Univ. Erlangen-Nuernberg | 0.00% | 100.00% | 0.00% | - |
| 81 | Site Blindado S.A. | 0.00% | 100.00% | 0.00% | - |
| 82 | GANDI SAS | 0.00% | 100.00% | 0.00% | - |
| 83 | IZENPE S.A. | 0.00% | 100.00% | 0.00% | - |
| 84 | DHIMYOTIS | 0.00% | 100.00% | 0.00% | - |
| 85 | Volusion | 0.00% | 100.00% | 0.00% | - |
| 86 | Administracio | 0.00% | 100.00% | 0.00% | - |

### 错误和警告统计

| 序号 | 证书数量 | 错误数 | 警告数 | 错误百分比 | 警告百分比 |
| --- | --- | --- | --- | --- | --- |
| 1 | 4437 | 0 | 0 | 0.00% | 100.00% |
| 2 | 4262 | 0 | 0 | 0.00% | 100.00% |
| 3 | 3246 | 0 | 0 | 0.00% | 100.00% |
| 4 | 3848 | 0 | 0 | 0.00% | 100.00% |
| 5 | 3807 | 0 | 0 | 0.00% | 100.00% |
| 6 | 3784 | 0 | 0 | 0.00% | 100.00% |
| 7 | 3721 | 0 | 0 | 0.00% | 100.00% |
| 8 | 3702 | 0 | 0 | 0.00% | 100.00% |
| 9 | 3662 | 0 | 0 | 0.00% | 100.00% |
| 10 | 3081 | 0 | 0 | 0.00% | 100.00% |
| 11 | 3054 | 0 | 0 | 0.00% | 100.00% |
| 12 | 3034 | 0 | 0 | 0.00% | 100.00% |
| 13 | 3008 | 0 | 0 | 0.00% | 100.00% |
| 14 | 2911 | 0 | 0 | 0.00% | 100.00% |
| 15 | 705 | 0 | 0 | 0.00% | 100.00% |
| 16 | 0 | 0 | 0 | 0.00% | 100.00% |
| 17 | 127 | 0 | 0 | 0.00% | 100.00% |
| 18 | 6 | 0 | 0 | 0.00% | 100.00% |
| 19 | 2 | 0 | 0 | 0.00% | 100.00% |
| 20 | 666 | 0 | 0 | 0.00% | 100.00% |
| 21 | 534 | 0 | 0 | 0.00% | 100.00% |
| 22 | 0 | 0 | 0 | 0.00% | 100.00% |
| 23 | 218 | 0 | 0 | 0.00% | 100.00% |
| 24 | 504 | 0 | 0 | 0.00% | 100.00% |
| 25 | 0 | 0 | 0 | 0.00% | 100.00% |
| 26 | 207 | 0 | 0 | 0.00% | 100.00% |
| 27 | 4 | 0 | 0 | 0.00% | 100.00% |
| 28 | 51 | 0 | 0 | 0.00% | 100.00% |
| 29 | 1398 | 0 | 0 | 0.00% | 100.00% |
| 30 | 45 | 0 | 0 | 0.00% | 100.00% |
| 31 | 0 | 0 | 0 | 0.00% | 100.00% |
| 32 | 59 | 0 | 0 | 0.00% | 100.00% |
| 33 | 417 | 0 | 0 | 0.00% | 100.00% |
| 34 | 657 | 0 | 0 | 0.00% | 100.00% |
| 35 | 160 | 0 | 0 | 0.00% | 100.00% |
| 36 | 0 | 0 | 0 | 0.00% | 100.00% |
| 37 | 1 | 0 | 0 | 0.00% | 100.00% |
| 38 | 146 | 0 | 0 | 0.00% | 100.00% |
| 39 | 0 | 0 | 0 | 0.00% | 100.00% |
| 40 | 0 | 0 | 0 | 0.00% | 100.00% |
| 41 | 421 | 0 | 0 | 0.00% | 100.00% |
| 42 | 0 | 0 | 0 | 0.00% | 100.00% |
| 43 | 377 | 0 | 0 | 0.00% | 100.00% |
| 44 | 5 | 0 | 0 | 0.00% | 100.00% |
| 45 | 0 | 0 | 0 | 0.00% | 100.00% |
| 46 | 808 | 0 | 0 | 0.00% | 100.00% |
| 47 | 1932 | 0 | 0 | 0.00% | 100.00% |
| 48 | 1534 | 0 | 0 | 0.00% | 100.00% |
| 49 | 0 | 0 | 0 | 0.00% | 100.00% |
| 50 | 830 | 0 | 0 | 0.00% | 100.00% |
| 51 | 1085 | 0 | 0 | 0.00% | 100.00% |
| 52 | 518 | 0 | 0 | 0.00% | 100.00% |
| 53 | 1298 | 0 | 0 | 0.00% | 100.00% |
| 54 | 1623 | 0 | 0 | 0.00% | 100.00% |
| 55 | 355 | 0 | 0 | 0.00% | 100.00% |
| 56 | 444 | 0 | 0 | 0.00% | 100.00% |
| 57 | 982 | 0 | 0 | 0.00% | 100.00% |
| 58 | 1 | 0 | 0 | 0.00% | 100.00% |
| 59 | 28 | 0 | 0 | 0.00% | 100.00% |
| 60 | 935 | 0 | 0 | 0.00% | 100.00% |
| 61 | 4 | 0 | 0 | 0.00% | 100.00% |
| 62 | 589 | 0 | 0 | 0.00% | 100.00% |
| 63 | 7 | 0 | 0 | 0.00% | 100.00% |
| 64 | 4 | 0 | 0 | 0.00% | 100.00% |
| 65 | 1016 | 0 | 0 | 0.00% | 100.00% |
| 66 | 0 | 0 | 0 | 0.00% | 100.00% |
| 67 | 676 | 0 | 0 | 0.00% | 100.00% |
| 68 | 2725 | 0 | 0 | 0.00% | 100.00% |
| 69 | 2576 | 0 | 0 | 0.00% | 100.00% |
| 70 | 2571 | 0 | 0 | 0.00% | 100.00% |
| 71 | 2288 | 0 | 0 | 0.00% | 100.00% |
| 72 | 2136 | 0 | 0 | 0.00% | 100.00% |
| 73 | 1957 | 0 | 0 | 0.00% | 100.00% |
| 74 | 1933 | 0 | 0 | 0.00% | 100.00% |
| 75 | 1830 | 0 | 0 | 0.00% | 100.00% |
| 76 | 1759 | 0 | 0 | 0.00% | 100.00% |
| 77 | 1704 | 0 | 0 | 0.00% | 100.00% |
| 78 | 1689 | 0 | 0 | 0.00% | 100.00% |
| 79 | 1687 | 0 | 0 | 0.00% | 100.00% |
| 80 | 1673 | 0 | 0 | 0.00% | 100.00% |
| 81 | 1623 | 0 | 0 | 0.00% | 100.00% |
| 82 | 1478 | 0 | 0 | 0.00% | 100.00% |
