    Warning	C4273	'torch::jit::tracer::addInputs': inconsistent dll linkage	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\jit\tracer.h	299	
    Warning	C4251	'torch::data::samplers::DistributedRandomSampler::all_indices_': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::data::samplers::DistributedRandomSampler'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\data\samplers\distributed.h	96	
    Warning	C4251	'torch::data::samplers::DistributedSequentialSampler::all_indices_': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::data::samplers::DistributedSequentialSampler'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\data\samplers\distributed.h	129	
    Warning	C4251	'torch::jit::script::CompilationUnit::functions_': class 'std::vector>,std::allocator>>>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\jit\script\compilation_unit.h	255	
    Warning	C4251	'torch::jit::script::CompilationUnit::dict_': class 'std::unordered_map,std::equal_to,std::allocator>>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\jit\script\compilation_unit.h	257	
    Warning	C4251	'torch::jit::script::CompilationUnit::classDict_': class 'std::unordered_map,std::equal_to,std::allocator>>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\jit\script\compilation_unit.h	258	
    Warning	C4251	'torch::jit::script::CompilationUnit::classes_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\jit\script\compilation_unit.h	265	
    Warning	C4251	'torch::serialize::InputArchive::hierarchy_prefix_': class 'std::basic_string,std::allocator>' needs to have dll-interface to be used by clients of class 'torch::serialize::InputArchive'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\serialize\input-archive.h	112	
    Warning	C4251	'torch::serialize::OutputArchive::cu_': class 'std::shared_ptr' needs to have dll-interface to be used by clients of class 'torch::serialize::OutputArchive'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\serialize\output-archive.h	78	
    Warning	C4251	'std::enable_shared_from_this::_Wptr': class 'std::weak_ptr' needs to have dll-interface to be used by clients of class 'std::enable_shared_from_this'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\module.h	62	
    Warning	C4251	'torch::nn::Module::parameters_': class 'torch::OrderedDict' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-nightly-example	c:\users\XX\documents\libtorch-nightly\include\torch\csrc\api\include\torch\nn\module.h	557	
