	- 10.25 [看我如何在Weblogic里捡一个XXE（CVE-2018-3246）](https://www.freebuf.com/vuls/186862.html)
	- 10.25 [安全研究 | 传真机的攻击面研究报告](https://www.freebuf.com/articles/paper/186769.html)
	- 10.26 [2018双十一前夕电商行业黑灰产研究报告](https://www.freebuf.com/articles/es/187600.html)
	- 10.26 [WannaMine僵而不死：假装被美国土安全局查封](https://www.freebuf.com/articles/paper/187295.html)
	- 10.27 [应用日活增长背后的黑产狂欢——安卓拉活病毒研究](https://www.freebuf.com/articles/wireless/187268.html)
	- 10.27 [ANDRAX：最新的Android智能手机上的渗透测试平台](https://www.freebuf.com/sectool/187100.html)
	- 10.27 [病毒史上的六个怪咖:逼打电玩、装萌卖可爱、找名人代言、绑架档案不要钱….](https://blog.trendmicro.com.tw/?p=57744)
	- 10.28 [保护SSH端口安全性的多种技巧介绍](https://www.freebuf.com/articles/network/185956.html)
	- 10.28 [打开JBoss的潘多拉魔盒：JBoss高危漏洞分析](https://www.freebuf.com/vuls/186948.html)
	- 10.28 [赛门铁克邮件网关身份验证绕过漏洞（CVE-2018-12242）分析](https://www.freebuf.com/vuls/187052.html)
	- 10.29 [ZombieboyMiner（僵尸男孩矿工）控制7万台电脑挖门罗币](https://www.freebuf.com/articles/paper/187556.html)
	- 10.30 [十种进程注入技术介绍：常见注入技术及趋势调查](https://www.freebuf.com/articles/system/187239.html)
	- 10.30 [收到“来自自己”的敲诈邮件，请不要惊慌](https://www.freebuf.com/articles/network/187522.html)
	- 10.30 [Fallout Exploit Kit Releases the Kraken Ransomware on Its Victims](https://securingtomorrow.mcafee.com/mcafee-labs/fallout-exploit-kit-releases-the-kraken-ransomware-on-its-victims/)
	- 10.31 [一键安装藏隐患，phpStudy批量入侵的分析与溯源](https://www.freebuf.com/articles/system/187653.html)
	- 10.31 [才发布几个小时 有黑客发现了 iOS 12.1 一个新的密码绕过漏洞](http://hackernews.cc/archives/24341)
	- 10.31 [如何使用serviceFu这款功能强大的远程收集服务帐户凭据工具](https://www.freebuf.com/sectool/187241.html)
- 0x10
	- 11.1 [自动化反弹Shell防御技术](https://www.freebuf.com/articles/system/187584.html)
	- 11.1 [低功耗蓝牙（BLE）攻击分析](https://www.freebuf.com/articles/wireless/187843.html)
