### Description of Attack Scenarios

#### **Infect Email with Executable (infect_email_exe)**
- **Description**: Sends an email containing an infected executable file.

#### **Infect Flash Drive with Executable (infect_flashdrive_exe)**
- **Description**: Mounts a drive and runs an infected executable file.

#### **Change Wallpaper via C2 (c2_change_wallpaper)**
- **Description**: Changes the wallpaper on the target host.

#### **Download Malware via C2 (c2_download_malware)**
- **Description**: Downloads malware through Meterpreter.

#### **Exfiltrate Data via C2 (c2_exfiltration)**
- **Description**: Finds and sends documents over the C&C channel.

#### **Use Mimikatz via C2 (c2_mimikatz)**
- **Description**: Obtains cached credentials using Mimikatz.

#### **Take Screenshot via C2 (c2_take_screenshot)**
- **Description**: Takes a screenshot and downloads it.

#### **Download Malware (misc_download_malware)**
- **Description**: Downloads malware from a web server.

#### **Execute Malware (misc_execute_malware)**
- **Description**: Executes a malicious binary.

#### **Exfiltrate Data (misc_exfiltration)**
- **Description**: Copies files to a removable drive.

#### **Set Autostart (misc_set_autostart)**
- **Description**: Sets an autostart in the Windows registry.

#### **SQL Injection Attack (misc_sqlmap)**
- **Description**: Performs an SQL injection attack to steal credentials.

---

### Table 5: Alerts per Rule for Exemplary Scenarios
**(Default and Best-Practice Logging Configuration)**

| **Rule Name** | **Number of Alerts (Host 1)** | **Number of Alerts (Host 2)** |
|---------------|-------------------------------|-------------------------------|
| Autorun Keys Modification | 0 | 1 |
| Direct Autorun Keys Modification | 0 | 1 |
| Meterpreter or Cobalt Strike Getsystem Service Start | 0 | 3 |
| Non Interactive PowerShell | 0 | 1 |
| Windows PowerShell Web Request | 0 | 1 |
| ET INFO EXE IsDebuggerPresent (Used in Malware Anti-Debugging) | 0 | 1 |
| ET INFO Executable Download from dotted-quad Host | 0 | 1 |
| ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download | 0 | 1 |
| ET INFO SUSPICIOUS Dotted Quad Host MZ Response | 0 | 1 |
| ET INFO SUSPICIOUS SMTP EXE - EXE SMTP Attachment | 0 | 1 |
| ET POLICY PE EXE or DLL Windows file download HTTP | 0 | 1 |
| ET SCAN Sqlmap SQL Injection Scan | 0 | 1 |
| ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server) | 0 | 1 |
| ET WEB_SERVER ATTACKER SQLi - SELECT and Schema Columns | 0 | 1 |
| ET WEB_SERVER Attempt To Access MSSQL xp_cmdshell Stored Procedure Via URI | 0 | 1 |
| ET WEB_SERVER MYSQL Benchmark Command in URI to Consume Server Resources | 0 | 1 |
| ET WEB_SERVER MYSQL SELECT CONCAT SQL Injection Attempt | 0 | 1 |
| ET WEB_SERVER Possible attempt to enumerate MS SQL Server version | 0 | 1 |
| ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION | 0 | 1 |
| ET WEB_SERVER Possible MySQL SQLi Attempt Information Schema Access | 0 | 1 |
| ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM | 0 | 1 |
| ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT | 0 | 1 |
| ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt | 0 | 1 |
| ET WEB_SERVER SQL Errors in HTTP 200 Response (error in your SQL syntax) | 0 | 1 |
| ET WEB_SERVER SQL Injection Select Sleep Time Delay | 0 | 1 |

**Note**: The table shows the results (sample mean and standard deviation, n = 10) for the two hosts on which the experiment was performed. The second host's results are highlighted with a gray background, and differences are in boldface.

---

**Source:**
Rafael Uetz, Christian Hemminghaus, Louis Hackländer, Philipp Schlipper, and Martin Henze. ACSAC '21, December 6–10, 2021, Virtual Event, USA.
