### 项目参与时间
2017年12月5日至2018年8月23日

### 主要贡献
- **担任项目经理**，负责项目的整体管理工作。
- **全面把控项目质量**，解决项目实施过程中的业务和技术难点。
- **负责平台后续优化和持续建设工作**。

### 声明
本人已核实推荐书内容及全部附件材料，确认所有内容和材料属实，并对推荐材料的真实性负责。

**签名：**
**日期：2019年 月 日**

---

## 主要完成人情况表

### 孙伟
- **性别**：男
- **排名**：4
- **出生年月**：1987年10月
- **出生地**：安徽
- **民族**：汉
- **职务**：高级经理
- **党派**：无
- **国籍**：中国
- **文化程度**：研究生
- **最高学位**：硕士
- **授予单位**：昆士兰科技大学
- **技术职称**：VP
- **专业**：系统与网络工程
- **归国人员**：是
- **工作单位**：光大证券股份有限公司
- **通讯地址**：上海市浦东新区外高桥保税区富特中路299号47号楼3楼
- **邮政编码**：200131
- **办公电话**：021-38521860
- **移动电话**：18616618383
- **身份证号**：342426198710230276
- **电子信箱**：PI:EMAIL

#### 曾获科学技术奖励情况
无

#### 对本项目的主要贡献
- **参与设计方案制定**，包括平台架构、数据架构、图库关系以及运维场景设计。
- **具体项目落地实施**：
  - 与各应用管理员确认业务关键指标，实现对业务指标的加工处理。
  - 确认操作系统、数据库、网络的关键指标，并提供采集、计算方法。
  - 各应用系统的图库设计及导入实现。
  - 验证运维场景实际效果，进行功能检查。

**声明**：本人已核实推荐书内容及全部附件材料，确认所有内容和材料属实，并对推荐材料的真实性负责。

**签名**：
**日期**：2019年 月 日

---

### 裴丹
- **性别**：男
- **排名**：5
- **出生年月**：1973年7月
- **出生地**：河北
- **民族**：汉族
- **职务**：无
- **党派**：群众
- **国籍**：中国
- **文化程度**：博士
- **最高学位**：博士
- **授予单位**：美国加州大学洛杉矶分校
- **技术职称**：长聘副教授
- **专业**：计算机
- **归国人员**：是
- **工作单位**：清华大学计算机系
- **通讯地址**：北京市海淀区清华大学东主楼9-319
- **邮政编码**：100084
- **办公电话**：010-62792837
- **移动电话**：18611106730
- **身份证号**：130203197307131517
- **电子信箱**：PI:EMAIL

#### 曾获科学技术奖励情况
- 2012年入围中组部青年千人项目
- 2018年日本大川基金奖
- 2005UCLA最佳计算机博士论文奖
- 国际会议ISSRE 2018、ICDCS最佳论文
- IWQoS 2016最佳论文提名
- 2005美国加州大学计算机系最佳博士论文

#### 对本项目的主要贡献
- **指导清华大学博士研究生、硕士研究生**，与光大证券共同研究并开发了AIOps智能运维全景化应用平台。
- 提出了新型的基于无监督学习的单指标异常检测技术。
- 首次研制了海量机器指标智能异常定位技术。
- 创新性地提出了基于自然语言处理技术的日志聚类和日志异常定位方法。
- 前瞻性地设计并搭建了智能运维知识图谱。

**声明**：本人已核实推荐书内容及全部附件材料，确认所有内容和材料属实，并对推荐材料的真实性负责。

**签名**：
**日期**：2019年10月18日

---

### 沈波
- **性别**：男
- **排名**：6
- **出生年月**：1990年1月
- **出生地**：湖北
- **民族**：汉
- **职务**：经理
- **党派**：无
- **国籍**：中国
- **文化程度**：本科
- **最高学位**：无
- **授予单位**：无
- **技术职称**：无
- **专业**：信息与计算科学
- **归国人员**：否
- **工作单位**：光大证券股份有限公司
- **通讯地址**：上海市浦东新区外高桥保税区富特中路299号47号楼3楼
- **邮政编码**：200131
- **办公电话**：021-38521957
- **移动电话**：13917155125
- **身份证号**：429004199001114716
- **电子信箱**：PI:EMAIL

#### 曾获科学技术奖励情况
无

#### 对本项目的主要贡献
- **参与大数据平台相关技术方案的设计与实现**。
- 负责数据指标的设计与采集、清洗，确认采集解析规则。
- 参与各应用系统的知识图库设计。

**声明**：本人已核实推荐书内容及全部附件材料，确认所有内容和材料属实，并对推荐材料的真实性负责。

**签名**：
**日期**：2019年 月 日

---

### 梁玫娟
- **性别**：女
- **排名**：7
- **出生年月**：1988年2月
- **出生地**：河南郑州
- **民族**：汉
- **职务**：产品总监
- **党派**：党员
- **国籍**：中国
- **文化程度**：研究生
- **最高学位**：硕士
- **授予单位**：西安电子科技大学
- **技术职称**：无
- **专业**：电子与通信工程
- **归国人员**：否
- **工作单位**：北京优特捷信息技术有限公司
- **通讯地址**：无
- **邮政编码**：无
- **办公电话**：18513600216
- **移动电话**：无
- **身份证号**：410105198802270126
- **电子信箱**：PI:EMAIL

#### 曾获科学技术奖励情况
- 以第二完成人身份申报专利17项日志搜索分析方面的发明专利。

#### 对本项目的主要贡献
- **参与数据工厂运维数据采集、存储、解析、检索与分析等功能模块的规划与设计**。
- 提供权限功能及数据归档等模块的设计参考意见，保障智能运维数据采集的实时性、准确性、完整性和可用性。
- 在具体实施工作中，对多种日志的格式化、多行日志的处理、特殊字段提取、搜索引擎SPL语句的编写等方面有贡献。
- 撰写数据工厂相关功能使用说明文档。

**声明**：本人已核实推荐书内容及全部附件材料，确认所有内容和材料属实，并对推荐材料的真实性负责。

**签名**：
**日期**： 年 月 日

---

### 李腾达
- **性别**：男
- **排名**：8
- **出生年月**：1986年3月16日
- **出生地**：黑龙江
- **民族**：汉
- **职务**：技术总监
- **党派**：无
- **国籍**：中国
- **文化程度**：本科
- **最高学位**：无
- **授予单位**：无
- **技术职称**：无
- **专业**：计算机
- **归国人员**：否
- **工作单位**：上海合胜计算机科技股份有限公司
- **通讯地址**：上海市长宁区长宁路1033号905
- **邮政编码**：200050
- **办公电话**：021-61248100
- **移动电话**：18521795858
- **身份证号**：232321198603160919
- **电子信箱**：PI:EMAIL

#### 曾获科学技术奖励情况
无

#### 对本项目的主要贡献
- **作为资深架构师参与整个项目的需求分析、设计与实施**，为项目的成功上线提供整体架构上的技术支持。
- 设计实时流计算平台框架，帮助完成项目中实时数据的聚合计算功能。
- 设计与指导智能算法场景在数据中心的落地实施。

**声明**：本人已核实推荐书内容及全部附件材料，确认所有内容和材料属实，并对推荐材料的真实性负责。

**签名**：
**日期**： 年 月 日

---

## 主要完成单位情况表
- **单位名称**：光大证券股份有限公司
