### Summary of the Contributions of Each Publication

| Citation | Summary of Contributions |
|----------|--------------------------|
| Dos Santos et al. [37] | Presented a dynamic risk-based model for a highly scalable system in a cloud federation, along with a prototype implementation to demonstrate its effectiveness. |
| Khambhammettu et al. [6] | Proposed a framework based on subject trustworthiness, object sensitivity, and the difference between them using a risk assessment. The framework requires an experienced system administrator to provide metrics for each input. |
| Li et al. [24] | Utilized a fuzzy logic system to estimate the risk associated with access to healthcare information, considering action severity, data sensitivity, and risk history. A fuzzy risk metric is assigned to each factor to decide on access. |
| Burnett et al. [53] | Introduced a trust and risk-aware access control model that provides policy coverage and dynamic access decisions. Defined a zone policy model for data owner control and used subjective logic for trust assessment. Risk estimation was done using expected loss in terms of unwanted disclosure. |
| Babu and Bhanu [45] | Proposed a trust and risk-based access control model for cloud computing, combining security risk and trust to create an efficient and scalable access control system. |
| Choi et al. [23] | Presented a context-sensitive risk-based model for medical information systems, categorizing information to calculate risk value and applying it through treatment-based permission profiling. Access decisions are based on the severity of the context and treatment. |
| Namitha et al. [31] | Implemented a risk-based access control model based on user features such as years of experience, designation, defect level, location index, time index, and probationary period. The risk value is estimated using a mathematical function. |
| Armando et al. [56] | Proposed a framework integrating risk and trust to provide access decisions. Access is granted if the trust value exceeds the risk value. The paper also presented mitigation strategies to increase trust and reduce risk. |
| Diaz-Lopez et al. [30] | Presented a risk-based access control model adopting dynamic countermeasures to adjust to changes in the risk value of system resources. Used genetic algorithms to build suitable countermeasures. |
| Dos Santos et al. [1] and Dos Santos et al. [22] | Proposed a risk-based access control model using quantified risk and predetermined risk policies. A prototype was created using risk metrics from Sharma et al. [40]. Extended in [22] to develop an ontology-based method for estimating risk value and adjusting risk metrics. |
| Metoui et al. [49] and Metoui et al. [52] | Proposed a risk-aware framework combining privacy risk and user trust to identify threats. Access is granted if user trust exceeds privacy risk. Extended in [52] to implement risk estimation based on privacy risk and user trust, and introduced adaptive adjustment strategies. |
| Atlam et al. [41], Atlam et al. [42], and Atlam and Wills [29] | Proposed a dynamic and adaptive risk-based access control model using user context, resource sensitivity, action severity, and risk history. Used smart contracts to track user behavior and prevent malicious actions. Extended in [42] to validate the model with 20 security experts and discussed risk estimation techniques. Further extended in [29] to use the fuzzy logic system with expert judgment for risk estimation. |
| Atlam et al. [9] | Introduced eXtensible Access Control Markup Language (XACML) for implementing access control policies in IoT systems and adopted XACML to build access policies for the risk-based access control model. |
| Atlam et al. [43] | Provided an overview of risk estimation techniques in risk-based access control for IoT, discussing the benefits and drawbacks of various quantitative methods. |
| Dankar et al. [54] | Proposed a conceptual risk-aware model using real-time and contextual information to make access decisions, and implemented mitigation measures for high-risk access requests. |
| Rahmati et al. [51] | Introduced a risk-based access control model called Tyche, which classifies applications into risk groups and assigns permissions based on the risk value. |

### Research Question 2: What are the risk factors used to build risk-based access control models?

One of the essential components of a risk-based access control model is the selection of effective risk factors that determine access decisions efficiently. Various risk factors can be used to estimate the risk value associated with an access request, enabling dynamic and efficient access decisions. To address this research question, we reviewed recent risk-based access control models and provided a brief overview of the risk factors used. These factors are summarized in Table 5.

#### Overview of Risk Factors

- **Subject Clearance (Role)**: Represents the subject's security level, typically assigned by the system administrator. Common clearances include Top Secret, Secret, Confidential, and no clearance. Higher clearance levels correspond to lower risk values.
- **Resource Sensitivity**: Describes the sensitivity level of the resource being accessed. Higher sensitivity levels result in higher risk values.
- **Action Severity**: Characterizes the cost of a particular action on a resource in terms of confidentiality, integrity, and availability. Different actions have different consequences and thus different risk values.
- **Risk History**: Represents the user's previous risk values for a specific resource, useful for predicting future behavior.
- **Trust**: Similar to risk history, it represents the user's trust toward a resource. Trust is categorized into identity and behavioral trust, with only behavioral trust used in risk-based access control models.
- **Benefits of User**: Describes the advantages or privileges the user will gain if access is granted, and the potential damage if access is denied.
- **Outcomes of Actions**: The access control system evaluates the outcomes of actions in specific contexts (principal, environment, and resource) to estimate the associated risk.
- **Context**: Real-time and environmental information collected during the access request, such as location and time, to specify the security risk value.
- **Access Policies**: Designed by the resource owner or security administrator to define the conditions for granting or denying access. In a risk-based model, the estimated risk value is compared against these policies to make access decisions.

#### Table 5: Risk Factors Used in Retrieved/Analyzed Publications

| Citation | Benefits of User | Action Severity | Resource Sensitivity | Outcomes of Actions | Context | Trust | Risk History | Access Policies | Role |
|----------|------------------|-----------------|----------------------|---------------------|---------|-------|--------------|----------------|------|
| Ricardo et al. [22] | - | √ | - | - | - | - | - | - | - |
| Chen et al. [4] | √ | - | - | - | - | - | - | - | - |
| Diep et al. [20] | - | √ | - | √ | - | - | - | - | - |
| Dos Santos et al. [1] | - | - | - | - | - | - | - | - | - |
| Choi et al. [23] | - | - | √ | - | - | - | - | - | - |
| Khambhammettu et al. [6] | - | - | - | - | - | - | - | - | - |
| Li et al. [24] | - | - | √ | - | - | - | - | - | - |
| Baracaldo and Joshi [26] | - | - | - | - | - | - | - | - | - |
| Kandala et al. [27] | - | - | - | - | - | - | - | - | - |
| Lee et al. [28] | - | - | - | - | - | - | - | - | - |
| Atlam and Wills [29] | - | - | - | - | √ | - | - | - | - |
| Diaz-Lopez et al. [30] | - | - | - | - | - | - | - | - | - |
| Shaikh et al. [5] | - | - | - | - | - | - | - | - | - |
| Wang & Jin [15] | - | - | - | - | - | - | - | - | - |
| Namitha et al. [31] | - | - | - | - | - | - | - | - | - |
| McGraw et al. [32] | - | - | - | - | - | - | - | - | - |
| Molloy et al. [33] | - | - | - | - | - | - | - | - | - |
| Ni et al. [34] | - | - | - | - | - | - | - | - | - |
| Abie and Balasingham [35] | - | - | - | - | - | - | - | - | - |
| Shaikh et al. [36] | - | - | - | - | - | - | - | - | - |
| Dos Santos et al. [37] | - | - | - | - | - | - | - | - | - |
| Molloy et al. [38] | - | - | - | - | - | - | - | - | - |
| Rajbhandari and Snekkenes [39] | - | - | - | - | - | - | - | - | - |
| Sharma et al. [40] | - | - | - | - | - | - | - | - | - |
| Atlam et al. [41] | - | - | - | - | √ | - | - | - | - |
| Atlam et al. [42] | - | - | - | - | - | - | - | - | - |
| Molloy et al. [44] | - | - | - | - | - | - | - | - | - |
| Babu and Bhanu [45] | - | - | - | - | - | - | - | - | - |

This table and the accompanying text provide a comprehensive overview of the risk factors used in recent risk-based access control models, highlighting their importance and application in making efficient and secure access decisions.
