 CONNLMT_IPV6_RECOVER,RcvIfName(1023)=[STRING];Protocol(1001)=[STRING];SrcIPv6Addr(1036)=[IPADDR];DstIPv6Addr(1037)=[IPADDR];ServicePort(1071)=[UINT16];RcvVPNInstance(1042)=[STRING];SndVPNInstance(1043)=[STRING];SndDSLiteTunnelPeer(1041)=[STRING];DropPktCount(1052)=[UINT32];LowerLimit(1050)=[UINT32];LimitRuleNum(1051)=[UINT16];Event(1048)=[STRING];,$1：全局或接口名称   $2：传输层协议类型   $3：源IPv6地址   $4：目的IPv6地址   $5：服务端口号   $6：源VPN名称   $7：目的VPN名称   $8：对端隧道ID   $9：丢包数   $10：下限值   $11：规则ID   $12：Event信息,6,CONNLMT/6/CONNLMT_IPV6_RECOVER: RcvIfName(1023)=Global;Protocol(1001)=;SrcIPAddr(1003)=2001::1;DstIPAddr(1007)=;ServicePort(1071)=;RcvVPNInstance(1042)=;SndVPNInstance(1043)=;SndDSLiteTunnelPeer(1041)=;DropPktCount(1052)=306004;LowerLimit(1050)=10;LimitRuleNum(1051)=1;Event(1048)=Reduces   below lower threshold;,当连接数的并发数从达到上限恢复到下限时触发日志输出,无
 BOARD_REBOOT,Board is rebooting on [STRING].,$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）,5,DEV/5/BOARD_REBOOT: Board is rebooting on   slot 2. （分布式设备－独立运行模式）（集中式IRF设备）,用户在重启指定slot，或者指定slot因为异常而重启,1.检查是否有用户在重启指定slot   2.如果没有用户重启，等待指定slot重新启动后，通过display version命令、对应指定slot信息中的Last reboot reason字段，查看重启原因   3.如果重启原因为异常重启，请联系技术支持
 BOARD_REMOVED,"Board was removed from [STRING], type is [STRING].",$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：单板类型,3,"DEV/3/BOARD_REMOVED: Board was removed   from slot 2, type is LSQ1FV48SA.（分布式设备－独立运行模式）（集中式IRF设备）",一块LPU或者备用MPU被拔出。设备退出IRF,1.检查对应单板是否插紧   2.检查对应单板是否损坏   3.重新插入单板或更换单板   4.重新将设备加入IRF
 BOARD_STATE_FAULT,"Board state changed to Fault on [STRING],   type is [STRING].",$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：单板类型,2,"DEV/2/BOARD_STATE_FAULT: Board state   changed to Fault on slot 2, type is LSQ1FV48SA.（分布式设备－独立运行模式）（集中式IRF设备）",单板在以下情况会处于Fault（故障）状态：   ·单板处于启动阶段（正在初始化或者加载软件版本），单板不可用   ·单板不能正常工作,根据日志产生的情况，处理建议如下：   ·对于第一种情况：单板型号不同，加载的软件版本不同，启动所需的时间不同。一般不超过10分钟，请以设备的实际情况为准   ·对于第二种情况：请联系技术支持
 BOARD_STATE_NORMAL,"Board state changed to Normal on [STRING],   type is [STRING].",$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：单板类型,5,"DEV/5/BOARD_STATE_NORMAL: Board state   changed to Normal on slot 1, type is LSQ1FV48SA.（分布式设备－独立运行模式）（集中式IRF设备）",一块新插入的LPU或者备用MPU完成了初始化,无
 CFCARD_INSERTED,CF card was inserted in [STRING] CF card   slot [INT32].,$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：CF卡所在的槽位号,4,DEV/4/CFCARD_INSERTED: CF card was   inserted in slot 2 CF card slot 1.（分布式设备－独立运行模式）（集中式IRF设备）,一块CF卡安装到了指定槽位,无
 CFCARD_REMOVED,CF card was removed from [STRING] CF card   slot [INT32].,$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：CF卡所在的槽位号,3,DEV/3/CFCARD_REMOVED: CF card was removed   from slot 2 CF card slot 1.（分布式设备－独立运行模式）（集中式IRF设备）,一块CF卡被拔出,1.检查CF卡是否插紧   2.检查CF卡是否损坏   3.重新安装CF卡或更换CF卡
 CHASSIS_REBOOT,Chassis [INT32] is rebooting now.,$1：设备在IRF中的成员编号,5,DEV/5/CHASSIS_REBOOT: Chassis 1 is rebooting   now.,用户在重启成员设备，或者成员设备因为异常而重启,1.检查是否有用户在重启成员设备   2.如果没有用户重启，等待成员设备重新启动后，通过display version命令、对应成员设备单板信息中的Last reboot   reason字段，查看重启原因   3.如果重启原因为异常重启，请联系技术支持
 DEV_CLOCK_CHANGE,-User=[STRING]-IPAddr=[IPADDR]; System   clock changed from [STRING] to [STRING].,$1：当前登录用户的用户名   $2：当前登录用户的IP地址   $3：老时间   $4：新时间,5,DEV/5/DEV_CLOCK_CHANGE: -User=admin-IPAddr=192.168.1.2;   System clock changed from 15:49:52 01/02/2013 to 15:50:00 01/02/2013.,系统时间发生了变更,无
 DEV_FAULT_TOOLONG,Card in [STRING] is still in Fault state for   [INT32] minutes.,$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：状态的持续时间,4,DEV/4/DEV_FAULT_TOOLONG: Card in slot 2   is still in Fault state for 60 minutes. （分布式设备－独立运行模式）（集中式IRF设备）,单板长期处于Fault状态,1.重启单板尝试恢复   2.联系工程师分析解决
 DYINGGASP,Power failure or manual power-off   occurred.,无,0,DYINGGASP/0/DYINGGASP: Power failure or   manual power-off occurred.,设备掉电，发送断电告警,1.检查设备电源连接是否正确   2.如果为电源模块故障，请更换电源模块   3.联系工程师定位解决
 FAN_ABSENT,Fan [INT32] is absent.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   Chassis [INT32] fan [INT32] is absent.（分布式设备－IRF模式）,$1：风扇ID（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：设备在IRF中的成员编号（分布式设备－IRF模式）   $2：风扇ID（分布式设备－IRF模式）,3,DEV/3/FAN_ABSENT: Fan 2 is absent.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）,指定位置没有风扇，或风扇被拔出,1.如果指定位置没有风扇，则可能因散热不好，引起设备温度升高，建议安装风扇   2.如果有风扇，检查风扇框是否插紧   3.检查风扇框是否损坏   4.重新安装风扇框或更换风扇框
