以下是优化后的文本，使其更加清晰、连贯和专业：

| 平台 | 战术 | 技术 | 详细描述 | 检测方法 |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows, AWS, GCP, Azure | [发现](https://attack.mitre.org/tactics/discovery/) | [系统网络连接发现](https://attack.mitre.org/techniques/T1049/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 `net use` 进行内部系统发现，并使用 `quser.exe` 识别受害者现有的 RDP 会话。 | 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [发现](https://attack.mitre.org/tactics/discovery/) | [系统网络配置发现](https://attack.mitre.org/techniques/T1016/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 `nbtscan` 发现易受攻击的系统。 | 进程监控, 进程命令行参数 |
| Linux, macOS, Windows, AWS, GCP, Azure, Office 365, SaaS, Azure AD | [防御规避](https://attack.mitre.org/tactics/defense-evasion/), [持久化](https://attack.mitre.org/tactics/persistence/) | [冗余访问](https://attack.mitre.org/techniques/T1108/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 在入侵过程中部署了备用 Web Shell，并获取了 OWA 账户凭证，随后用于在被驱逐后重新获得访问权限。 | Office 365 账户日志, Azure 活动日志, AWS CloudTrail 日志, Stackdriver 日志, 进程监控, 进程网络使用, 数据包捕获, 网络协议分析, 文件监控, 认证日志, 二进制文件元数据 |
| Windows | [执行](https://attack.mitre.org/tactics/execution/), [横向移动](https://attack.mitre.org/tactics/lateral-movement/) | [Windows 远程管理](https://attack.mitre.org/techniques/T1028/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 WinRM 启用远程执行。 | 文件监控, 认证日志, Netflow/Enclave netflow, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows, Office 365, Azure AD | [发现](https://attack.mitre.org/tactics/discovery/) | [账户发现](https://attack.mitre.org/techniques/T1087/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 `net user` 进行内部系统发现。 | Azure 活动日志, Office 365 账户日志, API 监控, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [权限提升](https://attack.mitre.org/tactics/privilege-escalation/) | [利用以进行权限提升](https://attack.mitre.org/techniques/T1068/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 CVE-2014-6324 进行权限提升。 | Windows 错误报告, 进程监控, 应用程序日志 |
| Windows | [执行](https://attack.mitre.org/tactics/execution/) | [PowerShell](https://attack.mitre.org/techniques/T1086/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 使用 PowerShell 进行执行。 | PowerShell 日志, 加载的 DLL, DLL 监控, Windows 注册表, 文件监控, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [防御规避](https://attack.mitre.org/tactics/defense-evasion/) | [文件删除](https://attack.mitre.org/techniques/T1107/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 删除了现有日志并从受害者处窃取了文件存档。 | 文件监控, 进程命令行参数, 二进制文件元数据 |
| Windows | [防御规避](https://attack.mitre.org/tactics/defense-evasion/) | [网络共享连接移除](https://attack.mitre.org/techniques/T1126/) | [威胁组-3390](https://attack.mitre.org/groups/G0027) 在窃取文件后断开网络共享连接，可能为了逃避检测。 | 进程监控, 进程命令行参数, 数据包捕获, 认证日志 |
