以下是优化后的文本，使其更加清晰、连贯和专业：

| 平台 | 战术 | 技术 | OilRig 的活动 | 检测方法 |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | [发现](https://attack.mitre.org/tactics/discovery/) | [进程发现](https://attack.mitre.org/techniques/T1057/) | OilRig 在受害者机器上运行了 `tasklist` 命令。 | 进程监控, 进程命令行参数 |
| Windows | [执行](https://attack.mitre.org/tactics/execution/) | [PowerShell](https://attack.mitre.org/techniques/T1086/) | OilRig 使用 PowerShell 脚本进行执行，包括使用宏来运行 PowerShell 命令以解码文件内容。 | PowerShell 日志, 加载的 DLL, DLL 监控, Windows 注册表, 文件监控, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [命令与控制](https://attack.mitre.org/tactics/command-and-control/) | [自定义命令与控制协议](https://attack.mitre.org/techniques/T1094/) | OilRig 使用自定义 DNS 隧道协议进行 C2 通信。 | 数据包捕获, Netflow/Enclave netflow, 进程网络使用, 进程监控, 主机网络接口, 网络入侵检测系统, 网络协议分析 |
| Windows | [防御规避](https://attack.mitre.org/tactics/defense-evasion/) | [解混淆/解码文件或信息](https://attack.mitre.org/techniques/T1140/) | OilRig 宏运行了一个 PowerShell 命令来解码文件内容。OilRig 还使用了 `certutil` 来解码受害者机器上的 base64 编码文件。 | 文件监控, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [横向移动](https://attack.mitre.org/tactics/lateral-movement/) | [远程服务](https://attack.mitre.org/techniques/T1021/) | OilRig 使用 Putty 访问被攻陷的系统。 | 认证日志 |
| Linux, Windows, macOS | [命令与控制](https://attack.mitre.org/tactics/command-and-control/) | [备用通道](https://attack.mitre.org/techniques/T1008/) | 如果 OilRig 恶意软件 ISMAgent 无法通过 HTTP 达到 C2 服务器，则会回退到其 DNS 隧道机制。 | 恶意软件逆向工程, Netflow/Enclave netflow, 数据包捕获, 进程监控, 进程网络使用 |
| Linux, macOS, Windows, AWS, GCP, Azure, Office 365, SaaS, Azure AD | [防御规避](https://attack.mitre.org/tactics/defense-evasion/), [持久化](https://attack.mitre.org/tactics/persistence/) | [冗余访问](https://attack.mitre.org/techniques/T1108/) | OilRig 使用 RGDoor 通过 Web Shell 建立冗余访问。该组织还使用收集到的凭据访问互联网可访问的资源，如 Outlook Web Access，用于冗余访问。 | Office 365 账户日志, Azure 活动日志, AWS CloudTrail 日志, Stackdriver 日志, 进程监控, 进程网络使用, 数据包捕获, 网络协议分析, 文件监控, 认证日志, 二进制文件元数据 |
| Linux, macOS, Windows, Office 365, Azure AD | [发现](https://attack.mitre.org/tactics/discovery/) | [权限组发现](https://attack.mitre.org/techniques/T1069/) | OilRig 使用 `net group /domain`, `net localgroup administrators`, `net group “domain admins” /domain`, 和 `net group “Exchange Trusted Subsystem” /domain` 来查找受害者的权限组设置。 | Azure 活动日志, Office 365 账户日志, API 监控, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [防御规避](https://attack.mitre.org/tactics/defense-evasion/), [执行](https://attack.mitre.org/tactics/execution/) | [脚本](https://attack.mitre.org/techniques/T1064/) | OilRig 使用各种类型的脚本进行执行，包括 .bat 和 .vbs 脚本。该组织还使用宏来传递恶意软件，如 QUADAGENT 和 OopsIE。 | 进程监控, 文件监控, 进程命令行参数 |
| Linux, macOS, Windows, AWS, GCP, Azure | [发现](https://attack.mitre.org/tactics/discovery/) | [系统信息发现](https://attack.mitre.org/techniques/T1082/) | OilRig 在受害者机器上运行了 `hostname` 和 `systeminfo` 命令。 | Azure 活动日志, Stackdriver 日志, AWS CloudTrail 日志, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | [收集](https://attack.mitre.org/tactics/collection/) | [自动化收集](https://attack.mitre.org/techniques/T1119/) | OilRig 使用自动化收集技术。 | 文件监控, 数据丢失防护, 进程命令行参数 |
