以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 配置说明

1. **配置字段名称**
   - 从源中拖动并选择IP地址，并在“字段名称”文本框中输入`src`。
   - 拖动并选择单词`Failed`或`Accepted`，并在“字段名称”文本框中输入`auth_status`。
   - 检查提取的内容是否只包含`Failed`、`failed`或`Accepted`。

2. **提取用户名**
   - 拖动并选择用户名，并在“字段名称”文本框中输入`user`。
   - 如果有缺失的事件或错误提取的事件，请进行调整。

3. **调整正则表达式**
   - 调整正则表达式以避免错误提取。确保提取的数据不包含`invalid`或`user`。
   - 正则表达式应以`user`或`for`开头，并将结果放入字段`user`中。
   - 示例正则表达式：`(?i)(user|for)(?!invalid|user)[^ ]+`

4. **验证并保存字段**
   - 验证并保存字段`user`。
   - 使用计算字段将`auth_status`规范化为字段`action`。
   - 计算字段示例：`if(auth_status=="Accepted","success","failure")`
   - 验证字段和值。

5. **使用标签链接数据模型**
   - 创建标签`authentication`。
   - 验证标签。
   - 使用Pivot验证。

6. **客户要求**
   - IT部门需要以下信息：
     - 多少次失败登录使用了未知用户名？
     - 多少次失败登录使用了已知用户名？
     - 失败登录的趋势。

7. **保存到仪表板**
   - 保存“失败登录-未知用户名”到仪表板。
   - 保存“失败登录-已知用户名”到仪表板。
   - 保存“失败登录趋势”到仪表板。

8. **感谢**

---

希望这能帮助你更好地理解和执行配置步骤。如果有任何进一步的问题，请随时联系我。
