### Objective-C: Accessing the App’s Keychain

```objc
objc_msgSend(*((void **)v6 + 1), "setObject:forKey:", v4, kSecAttrGeneric, v12, v13, v14);
if (v5) {
    objc_msgSend(*((void **)v6 + 1), "setObject:forKey:", v5, kSecAttrAccessGroup, v12);
}
```
**Figure 16:** Sample Code III (Accessing the app’s keychain).

### Android: Permission Evasion

```java
@android.webkit.JavascriptInterface
public void startBlow(String paramString) {
    LogUtil.addLog("js startblow");
    int i = this.context.checkCallingOrSelfPermission("android.permission.RECORD_AUDIO") == 0 ? 1 : 0;
    if ((this.oldSdkListener != null) && (i != 0)) {
        this.oldSdkListener.startBlow();
    }
}
```
**Figure 18:** Sample Code V (Permission evasion).

### Table of Libraries and Their Variations on Android

| Library            | # Variations | # Pha Variations |
|--------------------|--------------|------------------|
| admob              | 3            | 7                |
| admogo             | 1            | 3                |
| adpooh             | 3            | 1                |
| adsdk              | 16           | 1                |
| adsense            | 1            | 2                |
| adsmogo            | 1            | 6                |
| adwo               | 2            | 12               |
| adzhidian          | 2            | 3                |
| airpush            | 6            | 11               |
| androidannotations | 4            | 11               |
| androidnative      | 2            | 3                |
| androidsoft        | 33           | 4                |
| ansca              | 11           | 11               |
| appchina           | 8            | 3                |
| apperhand          | 3            | 2                |
| appﬂood            | 2            | 2                |
| applovin           | 5            | 11               |
| Bigfool            | 3            | 1                |
| bugsnag            | 1            | 7                |
| callﬂakessdk       | 2            | 2                |
| cczdt              | 1            | 2                |
| cdfg               | 1            | 2                |
| clevernet          | 3            | 24               |
| cnzz               | 3            | 2                |
| content            | 1            | 2                |
| daoyoudao          | 10           | 1                |
| dash               | 1            | 1                |
| deﬁne              | 1            | 1                |
| demo               | 1            | 1                |
| disneymobile       | 1            | 1                |
| dlnetwork          | 1            | 1                |
| domob              | 1            | 1                |
| esotericsoftware   | 1            | 1                |
| feiwo              | 2            | 1                |
| feiwoone           | 1            | 2                |
| ﬁvefeiwo           | 1            | 3                |
| ﬂip                | 1            | 1                |
| framework          | 1            | 1                |
| gamesalad          | 8            | 17               |
| gfan               | 3            | 13               |
| giderosmobile      | 4            | 11               |
| greenrobot         | 2            | 1                |
| http               | 2            | 2                |
| igexin             | 9            | 17               |
| imadpush           | 2            | 25               |
| imax               | 3            | 12               |
| imgview            | 24           | 2                |
| inapp              | 8            | 22               |
| jcraft             | 9            | 1                |
| jirbo              | 1            | 1                |
| joymeng            | 5            | 5                |
| jpush              | 5            | 11               |
| k99k               | 4            | 2                |
| kobjects           | 2            | 14               |
| ksoap2             | 6            | 7                |
| kxml2              | 7            | 10               |
| kyview             | 4            | 4                |
| Leadbolt           | 2            | 1                |
| letang             | 1            | 1                |
| lidroid            | 1            | 1                |
| livegame           | 1            | 1                |
| lotuseed           | 1            | 1                |
| lthj               | 1            | 1                |
| mappn              | 1            | 1                |
| margaritov         | 1            | 1                |
| measite            | 1            | 1                |
| mobclick           | 1            | 1                |
| mobiSage           | 1            | 1                |
| mobiware           | 1            | 1                |
| mongodb            | 1            | 1                |
| MoreGames          | 1            | 1                |
| neatplug           | 1            | 1                |
| newqm              | 1            | 1                |
| ning               | 1            | 1                |
| novell             | 1            | 1                |
| opengl             | 1            | 1                |
| pad                | 1            | 1                |
| payment            | 1            | 1                |
| paypal             | 1            | 1                |
| phonegap           | 1            | 1                |
| pkeg               | 1            | 1                |
| platoevolved       | 1            | 1                |
| plugin             | 1            | 1                |
| prime31            | 1            | 1                |
| qumi               | 1            | 1                |
| rabbit             | 1            | 1                |
| revmob             | 1            | 1                |
| RMjDRvkz           | 1            | 1                |
| rrgame             | 1            | 1                |
| screensaver        | 1            | 1                |
| secapk             | 1            | 1                |
| senddroid          | 1            | 1                |
| sharesdk           | 1            | 1                |
| skplanet           | 1            | 1                |
| surprise           | 1            | 1                |
| swiftp             | 1            | 1                |
| tool               | 1            | 1                |
| umpay              | 1            | 1                |
| unisocial          | 1            | 1                |
| unity3d            | 1            | 1                |
| uucun              | 1            | 1                |
| v1 4               | 1            | 1                |
| vpon               | 1            | 1                |
| vserv              | 1            | 1                |
| wanpu              | 1            | 1                |
| waps               | 1            | 1                |
| wapsad             | 1            | 1                |
| widget             | 1            | 1                |
| winsmedia          | 1            | 1                |
| wrapper            | 1            | 1                |
| yoyogames          | 1            | 1                |
| yrkfgo             | 1            | 1                |
| zhuamob            | 1            | 1                |
| zkmm               | 1            | 1                |
| zong               | 1            | 1                |
| zywx               | 1            | 1                |

**Table VIII:** Libraries on Android and their variations.

---

**Note:** This document is authorized for licensed use limited to IEEE Xplore. Downloaded on March 18, 2021, at 12:16:50 UTC from IEEE Xplore. Restrictions apply.
