 PROCESS_ABNORMAL,The process [STRING] exited abnormally.,$1：进程名,5,SCM/5/PROCESS_ABNORMAL: The process devd   exited abnormally.,服务异常退出,1.通常情况下，进程异常退出后，会立即自动重启。可使用display process命令查看进程是否存在。如果进程存在，则进程已恢复   2.如果进程未恢复，请搜集以下信息：   在probe视图下，执行view   /var/log/trace.log  trace.log，然后将设备存储目录下的trace.log文件通过FTP或TFTP功能，上传到服务器   display process log命令查看进程信息，如果core字段显示为Y，则表示进程退出时产生core文件   如果产生core文件，请使用display exception context命令搜集进程异常信息，并将该异常信息保存到一个文件中；通过display exception filepath命令查看core文件目录，并通过FTP或TFTP功能，将core文件和记载了异常信息的文件上传到服务器   联系工程师，将上述文件，发送给工程师进行分析，并保留现场，以便工程师进行进一步分析定位   3.如果进程已恢复，但仍需要定位进程异常退出的原因，请执行第二步   当使用FTP功能将文件上传到服务器时，请使用binary传输模式
 PROCESS_ACTIVEFAILED,"The standby process [STRING] failed to   switch to the active process due to uncompleted synchronization, and was   restarted.",$1：进程名,4,"SCM/4/PROCESS_ACTIVEFAILED: The standby   process [STRING] failed to switch to the active process due to uncompleted synchronization,   and was restarted.",备用进程还未完成同步时主进程意外退出，导致备进程倒换成主进程失败。进程重启,无
 SCM_ABNORMAL_REBOOT,The process [STRING] can't be restored.   Reboot now.（集中式设备）   The process [STRING] can't be restored.   Reboot [STRING] now.（分布式设备－独立运行模式）（集中式IRF设备）（分布式设备－IRF模式）,$1：进程名   $2：单板所在的槽位号，形如slot xx（分布式设备－独立运行模式）   $2：设备在IRF中的成员编号，形如slot xx（集中式IRF设备）   $2：单板在IRF中的槽位号，形如chassis xx slot xx（分布式设备－IRF模式）,3,SCM/3/SCM_ABNORMAL_REBOOT: The process ipbased   can't be restored. Reboot slot 2 now.（分布式设备－独立运行模式）（集中式IRF设备）,进程在设备启动过程中，异常退出，尝试自动重启多次后，仍不能恢复，则自动重启设备。（集中式设备）   进程在指定slot启动过程中，异常退出，尝试自动重启多次后，仍不能恢复，则系统会自动重启指定slot。（分布式设备－独立运行模式）（集中式IRF设备）（分布式设备－IRF模式）,1.等单板重启后，使用display process命令查看进程是否恢复   2.若多次重启后仍不能恢复，联系工程师解决
 SCM_ABNORMAL_REBOOTMDC,The process [STRING] in [STRING] [UINT16]   can't be restored. Reboot [STRING] [UINT16] now.,$1：进程名   $2：取值为MDC或Context   $3：MDC或Context的编号   $4：取值为MDC或Context   $5：MDC或Context的编号,3,SCM/3/SCM_ABNORMAL_REBOOTMDC: The process   ipbased in MDC 2 can't be restored. Reboot MDC 2 now.,在主用主控板上的用户MDC的在启动过程中，或者在引擎组中主引擎上的Context启动过程中，进程异常退出，尝试自动重启多次后，仍不能恢复，则重启此MDC或Context。此日志在MDC 1或Context 1中输出,1.等单板重启后，使用display process命令查看进程是否恢复   2.若多次重启后仍不能恢复，联系工程师解决
 SCM_ABORT_RESTORE,"The process [STRING] can't be restored,   abort it.",$1：进程名,3,"SCM/3/SCM_ABORT_RESTORE: The process ipbased   can't be restored, abort it.",进程在系统运行中异常退出，尝试自动重启多次后，仍不能恢复，系统放弃恢复该进程,1.任意视图下执行display process log命令查看进程退出详细信息   2.重启异常进程所在单板或MDC，尝试恢复   3.提供display process log命令的显示信息，联系工程师解决
 SCM_INSMOD_ADDON_TOOLONG,Failed to finish loading [STRING] in [UINT32]   minutes.,$1：内核文件的名称   $1：已加载时间,4,SCM/4/SCM_INSMOD_ADDON_TOOLONG: Failed to   finish loading addon.ko in 30 minutes.,设备启动过程中加载内核文件超时,1.重启单板，尝试恢复   2.联系工程师解决
 SCM_KERNEL_INIT_TOOLONG,Kernel init in sequence [STRING] function   [STRING] failed to finish in [UINT32] minutes.,$1：内核事件的阶段   $2：内核事件阶段对应的函数的地址   $3：所用时间,4,SCM/4/SCM_KERNEL_INIT_TOOLONG: Kernel init   in sequence 0x25e7 function 0x6645ffe2 failed to finish in 15 minutes.,内核初始化时，某个阶段某函数运行时间过长,1.重启单板，尝试恢复   2.联系工程师解决
 SCM_PROCESS_STARTING_TOOLONG,The process [STRING] on [STRING] [UINT16]   has not finished starting in [UINT32] hours.,$1：进程名   $2：取值为MDC或Context（不支持MDC或者Context的设备，不会输出该信息）   $3：MDC或Context编号（不支持MDC或者Context的设备，不会输出该信息）   $4：所用时间,4,SCM/4/ SCM_PROCESS_STARTING_TOOLONG: The   process ipbased on MDC 2 has not finished starting in 1 hours.,进程长时间未启动完成。可能是因为配置太多导致进程启动慢，也可能是进程异常,1.大量配置的情况下，设备启动需要较长时间，如果等待6小时后，仍提示进程未完成启动，则可以认为进程已经异常   2.重启单板/MDC/Context，尝试恢复。等单板/MDC/Context重启后，使用display process命令查看进程是否恢复   3.联系工程师解决
 SCM_PROCESS_STILL_STARTING,The process [STRING] on [STRING] [UINT16]   is still starting for [UINT32] minutes.,$1：进程的名称   $2：取值为MDC或Context（不支持MDC或者Context的设备，不会输出该信息）   $3：MDC或Context编号（不支持MDC或者Context的设备，不会输出该信息）   $4：所用时间,6,SCM/6/SCM_PROCESS_STILL_STARTING: The   process ipbased on MDC 2 is still starting for 20 minutes.,某进程一直处于启动状态,正常提示，无须处理
 SCM_SKIP_PROCESS,The process [STRING] was skipped because   it failed to start within 6 hours.,$1：进程名,4,SCM/4/SCM_SKIP_PROCESS: The process ipbased   was skipped because it failed to start within 6 hours.,单板/MDC/Context启动过程中，有进程超过6小时未启动完成，跳过该进程继续启动,1.重启单板/MDC/Context尝试恢复。等单板/MDC/Context重启后，使用display process命令查看进程是否恢复   2.联系工程师解决
 SCM_SKIP_PROCESS,The process [STRING] on [STRING] [UINT16]   was skipped because it failed to start within 6 hours.,$1：进程名   $2：取值为MDC或Context（不支持MDC或者Context的设备，不会输出该信息）   $3：MDC或Context编号（不支持MDC或者Context的设备，不会输出该信息）,3,SCM/3/SCM_SKIP_PROCESS: The process ipbased   on MDC 2 was skipped because it failed to start within 6 hours.,某进程超过6小时未启动完成，系统跳过该进程，继续启动,1.重启单板/MDC/Context，尝试恢复。等单板/MDC/Context重启后，使用display process命令查看进程是否恢复   2.联系工程师解决
 SCRLSP_LABEL_DUPLICATE,Incoming label [INT32] for static CRLSP   [STRING] is duplicate.,$1：入标签值   $2：静态CRLSP名称,4,SCRLSP/4/SCRLSP_LABEL_DUPLICATE: Incoming   label 1024 for static CRLSP aaa is duplicate.,静态CRLSP的入标签被静态PW或者静态LSP占用。触发该日志的原因可能有：   1.在MPLS已使能的情况下，配置了一条入标签被静态PW或者静态LSP占用的静态CRLSP   2.在入标签被静态PW或静态LSP占用的静态CRLSP存在的情况下，使能MPLS,删除该CRLSP，重新配置一条静态CRLSP，并指定一个新的入标签
 SESSION_IPV4_FLOW,Protocol(1001)=[STRING];SrcIPAddr(1003)=[IPADDR];SrcPort(1004)=[UINT16];NATSrcIPAddr(1005)=[IPADDR];NATSrcPort(1006)=[UINT16];DstIPAddr(1007)=[IPADDR];DstPort(1008)=[UINT16];NATDstIPAddr(1009)=[IPADDR];NATDstPort(1010)=[UINT16];InitPktCount(1044)=[UINT32];InitByteCount(1046)=[UINT32];RplyPktCount(1045)=[UINT32];RplyByteCount(1047)=[UINT32];RcvVPNInstance(1042)=[STRING];SndVPNInstance(1043)=[STRING];RcvDSLiteTunnelPeer(1040)=[STRING];SndDSLiteTunnelPeer(1041)=[STRING];BeginTime_e(1013)=[STRING];EndTime_e(1014)=[STRING];Event(1048)=([UNIT16])[STRING];,$1：协议类型   $2：源IP地址   $3：源端口号   $4：转换后的源IP地址   $5：转换后的源端口号   $6：目的IP地址   $7：目的端口号   $8：转换后的目的IP地址   $9：转换后的目的端口号   $10：入方向的报文总数   $11：入方向的字节总数   $12：出方向的报文总数   $13：出方向的字节总数   $14：源VPN名称   $15：目的VPN名称   $16：源DS-Lite Tunnel   $17：目的DS-Lite Tunnel   $18：创建会话的时间   $19：会话删除时间   $20：日志类型   $21：日志类型描述信息，包括：   ·Session created：会话创建日志   ·Active flow threshold：流量或时间阈值日志   ·Normal over：正常流结束，会话删除日志   ·Aged for timeout：会话老化删除日志   ·Aged for reset or config-change：通过配置删除会话日志   ·Other：其他原因删除会话日志，如由其他模块删除,6,SESSION/6/SESSION_IPV4_FLOW: Protocol(1001)=UDP;SrcIPAddr(1003)=10.10.10.1;SrcPort(1004)=1024;NATSrcIPAddr(1005)=10.10.10.1;NATSrcPort(1006)=1024;DstIPAddr(1007)=20.20.20.1;DstPort(1008)=21;NATDstIPAddr(1009)=20.20.20.1;NATDstPort(1010)=21;InitPktCount(1044)=1;InitByteCount(1046)=50;RplyPktCount(1045)=0;RplyByteCount(1047)=0;RcvVPNInstance(1042)=;SndVPNInstance(1043)=;RcvDSLiteTunnelPeer(1040)=;SndDSLiteTunnelPeer(1041)=;BeginTime_e(1013)=03182024082546;EndTime_e(1014)=;Event(1048)=(8)Session   created;,创建、删除IPv4会话时会发送该日志   IPv4会话过程中会定时发送该日志   IPv4会话的流量或时间达到指定的阈值时会发送该日志,无
 SESSION_IPV6_FLOW,Protocol(1001)=[STRING];SrcIPv6Addr(1036)=[IPADDR];SrcPort(1004)=[UINT16];DstIPv6Addr(1037)=[IPADDR];DstPort(1008)=[UINT16];InitPktCount(1044)=[UINT32];InitByteCount(1046)=[UINT32];RplyPktCount(1045)=[UINT32];RplyByteCount(1047)=[UINT32];RcvVPNInstance(1042)=[STRING];SndVPNInstance(1043)=[STRING];BeginTime_e(1013)=[STRING];EndTime_e(1014)=[STRING];Event(1048)=([UNIT16])[STRING];,$1：协议类型   $2：源IPv6地址   $3：源端口号   $3：目的IPv6地址   $4：目的端口号   $5：入方向的报文总数   $6：入方向的字节总数   $7：出方向的报文总数   $8：出方向的字节总数   $9：源VPN名称   $10：目的VPN名称   $11：创建会话的时间   $12：会话删除时间   $13：日志类型   $14：日志类型描述信息，包括：   ·Session created：会话创建日志   ·Active flow threshold：流量或时间阈值日志   ·Normal over：正常流结束，会话删除日志   ·Aged for timeout：会话老化删除日志   ·Aged for reset or config-change：通过配置删除会话日志   ·Other：其他原因删除会话日志，如由其他模块删除,6,SESSION/6/SESSION_IPV6_FLOW: Protocol(1001)=UDP;SrcIPv6Addr(1036)=2001::2;SrcPort(1004)=1024;DstIPv6Addr(1037)=3001::2;DstPort(1008)=53;InitPktCount(1044)=1;InitByteCount(1046)=110;RplyPktCount(1047)=0;RplyByteCount(1047)=0;RcvVPNInstance(1042)=;SndVPNInstance(1043)=;BeginTime_e(1013)=03182024082901;EndTime_e(1014)=;Event(1048)=(8)Session   created;,创建、删除IPv6会话时会发送该日志   IPv6会话过程中会定时发送该日志   IPv6会话的流量或时间达到指定的阈值时会发送该日志,无
 SFLOW_HARDWARE_ERROR,Failed to [STRING] on interface [STRING]   due to [STRING].,$1：流采样模式配置，显示为：update sampling mode   $2：接口名   $3：失败的原因，目前只有不支持的操作一个原因，显示为：not supported operation,4,SFLOW/4/SFLOW_HARDWARE_ERROR: Failed to   update sampling mode on interface GigabitEthernet1/0/1 due to not supported   operation.,用户执行的配置不会生效。触发该日志的原因可能有：设备不支持的流采样模式,改用其它采样模式
 SHELL_CMD,-Line=[STRING]-IPAddr=[STRING]-User=[STRING];   Command is [STRING],$1：用户线名（如果不涉及该参数，显示为**）   $2：IP地址（如果不涉及该参数，显示为**）   $3：用户名（如果不涉及该参数，显示为**）   $4：命令字符串,6,SHELL/6/SHELL_CMD:   -Line=aux0-IPAddr=**-User=**; Command is quit,命令成功执行,无
 SHELL_CMD_CONFIRM,Confirm option of command [STRING] is   [STRING].,$1：命令字符串   $2：确认选项,6,SHELL/6/SHELL_CMD_CONFIRM: Confirm option   of command save is no.,记录需要用户确认命令的用户选项操作结果,无
 SHELL_CMD_EXECUTEFAIL,-User=[STRING]-IPAddr=[STRING]; Command   [STRING] in view [STRING] failed to be executed.,$1：用户名   $2：IP地址   $3：命令字符串   $4：当前命令模式,4,SHELL/4/SHELL_CMD_EXECUTEFAIL:   -User=**-IPAddr=192.168.62.138; Command save in view system failed to be   executed.,命令执行失败,定位命令执行失败的具体原因
 SHELL_CMD_INPUT,Input string for the [STRING] command is   [STRING].,$1：命令字符串   $2：输入字符串,6,SHELL/6/SHELL_CMD_INPUT: Input string for   the save command is startup.cfg.   SHELL/6/SHELL_CMD_INPUT: Input string for   the save command is CTRL_C.   SHELL/6/SHELL_CMD_INPUT: Input string for   the save command is the Enter key.,当用户执行命令时，如果需要输入相关信息以进行下一步操作，则输入的字符内容将被记录，并产生日志信息   例如：   ·在执行save命令保存配置时，需要用户输入配置文件名和路径，用户输入的该信息将被记录   ·在执行save命令保存配置时，需要用户输入配置文件名和路径，用户输入CTRL_C取消了保存配置操作，则该信息将被记录   ·在执行save命令保存配置时，需要用户输入配置文件名和路径，用户输入回车，则该信息将被记录,无
