### 供应链安全管理分享
**作者：Greta Fan**

#### 一、供应链攻击案例：SolarWinds

**特点：**
- **高隐蔽性**：攻击者通过伪装主机名和主动适配目标地区的IP地址，使检测变得困难。
- **横向移动**：攻击者在受感染的系统中进行横向移动，替换临时文件以进一步隐藏其活动。
- **针对性强**：攻击目标明确，组织严密。
- **持续时间长**：攻击活动可以持续数月甚至更长时间。

**应对措施：**
1. **登录IP检查**：定期审查登录IP地址，识别异常登录行为。
2. **登录活动检查**：监控登录活动，发现异常行为并及时响应。
3. **任务和文件监控**：实时监控系统中的任务和文件变化，防止未经授权的修改。
4. **高权限账户活动监控**：对具有高权限的账户进行严格监控，确保其使用符合安全策略。

#### 二、供应链安全管理框架

**基本原则：**
- **前瞻性导向**：预见潜在风险并提前采取措施。
- **综合风险管理**：结合多种风险管理方法，全面覆盖供应链各环节。
- **效率与有效性控制**：确保安全措施既高效又有效。
- **领导与透明度**：高层领导的支持和透明的信息共享是关键。

**管理结构：**
- **业务部门**：负责日常运营和安全需求的提出。
- **其他部门**：协同参与供应链安全管理。
- **合规风险管理委员会**：制定和监督合规政策。
- **高层管理**：提供战略指导和支持。
- **董事会**：最终决策机构。
- **内审/风控委员会**：负责内部审计和风险控制。

#### 三、供应商分类分级管理

**数据敏感程度与依赖程度：**
- **等级1**：不涉及数据处理。
- **等级2**：涉及内部数据处理。
- **等级3**：涉及少量敏感信息处理。
- **等级4**：……
- **等级5**：……

**业务影响与恢复能力：**
- **等级1**：出事故不会影响业务。
- **等级2**：可以立刻恢复业务。
- **等级3**：可以在短时间内恢复业务。
- **等级4**：……
- **等级5**：……

**评估因素：**
- 数据敏感程度与数据量。
- 供应商的依赖程度。
- 供应商规模大小。
- 合作时间。
- 合作金额大小。
- 其他相关因素。

#### 四、供应链管理系统

**核心系统：**
- **供应商管理系统**：包括自研系统和开源框架。
- **企业自研系统**：针对特定需求定制开发。
- **开源框架**：利用现有开源工具进行集成。

#### 五、供应链风险矩阵

**风险等级划分：**
- **等级1**：完全可替代，无影响，简单或无需整改。
- **等级2**：稍微修改即可替代，较小影响，较简单。
- **等级3**：需要较大努力可替代，有影响，需要一个月以内时间。
- **等级4**：需要很大努力才可能替代，很大影响，需要一个月以上时间。
- **等级5**：不可替代，很大影响，垄断且不受控。

**重点监控**：对高风险供应商进行事前发现和重点监控。

#### 六、项目流程中的安全管理

**威胁评估与安全需求分析：**
- **架构检查**：确保系统架构的安全性。
- **需求确定**：明确安全需求。
- **需求分析**：详细分析安全需求。
- **架构设计**：设计安全的系统架构。
- **实施**：按照设计进行实施。
- **整合**：将安全措施整合到系统中。
- **验证**：验证安全措施的有效性。
- **检查**：定期进行安全检查。
- **漏洞管理**：及时修复已知漏洞。
- **源代码管理**：确保源代码的安全性。

**项目管理：**
- **项目计划**：制定详细的项目计划。
- **项目评估与控制**：定期评估项目进度并进行控制。
- **决策管理**：确保决策过程透明且合理。
- **风险管理**：识别和管理项目中的各种风险。
- **配置管理**：确保系统配置的一致性和安全性。
- **信息与数据管理**：保护信息和数据的安全。

#### 七、供应链安全管理的挑战

- **新技术与新威胁**：不断出现的新技术带来新的安全威胁。
- **零售行业快速发展**：业务部门施加的压力要求快速响应。
- **专业技术人员招聘与培训**：招聘和培训专业人员的成本巨大。
- **投资回报率（ROI）**：如何平衡安全投入与回报是一个永恒的难题。

#### 八、最佳实践

1. **标准化、体系化和集中化的供应商管理**：建立统一的供应商管理体系。
2. **企业内部沟通与培训**：在整个企业内部进行长久和持续的沟通与培训。
3. **关键供应商定期审计**：对关键供应商进行定期的安全审计。
4. **各类监控与防御工具**：使用各类监控和防御工具确保业务连续性。
5. **关键业务保险**：为关键业务购买保险，降低潜在损失。
