| ------------------------------------------------------------ | ------------------------------------------------------------ | -------- | ---------------------------------------- | ------------------------------------------------------------ |
| Ability                                                      | Israel                                                       | –        | –                                        | [WikiLeaks](https://en.wikipedia.org/wiki/Cyber-arms_industry) |
| Amesys                                                       | France                                                       | 2008     | Ceased                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/amesys/94_casper-t-wi-fi-network-interception/94_casper-t-wi-fi-network-interception.pdf) |
| Azimuth Security                                             | Australia                                                    | 2010     | Active                                   | [Vice, Motherboard](https://www.vice.com/en/article/8xdayg/iphone-zero-days-inside-azimuth-security) |
| Birmingham Cyber Arms                                        | UK                                                           | 2019     | Ceased                                   | [Wikipedia](https://en.wikipedia.org/wiki/Cyber-arms_industry) |
| Cambridge Consultants                                        | UK                                                           | 1960     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/cambridge-consultants/CAMBRIDGECONSULTANTS-2011-SmalCellBase-en/CAMBRIDGECONSULTANTS-2011-SmalCellBase-en.pdf) |
| Candiru                                                      | Israel                                                       | 2014     | Ceased (succeeded by DF Associates Ltd.) | [Wikipedia](https://en.wikipedia.org/wiki/Candiru_(spyware_company)) |
| Cellebrite                                                   | Israel                                                       | 1999     | Active                                   | [Wikipedia](https://en.wikipedia.org/wiki/Cellebrite)        |
| Circles                                                      | Israel                                                       | 2008     | Merged (with NSO Group)                  | [CitizenLab](https://citizenlab.ca/2020/12/running-in-circles-uncovering-the-clients-of-cyberespionage-firm-circles/) |
| ClearTrail                                                   | India                                                        | 2001     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/cleartrail/CLEARTRAIL-2011-Intemonisuit-en/CLEARTRAIL-2011-Intemonisuit-en.pdf) |
| Crowdfense                                                   | UAE                                                          | 2017     | Active                                   | [WIRED](https://www.wired.com/story/untold-history-americas-zero-day-market/) |
| CyberOne Group                                               | Vietnam                                                      | 2014     | Ceased                                   | [Reuters](https://www.reuters.com/article/facebook-vietnam-cyber-idCAKBN28L03Y) |
| CyberPoint                                                   | USA                                                          | 2015     | Active                                   | [Wikipedia](https://en.wikipedia.org/wiki/DarkMatter_(Emirati_company)) |
| DarkMatter Group                                             | UAE                                                          | 2014     | Active                                   | [Wikipedia](https://en.wikipedia.org/wiki/DarkMatter_(Emirati_company)) |
| DF Associates Ltd.                                           | Israel                                                       | 2017     | Ceased (succeeded by Grindavik)          | [CitizenLab](https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/) |
| Dialogic                                                     | USA                                                          | 2008     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/dialogic/7_high-performance-signaling-in-gathering-intelligence-form/7_high-performance-signaling-in-gathering-intelligence-form.pdf) |
| DigiTask                                                     | Germany                                                      | –        | Unknown                                  | [WikiLeaks](https://wikileaks.org/spyfiles/document/digitask/46_remote-forensic-software/46_remote-forensic-software.pdf) |
| Dreamlab Technologies AG                                     | Switzerland                                                  | 1997     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/dreamlab/DREAMLAB-2010-OMSystManu-en/DREAMLAB-2010-OMSystManu-en.pdf) |
| Elaman                                                       | Germany                                                      | –        | Active                                   | [Privacy Intl.](https://privacyinternational.org/blog/1540/elaman-and-gamma-whats-selling-and-whos-buying-indonesia) |
| ELTA Systems Ltd.                                            | Israel                                                       | 1967     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/elta/203_cellular-and-satellite-passive-off-the-air-lawful/203_cellular-and-satellite-passive-off-the-air-lawful.pdf) |
| Emen Net Pasargad                                            | Iran                                                         | –        | Active                                   | [Treadstone 71](https://cybershafarat.com/2021/01/18/iranian-cyber-company-emen-net-pasargad-eeleyanet-gostar-to-carry-out-cyber-operation-against-the-united-states/) |
| Endgame Systems                                              | USA                                                          | 2008     | Active                                   | [Krebs on Security](https://krebsonsecurity.com/2013/12/how-many-zero-days-hit-you-today/) |
| Equus Technologies                                           | Israel                                                       | 2015     | Ceased                                   | [WIRED](https://www.vice.com/en/article/evdebz/google-revealed-an-israeli-spyware-company-that-has-quietly-sold-its-wares-for-years) |
| Exodus Intelligence                                          | USA                                                          | 2012     | Active                                   | [TechDirt](https://www.techdirt.com/articles/20210918/14570047587/american-malware-purveyor-that-did-nothing-to-limit-misuse-now-horrified-to-find-govt-india-misused-products.shtml) |
| Fox-IT                                                       | Netherlands                                                  | 1999     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/foxit/282_foxreplay-personal-workstation-portable-interception/282_foxreplay-personal-workstation-portable-interception.pdf) |
| Gamma Group                                                  | Germany                                                      | 1990     | Active                                   | [Wikipedia](https://en.wikipedia.org/wiki/Gamma_Group)       |
| Glimmerglass Networks                                        | USA                                                          | 2000     | Active                                   | [WikiLeaks](https://wikileaks.org/spyfiles/document/glimmerglass/55_glimmerglass-cybersweep/55_glimmerglass-cybersweep.pdf) |
| Go Root                                                      | Germany                                                      | 2017     | Ceased                                   | [MarketResearchTelecast](https://marketresearchtelecast.com/how-a-berlin-start-up-wanted-to-conduct-cyber-war-more-ethically-and-failed/92578/) |
| Grindavik Solutions                                          | Israel                                                       | 2018     | Ceased (succeeded by Taveta Ltd.)        | [CitizenLab](https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/) |
| Grugq                                                        | Thailand                                                     | –        | Ceased                                   | [WIRED](https://www.wired.com/story/untold-history-americas-zero-day-market/) |
| Hacking Team                                                 | Italy                                                        | 2003     | Ceased (succeeded by Memento Labs)       | [Wikipedia](https://en.wikipedia.org/wiki/Hacking_Team)      |
| iDefense                                                     | USA                                                          | 1998     | Ceased                                   | [Krebs on Security](https://krebsonsecurity.com/2013/12/how-many-zero-days-hit-you-today/) |
| Incredity Intel                                              | Germany                                                      | 2019     | Active                                   | [IntelligenceOnline](https://www.intelligenceonline.com/surveillance--interception/2020/10/15/israeli-german-zero-day-vulnerabilities-broker-firm-incredity-offers-huawei-bug-bounty,109614153-art) |
| Innefu Labs Pvt. Ltd                                         | India                                                        | 2010     | Active                                   | [Amnesty](https://www.amnesty.org/en/documents/afr57/4756/2021/en/) |
| InformInvestGroup CJSC                                       | Russia                                                       | 2017     | Active                                   | [ZDNet](https://www.zdnet.com/article/hackers-breach-fsb-contractor-and-leak-details-about-iot-hacking-project/) |
