 VCF_GET_TEMPLATE,"Phase [STRING], Device [STRING] downloaded template file   [STRING].",$1：阶段   $2：设备的MAC地址   $3：模板文件名,6,"VCF/6/VCF_GET_TEMPLATE: Phase 1.2.1,   Device 0000-0000-0000 downloaded template file   /mnt/flash:/vxlan_spine.template.",将自动部署的模板文件下载到本地设备,无
 VCF_INSTALL_IMAGE,"Phase [STRING], Device [STRING] started to install the [STRING] version of startup image.",$1：阶段   $2：设备的MAC地址   $3：设备的版本号,6,"VCF/6/VCF_INSTALL_IMAGE: Phase 1.3.3,   Device 0000-0000-0000 started to install the V700R001B70D001 version of   startup image.",设备开始安装新版本,无
 VCF_IRF_FINISH,"Phase [STRING], Device [STRING] finished IRF configuration: result=[INT32].","$1：阶段   $2：本设备的MAC地址   $3：执行IRF配置的结果 (成功=0,   失败=-1)",5,"VCF/5/VCF_IRF_FINISH: Phase 2.0.3, Device   0000-0000-0000 finished IRF configuration: result=0.",完成IRF配置下发,如果配置下发失败，请联系用服工程师解决
 VCF_IRF_FOUND,"Phase [STRING], Device [STRING] (Role [STRING]) found a peer ([STRING]) with the   same role, IRF stackability check result: [INT32].",$1：阶段   $2：本设备的MAC地址   $3：角色名字   $4：对端设备的MAC地址   $5：检查结果，取值包括：   0：表示可配置IRF   1：表示MAC地址冲突,5,"VCF/5/VCF_IRF_FOUND: Phase 2.0.1, Device   0000-0000-0000 (Role leaf) found a peer with the same role, IRF stackability   check result: 0.",VCF通过拓扑变化发现对端需要搭建IRF的设备，检查是否能够开始进行IRF配置,无
 VCF_IRF_REBOOT,"Phase [STRING], Device [STRING] will   reboot immediately to activate IRF settings.",$1：阶段   $2：本设备的MAC地址,5,"VCF/5/VCF_IRF_REBOOT: Phase 2.0.4, Device   0000-0000-0000 will reboot immediately to activate IRF settings.",VCF完成IRF配置下发后，角色为leaf或access的设备若IRF成员设备编号变化则重启；角色为spine的设备全都要重启,无
 VCF_IRF_START,"Phase [STRING], Device [STRING] started IRF configuration: current member   ID=[INT32], new member ID=[INT32], priority=[INT32], IRF-port 1's member ports=[STRING], IRF-port 2's member   ports=[STRING].",$1：阶段   $2：本设备的MAC地址   $3：设备当前的成员编号   $4：设备新的成员编号   $5：设备新的优先级   $6：设备IRF-Port1绑定的物理端口列表，没有为none   $7：设备IRF-Port2绑定的物理端口列表，没有为none,5,"VCF/5/VCF_IRF_START: Phase 2.0.2, Device   0000-0000-0000 started IRF configuration: current member ID=2, new member   ID=1, priority=2, IRF-port 1's member ports=GigabitEthernet1/0/1, IRF-port 2's   member ports=none.",开始下发IRF配置,无
 VCF_LOOPBACK_START,"Phase [STRING], IP address assignment   started for [STRING] on other nodes.",$1：阶段   $2：接口名称,5,"VCF/5/VCF_LOOPBACK_START: Phase 3.0.1, IP   address assignment started for Loopback0 on other nodes.",VCF主节点开始为其他节点的接口分配IP地址,无
 VCF_LOOPBACK_START_FAILED,"Phase [STRING], failed to assign IP   addresses to [STRING] on other nodes: reason=[STRING].",$1：阶段   $2：接口名称   $3：启动失败的原因   -1：表示没有指定IP范围   -2：表示IP地址无效,5,"VCF/5/VCF_LOOPBACK_START_FAILED: Phase   3.0.1, failed to assign IP addresses to Loopback0 on other nodes: reason=-1.",VCF Fabric组网中，由于以下原因之一，主节点没能开始为其他节点的接口分配IP地址：   ·没有指定IP范围   ·IP地址无效,管理员检查模板中IP范围是否有问题
 VCF_LOOPBACK_ALLOC,"Phase [STRING], assigned IP [STRING]   to [STRING] on Device [STRING]: result=[INT32].",$1：为Loopback接口分配的IP地址   $2：设备的MAC地址   $3：接口名称   $4：IP地址分配的状态，取值包括：   0：表示成功   -1：表示netconf下发失败   -2：表示netconf处理异常   -3：表示netconf初始化失败,5,"VCF/5/VCF_LOOPBACK_ALLOC: Phase 3.0.2,   assigned IP 10.100.1.1 to Loopback0 on Device 0000-0000-0000: result=0.",VCF主节点为指定设备的接口分配IP地址,管理员根据结果查找失败原因
 VCF_LOOPBACK_NO_FREE_IP,"Phase [STRING], no IP addresses available   for Device [STRING].",$1：阶段   $2：设备的MAC地址,4,"VCF/4/VCF_LOOPBACK_NO_FREE_IP: Phase   3.0.4, no IP addresses available for Device 0000-0000-0000.",VCF主节点上没有可用的IP地址，无法为指定设备的接口分配IP地址,请用户确认IP预留范围是否准确
 VCF_LOOPBACK_RECLAIM,"Phase [STRING], reclaimed IP [STRING]   from [STRING] on Device [STRING]: reason=[INT32].",$1：阶段   $2：收回的Loopback接口IP地址   $3：接口名称   $4：收回IP地址的设备的MAC地址   $5：收回原因，取值   1：表示设备DOWN,5,"VCF/5/VCF_LOOPBACK_RECLAIM: Phase 3.0.3,   reclaimed IP 10.10.10.1 from Loopback0 on Device 0000-0000-0000: reason=1.",VCF收回已经分配出去的接口的IP地址,无
