77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,E12,flush sensor data
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,E22,getTodayTotalDetailSteps = ##########
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,E58,setTodayTotalDetailSteps=
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,E42,onStandStepChanged 
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,E4,calculateCaloriesWithCache totalCalories=
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,E47,REPORT :    
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,E42,onStandStepChanged 
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,E39,onExtend:   
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,E42,onStandStepChanged 
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,E39,onExtend:   
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,E22,getTodayTotalDetailSteps = ##########
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,E58,setTodayTotalDetailSteps=
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,E4,calculateCaloriesWithCache totalCalories=
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,E47,REPORT :    
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,E42,onStandStepChanged 
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,E39,onExtend:   
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,E22,getTodayTotalDetailSteps = ##########
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,E58,setTodayTotalDetailSteps=
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,E4,calculateCaloriesWithCache totalCalories=
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,E47,REPORT :    
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,E42,onStandStepChanged 
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,E39,onExtend:   
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,E22,getTodayTotalDetailSteps = ##########
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,E58,setTodayTotalDetailSteps=
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,E4,calculateCaloriesWithCache totalCalories=
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,E47,REPORT :    
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,E42,onStandStepChanged 
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,E39,onExtend:   
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,E22,getTodayTotalDetailSteps = ##########
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,E58,setTodayTotalDetailSteps=
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,E4,calculateCaloriesWithCache totalCalories=
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,E47,REPORT :    
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,E42,onStandStepChanged 
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,E39,onExtend:   
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,E22,getTodayTotalDetailSteps = ##########
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,E58,setTodayTotalDetailSteps=
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,E4,calculateCaloriesWithCache totalCalories=
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,E47,REPORT :    
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,E42,onStandStepChanged 
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,E39,onExtend:   
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,E22,getTodayTotalDetailSteps = ##########
