### Session 1A: Anonymous Routing and Censorship
**CCS '20, November 9–13, 2020, Virtual Event, USA**

#### Table 5: General Results
- **Top Five Countries with the Highest Cens(Smooth) (Equation 5) in Each Censorship Method Measured by Censored Planet**
- **Top Three Categories Blocked in Each Country**

##### Discard Method
| Country          | Cens(Smooth) (Eq 5) | Top 3 Blocked Categories                     |
|------------------|---------------------|----------------------------------------------|
| Turkmenistan     | 40.21               | File-sharing, Media sharing, Anonymization tools |
| China            | 35.79               | Pornography, Terrorism & Militants, Overall   |
| Oman             | 31.35               | Pornography, Anonymization tools, Online Dating |
| Qatar            | 11.18               | Pornography, Provocative Attire, History, arts & literature |
| Iran             | 44.8                | Gambling, Terrorism & Militants, Pornography  |

##### HTTP Method
| Country          | Cens(Smooth) (Eq 5) | Top 3 Blocked Categories                     |
|------------------|---------------------|----------------------------------------------|
| Turkmenistan     | 12.83               | Anonymization tools, File-sharing, Media sharing |
| Comoros          | 11.26               | Gambling, Pornography, Alcohol & Drugs        |
| Oman             | 10.82               | Pornography, Anonymization tools, Online Dating |
| Vatican City     | 5.74                | Pornography, Provocative Attire, Hate Speech  |
| Uzbekistan       | 10.84               | Social Networking, Communication tools, Overall |

##### Echo Method
| Country          | Cens(Smooth) (Eq 5) | Top 3 Blocked Categories                     |
|------------------|---------------------|----------------------------------------------|
| Fiji             | 6.81                | Alcohol & Drugs, Gaming, Religion            |
| Turkmenistan     | 6.69                | Anonymization tools, Social Networking, Communication tools |
| Oman             | 6.66                | Pornography, Anonymization tools, Terrorism and Militants |
| China            | 6.22                | Pornography, Search Engines, Online Dating   |
| Qatar            | 12.33               | Pornography, Anonymization tools, Online Dating |

##### HTTPS Method
| Country          | Cens(Smooth) (Eq 5) | Top 3 Blocked Categories                     |
|------------------|---------------------|----------------------------------------------|
| Cayman Islands   | 16.36               | Illegal, Terrorism & Militants, Culture      |
| Bhutan           | 16.3                | Illegal, Terrorism & Militants, Culture      |
| Guinea-Bissau    | 14.25               | Terrorism & Militants, Illegal, Hate Speech  |
| Niger            | 5.0                 | Terrorism & Militants, Illegal, Culture      |
| Guernsey         | 12.8                | Terrorism & Militants, Illegal, Hate Speech  |

##### IP Method
| Country          | Cens(Smooth) (Eq 5) | Top 3 Blocked Categories                     |
|------------------|---------------------|----------------------------------------------|
| China            | 40.0                | Foreign relations & Military, Anonymization tools, History, arts and literature |
| Turkmenistan     | 37.5                | Anonymization tools, Pornography, Media sharing |
| Iran             | 25.0                | Pornography, Anonymization tools, Provocative Attire |
| Afghanistan      | 33.33               | Pornography, Anonymization tools, Provocative Attire |
| Burkina Faso     | 49.8                | Provocative Attire, Online Dating, Pornography |

##### DNS Method
| Country          | Cens(Smooth) (Eq 5) | Top 3 Blocked Categories                     |
|------------------|---------------------|----------------------------------------------|
| China            | 49.53               | Foreign relations & Military, Anonymization tools, History, arts and literature |
| Turkmenistan     | 47.72               | Anonymization tools, Pornography, Media sharing |
| Iran             | 38.45               | Pornography, Anonymization tools, Provocative Attire |
| Afghanistan      | 16.32               | Terrorism & Militants, Illegal, Culture      |
| Burkina Faso     | 61.12               | Provocative Attire, Online Dating, Pornography |

This table provides a clear and structured overview of the top five countries with the highest Cens(Smooth) values for each censorship method, along with the top three categories of content that are most frequently blocked in each country.
