### MIME媒体类型注册

#### D.3.5 MIME媒体类型注册
可以通过 IANA 的网站（http://www.iana.org）访问已提交的表格。编写本书时，实际存储 MIME 媒体类型的数据库位于 ISI Web 服务器上的 http://www.isi.edu/in-notes/iana/assignments/media-types/。

媒体类型以目录树的形式存储，按主类型和子类型进行结构划分。每种媒体类型都有一个对应的文件，其中包含电子邮件提交的信息。然而，由于每个人完成的注册模板有所不同，因此不同人提交的信息质量和格式也有所差异。（在本附录的表格中，我们尝试填补了注册用户忽略的部分。）

#### D.4 MIME类型表
本节通过10张表格总结了数百种MIME类型。每张表格都列出了特定主类型（如 image、text 等）中的MIME媒体类型。

这些信息是从多个来源收集的，包括 IANA 的媒体类型注册登记处、Apache 的 mime.types 文件，以及各种因特网Web页面。我们花费了大量时间来整理数据，填补漏洞，并添加了交叉参考文献中的描述性总结，以提高数据的可用性。这可能是迄今为止最详细的MIME类型清单列表之一，希望对你有所帮助！

### D.4.1 application/*
下表D-3描述了许多应用程序特有的MIME媒体类型。

| MIME类型 | 描述 | 扩展名 | 联系方式与参考文献 |
| --- | --- | --- | --- |
| application/activemessage | 支持主动邮件群件系统 | - | Readings in Groupware and Computer-Supported Cooperative Work, “Active Mail: A Framework for Integrated Groupware Applications”，Ronald M. Baecker，Morgan Kaufmann出版社，ISBN 1558602410 |
| application/andrew-inset | 支持用安德鲁工具集创建多媒体内容 | ez | Multimedia Applications Development with the Andrew Toolkit, Nathaniel S. Borenstein，Prentice Hall出版社，AS-IN 0130366331，PI:EMAIL |
| application/applefile | 在允许对非特定用户数据进行一般性访问的同时，允许对带有Apple/Macintosh特有信息的数据进行基于MIME的传输 | - | RFC 1740 |
| application/atomicmail | ATOMICMAIL 是贝尔通信研究的一个实验型研究项目，设计用来在电子邮件报文中包含一些在阅读邮件时会执行的程序。对safe-tcl的支持会很快使ATOMICMAIL过时 | - | “ATOMICMAIL Language Reference Manual”，Nathaniel S. Borenstein，贝尔科技备忘录，TM ARH-018429 |
| application/batch-SMTP | 定义了一个MIME内容类型，可以用隧道方式通过任意能够进行MIME传输的路径实现ESMTP邮件事务 | - | RFC 2442 |
| application/beep+xml | 支持名为BEEP的交互协议。BEEP支持在对等实体之间对MIME报文进行同步且独立的交互，这些报文通常都是XML结构的文本 | - | RFC 3080 |
| application/cals-1840 | 支持对美国国防部数字数据进行MIME电子邮件交换，早期这些数据是MILSTD-1840定义的由磁带实现数据交换的 | - | RFC 1895 |
| application/commonground | Common Ground 是个电子文档交换及发布程序，允许用户创建一些文档，这些文档无需在系统中创建任何应用程序或字体，所有人都可以查看、搜索和打印 | - | Nick Gault, No Hands软件, PI:EMAIL |
| application/cybercash | 支持通过CyberCash协议进行信用卡支付。用户开始付费时，商家会向客户发送一条报文，作为MIME类型application/cybercash的报文主体使用 | - | RFC 1898 |
| application/dca-rft | IBM 文档内容结构 | - | “IBM Document Content Architecture/Revisable Form Text Reference”，文档号SC23-0758-1，国际商用机器公司（IBM） |
| application/dec-dx | DEC的文档传输格式 | - | “Digital Document Transmission (DX) Technical Notebook”，文档号EJ29141-86，数字设备公司（DEC） |
| application/dvcs | 支持DVCS（Data Validation and Certification Server，数据验证及证书服务器）所使用的协议，该服务器在公共密钥安全架构中作为第三方受信站点使用的 | - | RFC 3029 |
| application/EDI-Consent | 支持通过EDI（electronic data interchange，电子数据交换）用非标准的规范进行双边贸易 | - | http://www.isi.edu/in-notes/iana/assignments/media-types/application/EDI-Consent |
| application/EDI-X12 | 支持通过EDI用ASC X12 EDI规范进行双边贸易 | - | http://www.isi.edu/in-notes/iana/assignments/media-types/application/EDI-X12 |
| application/EDIFACT | 支持通过EDI用EDIFACT规范进行双边贸易 | - | http://www.isi.edu/in-notes/iana/assignments/media-types/application/EDIFACT |
| application/eshop | 未知 | - | Steve Katz, PI:EMAIL |
| application/font-tdpfr | 定义了包含一组字形的PFR（Portable Font Resource，便携式字体资源），每个字形都与一个字符码相关 | - | RFC 3073 |
| application/http | 用于封装由一条或多条HTTP请求或响应报文（不混合）构成的管道 | - | RFC 2616 |
| application/hyperstudio | 支持HyperStudio教学超媒体文件的传输 | stk | http://www.hyperstudio.com |
| application/iges | CAD模型交换的常用格式 | - | “ANS/US PRO/IPO-100” U.S. Product Data Association, 2722 Merrilee Drive, Suite 200, Fairfax, VA 22031-4499 |
| application/index | 支持CIP（Common Indexing Protocol，公共索引协议）。CIP是对Whois++目录服务的发展，用于在服务器间传送索引信息，以便通过分布式数据库系统来重定向或复制请求 | - | RFC 2652, RFC 2651, RFC 1913, RFC 1914 |
| application/index.cmd | - | - | - |
| application/index.obj | - | - | - |
| application/index.response | - | - | - |
| application/index.vnd | - | - | - |
| application/iotp | 支持在HTTP上发送IOTP（Internet Open Trading Protocol，因特网开放贸易协议）报文 | - | RFC 2935 |
| application/ipp | 支持在HTTP上使用IPP（Internet Printing Protocol，因特网打印协议） | - | RFC 2910 |
| application/mac-binhex40 | 将8位字节的字符串编码为7位字节的字符串，这样对某些应用程序来说更安全一些（没有6位的Base-64编码安全） | hqx | RFC 1341 |
| application/mac-compactpro | - | cpt | - |
| application/macwriteii | Claris MacWrite II | - | - |
| application/marc | MARC对象是机读编目记录——书目及相关信息的表示和通信标准 | mrc | RFC 2220 |
| application/mathematica | 支持Mathematica和MathReader数值分析软件 | nb, ma, mb | The Mathematica Book, Stephen Wolfram, 剑桥大学出版社, ISBN 0521643147 |
| application/mathematica-old | - | - | - |
| application/msword | 微软的Word MIME类型 | doc | - |
| application/news-message-id | RFC 822（报文ID）、RFC 1036（新闻应用程序）以及RFC 977（NNTP） | 新 | - |
| application/news-transmission | 允许通过电子邮件或其他传输方式传送新闻文章 | - | RFC 1036 |
| application/ocsp-request | 支持OCSP（Online Certificate Status Protocol，在线证书状态协议），此协议提供了一种无需本地证书撤销列表即可查看数字证书有效性的方法 | - | RFC 2560 |
| application/ocsp-response | 同上 | - | RFC 2560 |
| application/octet-stream | 未分类的二进制数据 | bin, dms, lha, lzh, exe, class | RFC 1341 |
| application/oda | 根据ODA（Office Document Architecture，办公文档结构）标准，用ODIF（Office Document Interchange Format，办公文档交互格式）表示法对信息进行编码。Content-Type行也应该像`Content-Type: application/oda;profile=Q112`这样指定用来说明DAP（document application profile，文档应用外观）的属性/值对 | oda | RFC 1341, ISO 8613, "Information Processing: Text and Office System; Office Document Architecture (ODA) and Interchange Format (ODIF)", 第1-8部分, 1989年 |
| application/parityfec | RTP数据流的前向纠错奇偶码 | - | RFC 3009 |
