### 6. Discussion

Given the low cost of the robots and the simplicity of the attack, we believe that such an attack would be realistically launched by adversaries if touch-based authentication were to become widely deployed in its current form. For more sophisticated adversaries who may employ advanced robots or enhanced designs of the same robot, combined with information gathered about the intended victim, the impact of the attack could be even more severe. Our findings not only call for a more stringent performance evaluation of touch-based authentication systems but also highlight the need for research into technologies that can defend against a broader family of robotic attacks, one instance of which has been demonstrated in this paper.

### 7. Acknowledgements

We are deeply grateful to Diksha Shukla, Rajesh Kumar, and Zibo Wang for their invaluable assistance during the design, implementation, and performance evaluation of the robotic attack. We also extend our thanks to Krystal Corbett and David Irakiza for suggesting play-doh as a suitable finger material. This work was partially supported by the Louisiana Board of Regents under P-KSFI Grant LEQSF(2007-12)-ENHPKSFI-PRS-03.

### 8. References

[1] Bricx Command Center 3.3. http://bricxcc.sourceforge.net/. Last accessed in April 2013.
[2] Agloves. Original Touch Screen Gloves. http://www.amazon.com/Agloves-Original-Touchscreen-Gloves-Texting/dp/B005GXMM5W. Last accessed in April 2013.
[3] Lego Mindstorms. http://mindstorms.lego.com/en-us/default.aspx. Last accessed in April 2013.
[4] Touchalytics. http://www.mariofrank.net/touchalytics/. Last accessed in April 2013.
[5] Walmart. http://www.walmart.com/ip/LEGO-Mindstorms-NXT-2.0/11081183. Last accessed in April 2013.
[6] A. J. Aviv, K. Gibson, E. Mossop, M. Blaze, and J. M. Smith. Smudge Attacks on Smartphone Touch Screens. In Proceedings of the 4th USENIX Conference on Offensive Technologies, WOOT’10, pages 1–7, Berkeley, CA, USA, 2010. USENIX Association.
[7] L. Ballard, S. Kamara, F. Monrose, and M. K. Reiter. Towards Practical Biometric Key Generation with Randomized Biometric Templates. In Proceedings of the 15th ACM Conference on Computer and Communications Security, CCS ’08, pages 235–244, New York, NY, USA, 2008. ACM.
[8] L. Ballard, D. Lopresti, and F. Monrose. Evaluating the Security of Handwriting Biometrics. In The 10th International Workshop on the Foundations of Handwriting Recognition, pages 461–466, 2006.
[9] L. Ballard, D. Lopresti, and F. Monrose. Forgery Quality and Its Implications for Behavioral Biometric Security. Transactions on Systems, Man, and Cybernetics, Part B, 37(5):1107–1118, Oct. 2007.
[10] J.-J. Cabibihan. Patient-Specific Prosthetic Fingers by Remote Collaboration - A Case Study. CoRR, abs/1105.1028, 2011.
[11] C. Cortes and V. Vapnik. Support-Vector Networks. Machine Learning, 20(3):273–297, Sept. 1995.
[12] T. Cover and P. Hart. Nearest Neighbor Pattern Classification. IEEE Transactions on Information Theory, 13(1):21–27, Sept. 2006.
[13] A. De Luca, A. Hang, F. Brudy, C. Lindner, and H. Hussmann. Touch Me Once and I Know It’s You!: Implicit Authentication Based on Touch Screen Patterns. In Proceedings of the 2012 ACM Annual Conference on Human Factors in Computing Systems, CHI ’12, pages 987–996, New York, NY, USA, 2012. ACM.
[14] R. D. Gibbons. Nonparametric Statistical Inference. M. Dekker, 2nd edition, 1985.
[15] K. S. Killourhy and R. A. Maxion. Comparing Anomaly-Detection Algorithms for Keystroke Dynamics. In DSN, pages 125–134, 2009.
[16] L. Li, X. Zhao, and G. Xue. Unobservable Reauthentication for Smart Phones. In Proceedings of the 20th Network and Distributed System Security Symposium, NDSS’13. Internet Society, 2013.
[17] F. Mario, B. Ralf, M. Eugene, M. Ivan, and S. Dawn. Touchalytics: On the Applicability of Touchscreen Input as a Behavioral Biometric for Continuous Authentication. IEEE Transactions on Information Forensics and Security, 8(1):136–148, 2013.
[18] A. F. Martin, G. R. Doddington, T. Kamm, M. Ordowski, and M. A. Przybocki. The DET Curve in Assessment of Detection Task Performance. In Fifth European Conference on Speech Communication and Technology, EUROSPEECH ’97. ISCA, 1997.
[19] F. J. Massey. The Kolmogorov-Smirnov Test for Goodness of Fit. Journal of the American Statistical Association, 46(253):68–78, 1951.
[20] E. Mauch. Using Technological Innovation to Improve the Problem-Solving Skills of Middle School Students: Educators’ Experiences with the Lego Mindstorms Robotic Invention System. Clearing House, 74(4):211–214, April 2001.
[21] T. C. Meng, P. Gupta, and D. Gao. I Can Be You: Questioning the Use of Keystroke Dynamics as a Biometric. In NDSS, 2013, Feb 2013.
[22] E. Owusu, J. Han, S. Das, A. Perrig, and J. Zhang. Accessory: Password Inference Using Accelerometers on Smartphones. In Proceedings of the Twelfth Workshop on Mobile Computing Systems and Applications, HotMobile ’12, pages 9:1–9:6, New York, NY, USA, 2012. ACM.
[23] A. Ross, A. Rattani, and M. Tistarelli. Exploiting the “Doddington Zoo” Effect in Biometric Fusion. In Proceedings of the 3rd IEEE International Conference on Biometrics: Theory, Applications and Systems, BTAS’09, pages 264–270, Piscataway, NJ, USA, 2009. IEEE Press.
[24] N. Sae-Bae, K. Ahmed, K. Isbister, and N. Memon. Biometric-Rich Gestures: A Novel Approach to Authentication on Multi-Touch Devices. In Proceedings of the 2012 ACM Annual Conference on Human Factors in Computing Systems, CHI ’12, pages 977–986, New York, NY, USA, 2012. ACM.
[25] N. Sae-Bae, N. Memon, and K. Isbister. Investigating Multi-Touch Gestures as a Novel Biometric Modality. In Biometrics: Theory, Applications and Systems (BTAS), 2012 IEEE Fifth International Conference on, pages 156–161, 2012.
[26] A. Serwadda and V. V. Phoha. Examining a Large Keystroke Biometrics Dataset for Statistical-Attack Openings. ACM Transactions on Information and System Security, 16(2):(in press), 2013.
[27] F. Tao, L. Ziyi, C. Bogdan, B. Daining, and S. Weidong. Continuous Mobile Authentication Using Touchscreen Gestures. In Proceedings of the 12th IEEE Conference on Technologies for Homeland Security, HST’12, 2012.
[28] T. Walsh. Timeless Toys: Classic Toys and the Playmakers Who Created Them. McMeel Publishing, 2005.
[29] I. H. Witten and E. Frank. Data Mining: Practical Machine Learning Tools and Techniques. Morgan Kaufmann, San Francisco, 2nd edition, 2005.
[30] N. Yager and T. Dunstone. The Biometric Menagerie. IEEE Transactions on Pattern Analysis and Machine Intelligence, 32(2):220–230, 2010.

### Appendix 1: Some Robot Design Considerations

**Pinion and Rack Gear:** For the pinion and rack gear to remain engaged throughout the attack, the finger and its attached mechanism must exert sufficient weight on the gears. This weight should be adequate to ensure smooth movement without being excessive.

**Play-doh Fingers:** In its original state, play-doh is too soft to make a firm finger. We exposed the play-doh to fresh air for a few days to harden it slightly. Care must be taken to ensure it does not become too hard.

### Appendix 2: Performance Highlights of the Robotic Attack on the Landscape Strokes

| Threshold (α) | SVM (Horizontal) | SVM (Vertical) | k-NN (Horizontal) | k-NN (Vertical) |
|---------------|------------------|----------------|-------------------|-----------------|
| 0.2           | 592%             | 616%           | 366%              | 395%            |
| 0.18          | 696%             | 703%           | 399%              | 404%            |
| 0.16          | 929%             | 1004%          | 431%              | 421%            |
| 0.14          | 494%             | 489%           | 440%              | 408%            |
| 0.12          | 523%             | 540%           | 495%              | 408%            |
| 0.1           | 550%             | 546%           | 372%              | 382%            |
| 0.08          | 546%             | 546%           | 395%              | 408%            |

Table 3: Percentage increment in mean EER due to the robotic impostor attack on the landscape strokes. For each stroke type and enrollment threshold (α), the increment in mean EER is expressed as a percentage of the mean EER obtained during the zero-effort attack.

### Appendix 3: Statistical Significance Tests on the Performance of the Attack

#### (a) Mean and Standard Deviation of EERs Obtained for the SVM Verifier Before the Robotic Attack

| Threshold (α) | Horizontal (SVM) | Vertical (SVM) |
|---------------|------------------|----------------|
| 0.2           | 1.81E-07         | 1.40E-05       |
| 0.18          | 7.50E-06         | 6.90E-07       |
| 0.16          | 6.69E-07         | 7.27E-06       |
| 0.14          | 1.21E-06         | 6.46E-06       |
| 0.12          | 5.10E-05         | 1.20E-04       |
| 0.1           | 1.48E-04         | 9.90E-05       |
| 0.08          | 2.71E-03         | 7.57E-05       |

#### (b) Mean and Standard Deviation of EERs Obtained for the SVM Verifier After the Robotic Attack

| Threshold (α) | Horizontal (SVM) | Vertical (SVM) |
|---------------|------------------|----------------|
| 0.2           | 8.14E-08         | 1.99E-07       |
| 0.18          | 4.53E-07         | 4.16E-06       |
| 0.16          | 1.67E-05         | 4.02E-05       |
| 0.14          | 5.30E-04         | 1.04E-07       |
| 0.12          | 2.57E-08         | 8.48E-08       |
| 0.1           | 7.38E-08         | 9.03E-07       |
| 0.08          | 1.60E-05         | 1.56E-05       |

#### (c) Mean and Standard Deviation of EERs Obtained for the k-NN Verifier Before the Robotic Attack

| Threshold (α) | Horizontal (k-NN) | Vertical (k-NN) |
|---------------|--------------------|-----------------|
| 0.2           | 1.81E-07           | 1.40E-05        |
| 0.18          | 7.50E-06           | 6.90E-07        |
| 0.16          | 6.69E-07           | 7.27E-06        |
| 0.14          | 1.21E-06           | 6.46E-06        |
| 0.12          | 5.10E-05           | 1.20E-04        |
| 0.1           | 1.48E-04           | 9.90E-05        |
| 0.08          | 2.71E-03           | 7.57E-05        |

#### (d) Mean and Standard Deviation of EERs Obtained for the k-NN Verifier After the Robotic Attack

| Threshold (α) | Horizontal (k-NN) | Vertical (k-NN) |
|---------------|--------------------|-----------------|
| 0.2           | 8.14E-08           | 1.99E-07        |
| 0.18          | 4.53E-07           | 4.16E-06        |
| 0.16          | 1.67E-05           | 4.02E-05        |
| 0.14          | 5.30E-04           | 1.04E-07        |
| 0.12          | 2.57E-08           | 8.48E-08        |
| 0.1           | 7.38E-08           | 9.03E-07        |
| 0.08          | 1.60E-05           | 1.56E-05        |

Table 4: P values returned by the Wilcoxon signed-rank test on the impact of the robotic attack on the performance of the k-NN and SVM verification algorithms for the portrait strokes.

### Figure 8: Impact of the Robotic Attack on the Classification of the Horizontal Strokes Generated in Landscape Mode

The error bars indicate one standard deviation from the mean EER. The bottom axis shows the failure to enroll thresholds (α), while the top axis shows the number of users who are able to enroll for each value of α.

| EER Threshold (α) | Mean EER | Number of Users |
|-------------------|----------|-----------------|
| 0.2               | 0.10     | 29              |
| 0.18              | 0.10     | 29              |
| 0.16              | 0.10     | 28              |
| 0.14              | 0.10     | 25              |
| 0.12              | 0.10     | 24              |
| 0.1               | 0.10     | 18              |
| 0.08              | 0.10     | 14              |

This table and figure illustrate the impact of the robotic attack on the classification of horizontal strokes generated in landscape mode.
