### 问题描述
在我的Windows 2003成员服务器上，出现了一个与DNS相关的事件日志错误。具体信息如下：

- **事件类型**：警告
- **来源**：DnsApi
- **事件类别**：无
- **事件ID**：11166
- **日期**：2009年5月27日
- **时间**：10:57:24

值得注意的是，100.150是分配给100.1的辅助IP地址。

### 问题分析
根据提供的信息，事件ID 11166通常表示DNS更新失败。这可能是由于以下几个原因造成的：
1. **DNS服务器配置问题**：检查发送更新请求的服务器是否正确配置了DNS服务器。
2. **网络连接问题**：确保服务器与DNS服务器之间的网络连接正常。
3. **权限问题**：确保服务器具有正确的权限来执行DNS更新。

### 解决建议
1. **检查DNS服务器绑定**：
   - 确认100.1和100.150这两个IP地址在DNS服务器上的配置是否正确。
   - 检查DNS服务器是否正确监听这两个IP地址。

2. **验证DNS服务器设置**：
   - 确认发送更新请求的服务器（即出现问题的服务器）是否将100.1或100.150作为其主要DNS服务器。
   - 如果使用的是100.150，请确保该IP地址在DNS服务器上已正确配置并启用。

3. **检查网络连接**：
   - 使用`ping`命令测试从出现问题的服务器到DNS服务器的连通性。
   - 使用`nslookup`命令检查DNS解析是否正常。

4. **检查权限**：
   - 确保服务器具有执行DNS更新所需的适当权限。
   - 检查DNS服务器的安全设置，确保没有阻止更新的策略。

通过以上步骤，您应该能够诊断并解决这个问题。如果问题仍然存在，建议查看更详细的日志信息以获取更多线索。
