Possibly related to #13591. Causes dask/dask#1452
#### Code Sample, a copy-pastable example if possible
    import pandas as pd
    pd.msgpack.unpackb(pd.msgpack.packb("a"))
#### Expected Output
    "a"
instead, we get
    b"a"
#### output of `pd.show_versions()`
    INSTALLED VERSIONS
    ------------------
    commit: None
    python: 3.5.2.final.0
    python-bits: 64
    OS: Linux
    OS-release: 4.4.0-31-generic
    machine: x86_64
    processor: x86_64
    byteorder: little
    LC_ALL: None
    LANG: en_US.UTF-8
    pandas: 0.18.1
    nose: None
    pip: 8.1.2
    setuptools: 25.1.6
    Cython: None
    numpy: 1.11.1
    scipy: None
    statsmodels: None
    xarray: None
    IPython: 5.0.0
    sphinx: None
    patsy: None
    dateutil: 2.5.3
    pytz: 2016.6.1
    blosc: None
    bottleneck: None
    tables: None
    numexpr: None
    matplotlib: None
    openpyxl: None
    xlrd: None
    xlwt: None
    xlsxwriter: None
    lxml: None
    bs4: None
    html5lib: None
    httplib2: None
    apiclient: None
    sqlalchemy: None
    pymysql: None
    psycopg2: None
    jinja2: 2.8
    boto: None
    pandas_datareader: None
