## Steps to Reproduce
I'm trying to display alert dialog with listview inside
![screen shot 2018-06-01 at 11 20 05](https://user-
images.githubusercontent.com/39688814/40833301-d03f6832-658d-11e8-8e24-e39fe779942c.png)
![screen shot 2018-06-01 at 11 18 02](https://user-
images.githubusercontent.com/39688814/40833222-9047d5c0-658d-11e8-92bf-317a0d5a0ac6.png)
But I'm getting following exception
## Logs
    2018-06-01 11:04:00.028 29259-29301/com.hatak.migawka I/flutter: ══╡ EXCEPTION CAUGHT BY RENDERING LIBRARY ╞═════════════════════════════════════════════════════════
    2018-06-01 11:04:00.042 29259-29301/com.hatak.migawka I/flutter: The following assertion was thrown during performLayout():
    2018-06-01 11:04:00.043 29259-29301/com.hatak.migawka I/flutter: RenderViewport does not support returning intrinsic dimensions.
    2018-06-01 11:04:00.043 29259-29301/com.hatak.migawka I/flutter: Calculating the intrinsic dimensions would require instantiating every child of the viewport, which
    2018-06-01 11:04:00.043 29259-29301/com.hatak.migawka I/flutter: defeats the point of viewports being lazy.
    2018-06-01 11:04:00.043 29259-29301/com.hatak.migawka I/flutter: If you are merely trying to shrink-wrap the viewport in the main axis direction, consider a
    2018-06-01 11:04:00.043 29259-29301/com.hatak.migawka I/flutter: RenderShrinkWrappingViewport render object (ShrinkWrappingViewport widget), which achieves that
    2018-06-01 11:04:00.043 29259-29301/com.hatak.migawka I/flutter: effect without implementing the intrinsic dimension API.
    2018-06-01 11:04:00.044 29259-29301/com.hatak.migawka I/flutter: When the exception was thrown, this was the stack:
    2018-06-01 11:04:00.049 29259-29301/com.hatak.migawka I/flutter: #0      RenderViewportBase.debugThrowIfNotCheckingIntrinsics. (package:flutter/src/rendering/viewport.dart:230:9)
    2018-06-01 11:04:00.049 29259-29301/com.hatak.migawka I/flutter: #1      RenderViewportBase.debugThrowIfNotCheckingIntrinsics (package:flutter/src/rendering/viewport.dart:240:6)
    2018-06-01 11:04:00.049 29259-29301/com.hatak.migawka I/flutter: #2      RenderViewportBase.computeMaxIntrinsicWidth (package:flutter/src/rendering/viewport.dart:252:12)
    2018-06-01 11:04:00.049 29259-29301/com.hatak.migawka I/flutter: #3      RenderBox._computeIntrinsicDimension. (package:flutter/src/rendering/box.dart:1063:23)
    2018-06-01 11:04:00.049 29259-29301/com.hatak.migawka I/flutter: #4      __InternalLinkedHashMap&_HashVMBase&MapMixin&_LinkedHashMapMixin.putIfAbsent (dart:collection/runtime/libcompact_hash.dart:277:23)
    2018-06-01 11:04:00.050 29259-29301/com.hatak.migawka I/flutter: #5      RenderBox._computeIntrinsicDimension (package:flutter/src/rendering/box.dart:1061:41)
    2018-06-01 11:04:00.050 29259-29301/com.hatak.migawka I/flutter: #6      RenderBox.getMaxIntrinsicWidth (package:flutter/src/rendering/box.dart:1245:12)
    2018-06-01 11:04:00.050 29259-29301/com.hatak.migawka I/flutter: #7      _RenderProxyBox&RenderBox&RenderObjectWithChildMixin&RenderProxyBoxMixin.computeMaxIntrinsicWidth (package:flutter/src/rendering/proxy_box.dart:81:20)
    2018-06-01 11:04:00.050 29259-29301/com.hatak.migawka I/flutter: #8      RenderBox._computeIntrinsicDimension. (package:flutter/src/rendering/box.dart:1063:23)
    2018-06-01 11:04:00.050 29259-29301/com.hatak.migawka I/flutter: #9      __InternalLinkedHashMap&_HashVMBase&MapMixin&_LinkedHashMapMixin.putIfAbsent (dart:collection/runtime/libcompact_hash.dart:277:23)
    2018-06-01 11:04:00.050 29259-29301/com.hatak.migawka I/flutter: #10     RenderBox._computeIntrinsicDimension (package:flutter/src/rendering/box.dart:1061:41)
    2018-06-01 11:04:00.050 29259-29301/com.hatak.migawka I/flutter: #11     RenderBox.getMaxIntrinsicWidth (package:flutter/src/rendering/box.dart:1245:12)
