1925,20171224-0:11:57:149,Step_LSC,30002312,onExtend:1514045517000 0 0 0,E39,onExtend:   
1926,20171224-0:11:57:442,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514045400000##0##549659##8661##16256##34160765,E22,getTodayTotalDetailSteps = ##########
1927,20171224-0:11:57:443,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514045400000##0##549659##8661##16256##34161762,E58,setTodayTotalDetailSteps=
1928,20171224-0:11:57:449,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=0,E4,calculateCaloriesWithCache totalCalories=
1929,20171224-0:11:57:450,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0,E3,calculateAltitudeWithCache totalAltitude=
1930,20171224-0:12:0:138,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1931,20171224-0:13:0:151,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1932,20171224-0:14:0:160,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1933,20171224-0:15:0:147,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1934,20171224-0:15:52:983,Step_LSC,30002312,onStandStepChanged 3786,E42,onStandStepChanged 
1935,20171224-0:15:52:990,Step_LSC,30002312,onExtend:1514045753000 0 0 0,E39,onExtend:   
1936,20171224-0:15:53:285,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514045400000##0##549659##8661##16256##34161762,E22,getTodayTotalDetailSteps = ##########
1937,20171224-0:15:53:286,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514045640000##0##549659##8661##16256##34397604,E58,setTodayTotalDetailSteps=
1938,20171224-0:15:53:292,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=0,E4,calculateCaloriesWithCache totalCalories=
1939,20171224-0:15:53:292,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0,E3,calculateAltitudeWithCache totalAltitude=
1940,20171224-0:16:0:149,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1941,20171224-0:17:0:126,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1942,20171224-0:18:0:103,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1943,20171224-0:19:0:137,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1944,20171224-0:20:0:128,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1945,20171224-0:21:0:131,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1946,20171224-0:22:0:135,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,E44,processHandleBroadcastAction action:android.intent.action.TIME_TICK
