[3.5.1 DBSCAN 聚类 [74](#dbscan-聚类)](\l)
[3.5.2 K-MEANS 聚类算法 [74](#k-means-聚类算法)](\l)
[3.5.3 层次聚类算法（新） [75](#层次聚类算法新)](\l)
[3.5.4 重复二分聚类算法（新） [75](#重复二分聚类算法新)](\l)
[3.6类别预测 [76](#类别预测)](\l)
[3.6.1 NaiveBayes 算法 [76](#naivebayes-算法)](\l)
[3.6.2 ID3 决策树算法 [76](#id3-决策树算法)](\l)
[3.6.3 SVM 分类算法 [76](#svm-分类算法)](\l)
[3.6.4 Xgboost 算法 [77](#xgboost-算法)](\l)
[3.6.5 iForest 算法 [77](#iforest-算法)](\l)
[3.6.6 随机森林 [78](#随机森林)](\l)
[3.6.7 GBDT 算法 [78](#gbdt-算法)](\l)
[3.6.8 BP 算法 [79](#bp-算法)](\l)
[3.6.9 AutoEncoder 算法 [79](#autoencoder-算法)](\l)
[3.6.10 贝叶斯网络算法（新） [80](#贝叶斯网络算法新)](\l)
[3.6.11 朴素贝叶斯分类算法（新） [80](#_Toc6958)](\l)
[3.6.12 Fasttext文本分类算法（新） [81](#fasttext文本分类算法新)](\l)
[3.7回归分析 [81](#回归分析)](\l)
[3.7.1 多元线性回归算法 [81](#多元线性回归算法)](\l)
[3.7.2 简单线性回归算法 [82](#简单线性回归算法)](\l)
[3.7.3 多项式回归算法（新） [82](#多项式回归算法新)](\l)
[3.8 统计分析 [83](#统计分析)](\l)
[3.8.1 数据牛顿插值算法 [83](#数据牛顿插值算法)](\l)
[3.8.2拉格朗日插值算法 [83](#拉格朗日插值算法)](\l)
[3.8.3 熵值法 [84](#熵值法)](\l)
[3.8.4 曲线拟合最小二乘法 [84](#曲线拟合最小二乘法)](\l)
[3.8.5 Z-score 标准化的算法 [84](#z-score-标准化的算法)](\l)
[3.8.6 四分位距算法（新） [85](#四分位距算法新)](\l)
[3.9 优化算法 [85](#优化算法)](\l)
[3.9.1 Ballooning 气球技术 [85](#ballooning-气球技术)](\l)
[3.9.2 Floyd-Warshall 算法 [86](#floyd-warshall-算法)](\l)
[3.9.3 遗传算法（新） [86](#遗传算法新)](\l)
[3.9.4 爬山算法（新） [87](#爬山算法新)](\l)
[3.9.5 粒子群算法（新） [87](#粒子群算法新)](\l)
[3.9.6 蚁群算法（新） [88](#蚁群算法新)](\l)
[]{#_Toc8296 .anchor}**修订历史记录**
+---------+--------------------------------+-----------+--------------+
| 序号    | 修改描述                       | 日期      | 作者         |
+=========+================================+===========+==============+
| 1       | 创建文档                       | 2         | 温明媚       |
|         |                                | 019-11-01 |              |
+---------+--------------------------------+-----------+--------------+
| 2       | 1.  在一期白皮书原有的质量     | 2         | 贾晓冬       |
|         | 保障类、效率提升类、成本管理类 | 021-05-20 |              |
|         | 基础上，增加场景联动类、可视化 |           |              |
|         | 展示两大场景分类，见2.4、2.5； |           |              |
|         |                                |           |              |
|         | 2.                             |           |              |
|         |   质量保障类中依照运维保障工作 |           |              |
|         | 流程新增事前、事中、事后保障分 |           |              |
|         | 类，见2.1.1、2.1.1.2、2.1.3，  |           |              |
|         | 其中事前保障中新增性能预测、容 |           |              |
|         | 量预测、风险规避三大能力维度， |           |              |
|         | 见2.1.1.1、2.1.1.2、2.1.1.3；  |           |              |
|         |                                |           |              |
|         | 3.                             |           |              |
|         |   成本管理类中新增资源预测和成 |           |              |
|         | 本优化两大能力维度，见2.3.1、  |           |              |
|         |     2.3.5；                    |           |              |
|         |                                |           |              |
|         | 4.  质量保障类的事前保障       |           |              |
|         | 中，原有的能力维度故障预测中新 |           |              |
|         | 增Timesten故障预测、开源软件故 |           |              |
|         | 障预测、容器故障预测、调用链故 |           |              |
|         | 障预测和主机故障预测，见2.1.1  |           |              |
|         | .4.1、2.1.1.4.2、2.1.1.4.3、2. |           |              |
|         | 1.1.4.4、2.1.1.4.5；事中保障的 |           |              |
|         | 原有能力维度异常检测中新增主机 |           |              |
|         | 异常行为检测、终端异常行为检测 |           |              |
|         | 、用户行为异常行为检测、调用链 |           |              |
|         | 结构的安全检测、网络智能基线告 |           |              |
|         | 警、网络入侵检测、开源软件异常 |           |              |
|         | 检测，见2.1.2.1.4、2.1.2.1.21  |           |              |
|         | 、2.1.2.1.22、2.1.2.1.25、2.1. |           |              |
|         | 2.1.33、2.1.2.1.34、2.1.2.1.36 |           |              |
|         | ；故障诊断中新增微服务故障诊断 |           |              |
|         | 、容器故障诊断、开源软件故障诊 |           |              |
|         | 断，见2.1.2.2.1、2.1.2.2.2、2  |           |              |
|         | .1.2.2.3；故障自愈中新增能力开 |           |              |
|         | 放服务故障自愈、容器云服务故障 |           |              |
|         | 自愈、数据库故障自愈、数据库关 |           |              |
|         | 联应用故障自愈、业务故障关联自 |           |              |
|         | 愈、智能策略匹配自愈，见2.1.2. |           |              |
|         | 3.1、2.1.2.3.2、2.1.2.3.3、2.1 |           |              |
|         | .2.3.4、2.1.2.3.5、2.1.2.3.6； |           |              |
