为了使文本更加清晰、连贯和专业，可以将其重新组织并添加适当的标题和说明。以下是优化后的版本：

---

### 分类器性能评估

#### Herrmann 数据集 (k = 128)

| 对策 | 无 | Session Random 255 | Packet Random 255 | Pad to MTU | Packet Random MTU | Exponential | Linear | Mice-Elephants | Direct Target Sampling | Traffic Morphing |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| LL | 87.1 ± 0.6 | 25.3 ± 0.4 | 43.6 ± 0.7 | 41.3 ± 0.6 | 21.8 ± 0.5 | 72.9 ± 0.6 | 79.2 ± 0.7 | 55.9 ± 0.9 | 19.4 ± 1.0 | 20.1 ± 1.2 |
| H | 87.4 ± 0.3 | 9.5 ± 0.1 | 13.1 ± 0.3 | 5.0 ± 0.1 | 7.5 ± 0.1 | 61.2 ± 0.4 | 73.9 ± 0.3 | 25.6 ± 0.3 | 2.5 ± 0.3 | 4.1 ± 0.5 |
| P | 87.5 ± 0.6 | 66.1 ± 0.6 | 74.0 ± 0.7 | 69.2 ± 0.7 | 69.1 ± 0.7 | 82.1 ± 0.8 | 84.2 ± 0.6 | 75.6 ± 0.7 | 47.4 ± 1.4 | 55.3 ± 1.3 |
| BW | 55.7 ± 0.7 | 38.6 ± 0.5 | 51.5 ± 0.7 | 41.8 ± 0.6 | 40.2 ± 0.6 | 54.8 ± 0.8 | 54.4 ± 0.9 | 49.3 ± 0.6 | 26.8 ± 1.1 | 25.6 ± 1.1 |
| TIME | 11.6 ± 0.7 | 12.1 ± 0.6 | 11.8 ± 0.6 | 11.6 ± 0.7 | 11.4 ± 0.8 | 10.5 ± 0.7 | 12.0 ± 0.7 | 11.7 ± 0.5 | 11.1 ± 0.7 | 12.3 ± 0.7 |
| VNG | 72.0 ± 1.1 | 60.5 ± 1.1 | 65.6 ± 1.3 | 56.8 ± 1.2 | 47.1 ± 1.0 | 74.1 ± 0.8 | 70.3 ± 0.9 | 65.9 ± 1.1 | 35.7 ± 3.0 | 45.4 ± 2.1 |
| VNG++ | 76.3 ± 1.0 | 68.7 ± 1.2 | 71.8 ± 1.0 | 65.7 ± 1.1 | 60.3 ± 1.0 | 78.0 ± 0.9 | 74.3 ± 1.4 | 71.2 ± 1.0 | 49.7 ± 1.9 | 56.7 ± 2.0 |

**图13**：分类器在 k = 128 时的性能表现，使用 Herrmann 数据集。

#### Liberatore 数据集 (k = 128)

| 对策 | 无 | Session Random 255 | Packet Random 255 | Pad to MTU | Packet Random MTU | Exponential | Linear | Mice-Elephants | Direct Target Sampling | Traffic Morphing |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| k = 16 | 96.9 ± 0.1 | 96.0 ± 0.1 | 96.6 ± 0.1 | 95.2 ± 0.1 | 95.0 ± 0.1 | 97.1 ± 0.1 | 96.9 ± 0.1 | 96.2 ± 0.1 | 93.1 ± 0.2 | 94.8 ± 0.2 |
| k = 32 | 95.9 ± 0.2 | 94.7 ± 0.2 | 95.7 ± 0.2 | 93.2 ± 0.2 | 93.1 ± 0.2 | 96.5 ± 0.1 | 96.0 ± 0.2 | 95.1 ± 0.2 | 89.8 ± 0.2 | 92.8 ± 0.2 |
| k = 64 | 95.1 ± 0.2 | 93.4 ± 0.2 | 94.5 ± 0.2 | 91.4 ± 0.2 | 90.8 ± 0.2 | 95.6 ± 0.2 | 95.1 ± 0.2 | 93.6 ± 0.2 | 85.3 ± 0.3 | 90.2 ± 0.3 |
| k = 128 | 93.9 ± 0.3 | 91.6 ± 0.3 | 93.5 ± 0.3 | 88.2 ± 0.4 | 87.6 ± 0.3 | 94.8 ± 0.3 | 94.3 ± 0.3 | 91.7 ± 0.4 | 80.2 ± 0.5 | 85.6 ± 0.7 |
| k = 256 | 93.3 ± 0.4 | 89.4 ± 0.4 | 92.2 ± 0.5 | 84.2 ± 0.5 | 83.3 ± 0.5 | 93.7 ± 0.4 | 92.8 ± 0.5 | 90.0 ± 0.5 | 74.3 ± 0.8 | 83.3 ± 0.7 |
| k = 512 | 91.6 ± 0.6 | 85.6 ± 0.6 | 89.8 ± 0.7 | 79.5 ± 0.8 | 78.6 ± 0.6 | 92.5 ± 0.6 | 91.8 ± 0.6 | 86.5 ± 0.8 | 65.8 ± 1.8 | 77.7 ± 2.3 |
| k = 775 | 90.6 ± 0.9 | 84.1 ± 0.5 | 88.5 ± 0.8 | 77.3 ± 0.7 | 74.8 ± 0.8 | 90.8 ± 1.2 | 89.5 ± 1.1 | 84.0 ± 0.8 | 61.0 ± 4.1 | 75.1 ± 3.1 |

**图14**：分类器在 k = 128 时的性能表现，使用 Liberatore 数据集。

#### VNG++ 分类器性能 (Herrmann 数据集)

| 对策 | 无 | Session Random 255 | Packet Random 255 | Pad to MTU | Packet Random MTU | Exponential | Linear | Mice-Elephants | Direct Target Sampling | Traffic Morphing |
