567,10.30 20:42:33,YodaoDict.exe,oimagea5.ydstatic.com:80 error : A connection request was canceled before the completion.,E7,: error : A connection request was canceled before the completion.
568,10.30 20:42:33,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
569,10.30 20:42:34,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1299 bytes (1.26 KB) sent, 1029 bytes (1.00 KB) received, lifetime  close,  bytessent,  bytesreceived, lifetime "
570,10.30 20:42:34,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1007 bytes sent, 355 bytes received, lifetime 00:08",E8," close,  bytessent,  bytesreceived, lifetime "
571,10.30 20:42:37,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
572,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1354 bytes (1.32 KB) sent, 902 bytes received, lifetime 00:15",E8," close,  bytessent,  bytesreceived, lifetime "
573,10.30 20:42:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
574,10.30 20:42:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
575,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1481 bytes (1.44 KB) sent, 1804 bytes (1.76 KB) received, lifetime 00:32",E8," close,  bytessent,  bytesreceived, lifetime "
576,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 453 bytes sent, 352 bytes received, lifetime 00:02",E8," close,  bytessent,  bytesreceived, lifetime "
577,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 4186 bytes (4.08 KB) sent, 2888 bytes (2.82 KB) received, lifetime 00:06",E8," close,  bytessent,  bytesreceived, lifetime "
578,10.30 20:42:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
579,10.30 20:42:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1318 bytes (1.28 KB) sent, 427 bytes received, lifetime 00:01",E8," close,  bytessent,  bytesreceived, lifetime "
580,10.30 20:42:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
581,10.30 20:42:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
582,10.30 20:42:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
583,10.30 20:42:43,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:02",E8," close,  bytessent,  bytesreceived, lifetime "
584,10.30 20:42:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:03",E8," close,  bytessent,  bytesreceived, lifetime "
585,10.30 20:42:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,: open through proxy : HTTPS
