34.3 布局
34.3.1 StackPanel
34.3.2 WrapPanel
34.3.3 Canvas
34.3.4 DockPanel
34.3.5 Grid
34.4 触发器
34.4.1 属性触发器
34.4.2 多触发器
34.4.3 数据触发器
34.5 菜单和功能区控件
34.5.1 菜单控件
34.5.2 功能区控件
34.6 Commanding
34.6.1 定义命令
34.6.2 定义命令源
34.6.3 命令绑定
34.7 数据绑定
34.7.1 BooksDemo应用程序内容
34.7.2 用XAML绑定
34.7.3 简单对象的绑定
34.7.4 更改通知
34.7.5 对象数据提供程序
34.7.6 列表绑定
34.7.7 主从绑定
34.7.8 多绑定
34.7.9 优先绑定
34.7.10 值的转换
34.7.11 动态添加列表项
34.7.12 动态添加选项卡中的项
34.7.13 数据模板选择器
34.7.14 绑定到XML上
34.7.15 绑定的验证和错误处理
34.8 TreeView
34.9 DataGrid
34.9.1 自定义列
34.9.2 行的细节
34.9.3 用DataGrid进行分组
34.9.4 实时成型
34.10 小结
第35章 用WPF创建文档
35.1 简介
35.2 文本元素
35.2.1 字体
35.2.2 TextEffect
35.2.3 内联
35.2.4 块
35.2.5 列表
35.2.6 表
35.2.7 块的锚定
35.3 流文档
35.4 固定文档
35.5 XPS文档
35.6 打印
35.6.1 用PrintDialog打印
35.6.2 打印可见元素
35.7 小结
第36章 部署Windows应用程序
36.1 部署是应用程序生命周期的一部分
36.2 部署的规划
36.2.1 部署选项
36.2.2 部署要求
36.2.3 部署.NET运行库
36.3 传统的部署选项
36.3.1 xcopy部署
36.3.2 Windows Installer
36.4 ClickOnce
36.4.1 ClickOnce操作
36.4.2 发布ClickOnce应用程序
36.4.3 ClickOnce设置
36.4.4 ClickOnce文件的应用程序缓存
36.4.5 应用程序的安装
36.4.6 ClickOnce部署API
36.5 UWP应用程序
36.5.1 创建应用程序包
36.5.2 Windows App Certification Kit
36.5.3 旁加载
36.6 小结
第Ⅳ部分 Web应用程序和服务
第37章 ADO.NET
37.1 ADO.NET概述
37.1.1 示例数据库
37.1.2 NuGet包和名称空间
37.2 使用数据库连接
37.2.1 管理连接字符串
37.2.2 连接池
37.2.3 连接信息
37.3 命令
37.3.1 ExecuteNonQuery（）方法
37.3.2 ExecuteScalar（）方法
37.3.3 ExecuteReader（）方法
37.3.4 调用存储过程
37.4 异步数据访问
37.5 事务
37.6 小结
第38章 Entity Framework Core
38.1 Entity Framework简史
38.2 Entity Framework简介
38.2.1 创建模型
38.2.2 创建上下文
38.2.3 写入数据库
38.2.4 读取数据库
38.2.5 更新记录
38.2.6 删除记录
38.3 使用依赖注入
38.4 创建模型
38.4.1 创建关系
38.4.2 用.NET CLI迁移
38.4.3 用MSBuild迁移
38.4.4 创建数据库
38.4.5 数据注释
38.4.6 流利API
38.4.7 在数据库中搭建模型
38.5 使用对象状态
38.5.1 用关系添加对象
38.5.2 对象的跟踪
38.5.3 更新对象
38.5.4 更新未跟踪的对象
38.6 冲突的处理
38.6.1 最后一个更改获胜
38.6.2 第一个更改获胜
38.7 使用事务
38.7.1 使用隐式的事务
38.7.2 创建显式的事务
38.8 小结
第39章 Windows服务
39.1 Windows服务
39.2 Windows服务的体系结构
39.2.1 服务程序
39.2.2 服务控制程序
39.2.3 服务配置程序
39.2.4 Windows服务的类
39.3 创建Windows服务程序
39.3.1 创建服务的核心功能
39.3.2 QuoteClient示例
39.3.3 Windows服务程序
39.3.4 线程化和服务
39.3.5 服务的安装
39.3.6 安装程序
39.4 Windows服务的监控和控制
39.4.1 MMC管理单元
39.4.2 net.exe实用程序
39.4.3 sc.exe实用程序
39.4.4 Visual Studio Server Explorer
39.4.5 编写自定义ServiceController类
39.5 故障排除和事件日志
39.6 小结
第40章 ASP.NET Core
40.1 ASP.NET Core 1.0
40.2 Web技术
40.2.1 HTML
40.2.2 CSS
40.2.3 JavaScript和TypeScript
40.2.4 脚本库
40.3 ASP.NET Web项目
40.4 启动
40.5 添加静态内容
40.5.1 使用JavaScript包管理器：npm
40.5.2 用gulp构建
40.5.3 通过Bower使用客户端库
40.6 请求和响应
40.6.1 请求标题
40.6.2 查询字符串
40.6.3 编码
40.6.4 表单数据
40.6.5 cookie
40.6.6 发送JSON
40.7 依赖注入
40.7.1 定义服务
40.7.2 注册服务
40.7.3 注入服务
40.7.4 调用控制器
40.8 使用映射的路由
40.9 使用中间件
40.10 会话状态
40.11 配置ASP.NET
40.11.1 读取配置
40.11.2 基于环境的不同配置
40.11.3 用户密钥
40.12 小结
第41章 ASP.NET MVC
41.1 为ASP.NET MVC 6建立服务
41.2 定义路由
41.2.1 添加路由
41.2.2 使用路由约束
41.3 创建控制器
41.3.1 理解动作方法
41.3.2 使用参数
41.3.3 返回数据
41.3.4 使用Controller基类和POCO控制器
41.4 创建视图
41.4.1 向视图传递数据
41.4.2 Razor语法
41.4.3 创建强类型视图
41.4.4 定义布局
41.4.5 用部分视图定义内容
41.4.6 使用视图组件
41.4.7 在视图中使用依赖注入
41.4.8 为多个视图导入名称空间
41.5 从客户端提交数据
41.5.1 模型绑定器
41.5.2 注解和验证
41.6 使用HTML Helper
41.6.1 简单的Helper
41.6.2 使用模型数据
41.6.3 定义HTML特性
41.6.4 创建列表
41.6.5 强类型化的Helper
41.6.6 编辑器扩展
41.6.7 实现模板
41.7 标记辅助程序
41.7.1 激活标记辅助程序
41.7.2 使用锚定标记辅助程序
41.7.3 使用标签标记辅助程序
41.7.4 使用输入标记辅助程序
41.7.5 使用表单进行验证
41.7.6 创建自定义标记辅助程序
41.8 实现动作过滤器
41.9 创建数据驱动的应用程序
41.9.1 定义模型
41.9.2 创建数据库
41.9.3 创建服务
41.9.4 创建控制器
41.9.5 创建视图
41.10 实现身份验证和授权
41.10.1 存储和检索用户信息
41.10.2 启动身份系统
41.10.3 执行用户注册
41.10.4 设置用户登录
41.10.5 验证用户的身份
41.11 小结
第42章 ASP.NET Web API
42.1 概述
42.2 创建服务
42.2.1 定义模型
42.2.2 创建存储库
42.2.3 创建控制器
42.2.4 修改响应格式
42.2.5 REST结果和状态码
42.3 创建异步服务
42.4 创建.NET客户端
42.4.1 发送GET请求
42.4.2 从服务中接收XML
42.4.3 发送POST请求
42.4.4 发送PUT请求
42.4.5 发送DELETE请求
42.5 写入数据库
42.5.1 定义数据库
42.5.2 创建存储库
42.6 创建元数据
42.7 创建和使用OData服务
42.7.1 创建数据模型
42.7.2 创建服务
42.7.3 OData查询
42.8 小结
第43章 WebHooks和SignaIR
43.1 概述
43.2 SignalR的体系结构
43.3 使用SignalR的简单聊天程序
43.3.1 创建集线器
43.3.2 用HTML和JavaScript创建客户端
43.3.3 创建SignalR .NET客户端
43.4 分组连接
43.4.1 用分组扩展集线器
43.4.2 用分组扩展WPF客户端
43.5 WebHooks的体系结构
43.6 创建Dropbox和GitHub接收器
43.6.1 创建Web应用程序
43.6.2 为Dropbox和GitHub配置WebHooks
43.6.3 实现处理程序
43.6.4 用Dropbox和GitHub配置应用程序
43.6.5 运行应用程序
43.7 小结
第44章 WCF
44.1 WCF概述
44.1.1 SOAP
44.1.2 WSDL
44.2 创建简单的服务和客户端
44.2.1 定义服务和数据协定
44.2.2 数据访问
44.2.3 服务的实现
