# 入侵攻击模拟概述

## 什么是入侵攻击模拟
入侵攻击模拟（Breach and Attack Simulation, BAS）是一种通过自动化技术对企业基础设施进行持续安全测试的方法。它从攻击者的视角出发，模拟真实的攻击场景，以评估企业的防御和检测能力。

## 要解决的问题
- **配置错误和运营问题**：企业采用多种安全措施，但每种措施都可能因配置错误或运营问题而失效，且难以察觉。
- **蓝军成本高**：仅依靠内部蓝军或外部渗透测试，案例数量较少、时间上不连续、可能遗漏且成本高昂。
- **安全水位无法量化**：缺乏有效的手段来量化当前的安全水平，建设效果难以衡量。

## 存在的挑战
- **威胁建模与分级**：如何对入侵攻击场景进行威胁建模并分级。
- **持续真实测试**：如何持续、尽量真实地测试并避免稳定性问题。
- **防御和检测水位量化**：如何量化评估防御和检测的能力。

## 入侵攻击模拟演练
### 机制简介
- **突破入口模拟**：模拟攻击者寻找并利用系统漏洞进入企业网络的过程。
- **防御水位衡量**：通过模拟攻击，评估现有防御措施的有效性。
- **检测/响应水位衡量**：测试企业在检测到攻击后的响应速度和有效性。

### 演练流程
1. **目标入口**：识别系统的脆弱点。
2. **攻击向量**：选择合适的攻击方法。
3. **绕过手法**：使用各种技术绕过现有的防御措施。
4. **恶意行为**：实施具体的攻击行为，如命令执行、数据窃取等。
5. **拦截情况**：记录每次攻击是否被成功拦截。
6. **结果汇总**：分析测试结果，优化防御策略。

### 测试方法
- **随机拨测**：每日随机演练，确保IDS告警产出的稳定性。
- **回归测试**：在IDS有更新时自测有效性后再上线。
- **历史事件复现**：通过构造特定剧本，复现历史入侵事件用于复测。

### 技术细节
- **脚本小子**：技术水平一般，主要利用现成工具；资源少。
- **专业蓝军**：技术水平较高，自行编写工具；资源较多。
- **国家顶尖**：技术水平高，可能使用0day；资源丰富。

### 攻防重点
- **攻击方**：寻找突破入口，实施恶意行为。
- **防守方**：阻止攻击，检测响应修复。
- **模拟演练方**：编排演练剧本，生成演练报告。

### 量化指标
- **ATT&CK矩阵维度**：评估不同攻击阶段的可检测手法比例。
- **事件等级评定**：根据各维度得分评定事件级别。
- **检测水位衡量矩阵**：评估不同攻击阶段的检测效果。
- **响应水位衡量**：评估企业在检测到攻击后的响应效果。

通过以上方法和技术，入侵攻击模拟可以帮助企业更好地了解其安全状况，及时发现并修复漏洞，提高整体安全水平。
