User: The following is 20 lines of a system log. Each line consists of a timestamp, log level, process id, relevant software component, and the log content. Think step-by-step and step and summarize this log chunk: 
2015-07-29 19:28:57, INFO, None, 3888:QuorumCnxManager$Listener, Received connection request /10.10.34.12:56322
2015-07-29 19:28:57, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Interrupted while waiting for message on queue
2015-07-29 19:28:57, WARN, None, 188978561024:QuorumCnxManager$RecvWorker, Interrupting SendWorker
2015-07-29 19:29:00, INFO, None, 3888:QuorumCnxManager$Listener, Received connection request /10.10.34.11:59783
2015-07-29 19:29:00, INFO, None, 3888:QuorumCnxManager$Listener, Received connection request /10.10.34.12:56339
2015-07-29 19:29:03, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Interrupted while waiting for message on queue
2015-07-29 19:29:03, WARN, None, 188978561024:QuorumCnxManager$RecvWorker, Interrupting SendWorker
2015-07-29 19:29:04, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Send worker leaving thread
2015-07-29 19:29:04, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Send worker leaving thread
2015-07-29 19:29:10, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Send worker leaving thread
2015-07-29 19:29:10, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Interrupted while waiting for message on queue
2015-07-29 19:29:17, INFO, None, 3888:QuorumCnxManager$Listener, Received connection request /10.10.34.11:59852
2015-07-29 19:29:17, WARN, None, 188978561024:QuorumCnxManager$RecvWorker, Interrupting SendWorker
2015-07-29 19:29:17, WARN, None, 188978561024:QuorumCnxManager$RecvWorker, Interrupting SendWorker
2015-07-29 19:29:23, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Interrupted while waiting for message on queue
2015-07-29 19:29:23, WARN, None, 188978561024:QuorumCnxManager$SendWorker, Send worker leaving thread
2015-07-29 19:29:23, WARN, None, 188978561024:QuorumCnxManager$RecvWorker, Interrupting SendWorker
2015-07-29 19:29:27, WARN, None, 188978561024:QuorumCnxManager$RecvWorker, Connection broken for id 188978561024, my id = 2, error = 
2015-07-29 19:29:27, INFO, None, 3888:QuorumCnxManager$Listener, Received connection request /10.10.34.11:59897
2015-07-29 19:29:27, INFO, None, 3888:QuorumCnxManager$Listener, Received connection request /10.10.34.12:56426
Assistant: This log chunk shows the QuorumCnxManager receiving connection requests from various IP addresses, as well as the SendWorker and RecvWorker threads being interrupted and leaving threads. The connection for id 188978561024 is also broken with an error.
