|                           6257/UDP                           | [WinMX](https://zh.wikipedia.org/wiki/WinMX) （参见6699端口） | 非官方 |
|                         6346/TCP,UDP                         | [gnutella-svc](https://zh.wikipedia.org/wiki/Gnutella) ([FrostWire](https://zh.wikipedia.org/wiki/FrostWire), [LimeWire](https://zh.wikipedia.org/wiki/LimeWire), [Bearshare](https://zh.wikipedia.org/w/index.php?title=Bearshare&action=edit&redlink=1), etc.) |  官方  |
|                         6347/TCP,UDP                         |                         gnutella-rtr                         |  官方  |
|                           6379/TCP                           |     [Redis](https://zh.wikipedia.org/wiki/Redis) - Redis     | 非官方 |
|                         6444/TCP,UDP                         | [Oracle Grid Engine](https://zh.wikipedia.org/wiki/Oracle_Grid_Engine) - Qmaster Service |  官方  |
|                         6445/TCP,UDP                         | [Oracle Grid Engine](https://zh.wikipedia.org/wiki/Oracle_Grid_Engine) - Execution Service |  官方  |
|                         6502/TCP,UDP                         |              Danware Data NetOp Remote Control               | 非官方 |
|                           6522/TCP                           | [Gobby](https://zh.wikipedia.org/w/index.php?title=Gobby&action=edit&redlink=1) (and other libobby-based software) | 非官方 |
|                           6543/UDP                           | [Jetnet](https://zh.wikipedia.org/w/index.php?title=Jetnet&action=edit&redlink=1) - default port that the [Paradigm Research & Development](https://zh.wikipedia.org/w/index.php?title=Paradigm_Research_%26_Development&action=edit&redlink=1) [Jetnet](https://zh.wikipedia.org/w/index.php?title=Jetnet&action=edit&redlink=1) protocol communicates on | 非官方 |
|                           6566/TCP                           | [SANE](https://zh.wikipedia.org/w/index.php?title=Scanner_Access_Now_Easy&action=edit&redlink=1) (Scanner Access Now Easy) - SANE network scanner daemon | 非官方 |
|                           6600/TCP                           | [Music Playing Daemon (MPD)](https://zh.wikipedia.org/w/index.php?title=Music_Player_Daemon&action=edit&redlink=1) | 非官方 |
|                         6619/TCP,UDP                         |                   ODETTE-FTP over TLS/SSL                    |  官方  |
|                        6665-6669/TCP                         |           [IRC](https://zh.wikipedia.org/wiki/IRC)           |  官方  |
|                           6679/TCP                           | [IRC](https://zh.wikipedia.org/wiki/IRC) SSL （安全互联网中继聊天） - 通常使用的端口 | 非官方 |
