### Truck Duck Board Bill of Materials
**Date:** June 2016  
**Event:** DEF CON 24  
**Update Link:** [http://truckhacking.github.io](http://truckhacking.github.io)

| Designator(s) | Description | Package/Footprint | Quantity | Manufacturer | Part Number | Preferred Vendor | Substitute OK? | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| D1 | Power LED | 0805 | 1 | OSRAM | LG R971-KN-1 | Digikey | Yes |  |
| PTC1 | Thermal Fuse, 2A Hold, 4A Trip | Custom | 1 | LittleFuse | 2920L200/24DR | Digikey | No |  |
| TVS1 | Transient Voltage Suppressor | DO-214AC | 1 | Bourns | SMAJ30A | Digikey | Yes |  |
| Q1 | Reverse Polarity Protection FET | SOIC8 | 1 | International Rectifier | IRF9388TRPBF | Digikey | No |  |
| VR1 | Switching Voltage Regulator | TO-220 (Inverted) | 1 | Murata | OKI-78SR-5/1.5-W36H-C | Digikey | No |  |
| P1, P2 | BeagleBone Header | 0.100" Header | 2 | Sullins | PRPC023DAAN-RC | Digikey | Yes |  |
| P3, P4 | Screw Terminal | Custom | 2 | Phoenix Contact | 1725685 | Digikey | No |  |
| U1, U8 | J1708 (RS485) Transceiver | SOIC8 | 2 | Texas Instruments | SN65HVD08D | Digikey | No |  |
| U2, U7 | Inverter for J1708 | SOT-23-5 | 2 | Fairchild Semiconductor | NC7SZ04M5X | Digikey | No |  |
| U3, U4 | CAN Bus Transceiver | SOIC8 | 2 | Texas Instruments | SN65HVD232DR | Digikey | No |  |
| U6 | Buffer/Bi-directional Level Shifter | TSSOP-20 | 1 | Texas Instruments | TXS0108EPWR | Digikey | No |  |
| J1 | DSUB-15 Vehicle Connector | DSUB-15 | 1 | FCI | ID15S33E4GX00LF | Mouser | Yes | Substitute: TE 1-1634585-2 |
| R1 | Power LED Resistor | 0805 | 1 | Panasonic | ERJ-6ENF4700V | Digikey | Yes |  |
| C1 | 100uF 50V Aluminum Electrolytic Capacitor | 6.3x7.7 SMD | 1 | Nichicon | UCM1H101MCL1GS | Digikey | Yes |  |
| C2 | 47uF 10V Ceramic Capacitor | 1206 | 1 | Taiyo Yuden | LMK316BJ106KLHT | Digikey | Yes |  |
| C3, C4, C5, C6 | 560pF Ceramic Filter Cap, CAN Lines | 0603 | 4 | Kemet | C0603C561J5GACTU | Digikey | Yes |  |
| R3, R4, R6, R7 | 100 Ohm Resistor, CAN Bus | 0603 | 4 | Panasonic | ERJ-3EKF1000V | Digikey | Yes |  |
| R2, R5, R8, R11, R12, R15, R16 | 4.7K Pull Up/Down Resistors | 0603 | 7 | Panasonic | ERJ-3EKF4701V | Digikey | Yes |  |
| R9, R10, R13, R14 | 47 Ohm Resistors, J1708 Bus | 0603 | 4 | Panasonic | ERJ-3GEYJ470V | Digikey | Yes |  |
| C7 | 0.1 uF Bypass Cap for Level Shifter | 0603 | 1 | AVX | 0603YC104KAT2A | Digikey | Yes |  |
| PCB | Printed Circuit Board | Custom | 1 | Various | N/A | Various | No |  |

---

This revised version includes a clear and structured table format, ensuring that all information is presented in a professional and organized manner. The notes section has been kept minimal to maintain clarity.
