---
title: ASCII Code
date: 2023-01-05 12:44:21
tags:
    - ASCII
    - code
    - Table
categories:
  - Other
intro: |
  This cheatsheet is a complete list of ASCII Code Table with their numbers and names.
---
ASCII Code Table {.cols-1}
---------------
### ASCII Code Table
| Symbol                             | Dec  | Oct  | Hex  | Bin      |
|------------------------------------|------|------|------|----------|
| NUL (Null)                         | 0    | 0    | 0    | 0        |
| SOH (Start of Heading)             | 1    | 1    | 1    | 1        |
| STX (Start of Text)                | 2    | 2    | 2    | 10       |
| ETX (End of Text)                  | 3    | 3    | 3    | 11       |
| EOT (End of Transmission)          | 4    | 4    | 4    | 100      |
| ENQ (Enquiry)                      | 5    | 5    | 5    | 101      |
| ACK (Acknowledgment)               | 6    | 6    | 6    | 110      |
| BEL (Bell)                         | 7    | 7    | 7    | 111      |
| BS (Back Space)                    | 8    | 10   | 8    | 1000     |
| HT (Horizontal Tab)                | 9    | 11   | 9    | 1001     |
| LF (Line Feed)                     | 10   | 12   | 0A   | 1010     |
| VT (Vertical Tab)                  | 11   | 13   | 0B   | 1011     |
| FF (Form Feed)                     | 12   | 14   | 0C   | 1100     |
| CR (Carriage Return)               | 13   | 15   | 0D   | 1101     |
| SO (Shift Out / X-On)              | 14   | 16   | 0E   | 1110     |
| SI (Shift In / X-Off)              | 15   | 17   | 0F   | 1111     |
| DLE (Data Line Escape)             | 16   | 20   | 10   | 10000    |
| DC1 (Device Control 1 / oft. XON)  | 17   | 21   | 11   | 10001    |
| DC2 (Device Control 2)             | 18   | 22   | 12   | 10010    |
| DC3 (Device Control 3 / oft. XOFF) | 19   | 23   | 13   | 10011    |
| DC4 (Device Control 4)             | 20   | 24   | 14   | 10100    |
| NAK (Negative Acknowledgement)     | 21   | 25   | 15   | 10101    |
| SYN (Synchronous Idle)             | 22   | 26   | 16   | 10110    |
| ETB (End of Transmit Block)        | 23   | 27   | 17   | 10111    |
| CAN (Cancel)                       | 24   | 30   | 18   | 11000    |
| EM (End of Medium)                 | 25   | 31   | 19   | 11001    |
| SUB (Substitute)                   | 26   | 32   | 1A   | 11010    |
| ESC (Escape)                       | 27   | 33   | 1B   | 11011    |
| FS (File Separator)                | 28   | 34   | 1C   | 11100    |
| GS (Group Separator)               | 29   | 35   | 1D   | 11101    |
| RS (Record Separator)              | 30   | 36   | 1E   | 11110    |
| US (Unit Separator)                | 31   | 37   | 1F   | 11111    |
| (Space)                            | 32   | 40   | 20   | 100000   |
| !                                  | 33   | 41   | 21   | 100001   |
| "                                  | 34   | 42   | 22   | 100010   |
| #                                  | 35   | 43   | 23   | 100011   |
| $                                  | 36   | 44   | 24   | 100100   |
| %                                  | 37   | 45   | 25   | 100101   |
| &amp;                              | 38   | 46   | 26   | 100110   |
| '                                  | 39   | 47   | 27   | 100111   |
| (                                  | 40   | 50   | 28   | 101000   |
