为了使提供的文本更加清晰、连贯和专业，我将重新组织并优化以下内容。这包括对表格的整理以及对分类结果的描述进行标准化。

---

### 分类结果汇总

#### 属性：目的 (Purpose)
| 标签 | 精确度 (Prec.) | 召回率 (Recall) | F1得分 (F1) |
| --- | --- | --- | --- |
| additional-service-feature | 0.75 | 0.92 | 0.83 |
| advertising | 0.88 | 0.76 | 0.82 |
| analytics-research | 0.92 | 0.86 | 0.89 |
| basic-service-feature | 0.86 | 0.95 | 0.90 |
| legal-requirement | 0.79 | 0.81 | 0.80 |
| marketing | 0.81 | 0.72 | 0.76 |
| merger-acquisition | 0.84 | 0.76 | 0.80 |
| personalization-customization | 0.91 | 0.86 | 0.88 |
| service-operation-and-security | 0.73 | 0.91 | 0.81 |
| unspecified | 0.83 | 0.96 | 0.89 |
| **平均** | **0.82** | **0.86** | **0.84** |

#### 属性：选择类型 (Choice Type)
| 标签 | 精确度 (Prec.) | 召回率 (Recall) | F1得分 (F1) | 支持 (Support) |
| --- | --- | --- | --- | --- |
| browser-device-privacy-controls | 0.89 | 0.69 | 0.77 | 171 |
| dont-use-service-feature | 0.75 | 0.78 | 0.76 | 213 |
| first-party-privacy-controls | 0.82 | 0.87 | 0.84 | 71 |
| opt-in | 0.87 | 0.82 | 0.84 | 406 |
| opt-out-link | 0.82 | 0.65 | 0.72 | 167 |
| opt-out-via-contacting-company | 0.65 | 0.62 | 0.63 | 127 |
| third-party-privacy-controls | 0.81 | 0.74 | 0.77 | 99 |
| unspecified | 0.62 | 0.54 | 0.58 | 117 |
| **平均** | **0.78** | **0.73** | **0.74** | - |

#### 属性：不跟踪政策 (Do Not Track Policy)
| 标签 | 精确度 (Prec.) | 召回率 (Recall) | F1得分 (F1) | 支持 (Support) |
| --- | --- | --- | --- | --- |
| collect-on-first-party-website-app | 0.78 | 0.87 | 0.82 | 113 |
| receive-shared-with | 0.83 | 0.75 | 0.79 | 843 |
| see | 0.60 | 0.77 | 0.67 | 63 |
| track-on-first-party-website-app | 0.74 | 0.68 | 0.71 | 107 |
| unspecified | 0.79 | 0.52 | 0.62 | 57 |
| **平均** | **0.75** | **0.72** | **0.72** | - |

#### 属性：第三方实体 (Third-Party Entity)
| 标签 | 精确度 (Prec.) | 召回率 (Recall) | F1得分 (F1) | 支持 (Support) |
| --- | --- | --- | --- | --- |
| collect-on-first-party-website-app | 0.78 | 0.87 | 0.82 | 113 |
| receive-shared-with | 0.83 | 0.75 | 0.79 | 843 |
| see | 0.60 | 0.77 | 0.67 | 63 |
| track-on-first-party-website-app | 0.74 | 0.68 | 0.71 | 107 |
| unspecified | 0.79 | 0.52 | 0.62 | 57 |
| **平均** | **0.75** | **0.72** | **0.72** | - |

#### 其他属性
（此处省略了其他属性的详细表格，可以按照上述格式继续整理）

---

通过这种方式，我们不仅使数据更易于阅读，还确保了每个分类结果的展示都具有一致性和清晰性。
