    Warning	C4244	'argument': conversion from 'double' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\functional\embedding.h	108	
    Warning	C4244	'argument': conversion from 'T' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\functional\embedding.h	108	
    Warning	C4251	'torch::nn::FoldOptions::output_size_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	21	
    Warning	C4251	'torch::nn::FoldOptions::kernel_size_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	24	
    Warning	C4251	'torch::nn::FoldOptions::dilation_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	28	
    Warning	C4251	'torch::nn::FoldOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	32	
    Warning	C4251	'torch::nn::FoldOptions::stride_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::FoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	35	
    Warning	C4251	'torch::nn::UnfoldOptions::kernel_size_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	48	
    Warning	C4251	'torch::nn::UnfoldOptions::dilation_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	52	
    Warning	C4251	'torch::nn::UnfoldOptions::padding_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	56	
    Warning	C4251	'torch::nn::UnfoldOptions::stride_': class 'torch::ExpandingArray' needs to have dll-interface to be used by clients of struct 'torch::nn::UnfoldOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\fold.h	59	
    Warning	C4251	'torch::nn::functional::SoftmaxFuncOptions::dtype_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::SoftmaxFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\activation.h	110	
    Warning	C4251	'torch::nn::functional::SoftminFuncOptions::dtype_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::SoftminFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\activation.h	138	
    Warning	C4251	'torch::nn::functional::LogSoftmaxFuncOptions::dtype_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::LogSoftmaxFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\activation.h	166	
    Warning	C4251	'torch::nn::L1LossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::L1LossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	19	
    Warning	C4251	'torch::nn::KLDivLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::KLDivLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	34	
    Warning	C4251	'torch::nn::MSELossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::MSELossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	49	
    Warning	C4251	'torch::nn::BCELossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::BCELossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	64	
    Warning	C4251	'torch::nn::HingeEmbeddingLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::HingeEmbeddingLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	79	
    Warning	C4251	'torch::nn::MultiMarginLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::MultiMarginLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	103	
    Warning	C4251	'torch::nn::CosineEmbeddingLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::CosineEmbeddingLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	119	
    Warning	C4251	'torch::nn::MultiLabelMarginLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::MultiLabelMarginLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	136	
    Warning	C4251	'torch::nn::SoftMarginLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::SoftMarginLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	153	
    Warning	C4251	'torch::nn::MultiLabelSoftMarginLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::MultiLabelSoftMarginLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	173	
    Warning	C4251	'torch::nn::TripletMarginLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::TripletMarginLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	195	
    Warning	C4251	'torch::nn::CTCLossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::CTCLossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	209	
    Warning	C4251	'torch::nn::SmoothL1LossOptions::reduction_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::SmoothL1LossOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\loss.h	230	
