# G0060: BRONZE BUTLER

## Description
BRONZE BUTLER is a cyber espionage group, likely of Chinese origin, that has been active since at least 2008. The group primarily targets Japanese organizations, with a focus on government, biotechnology, electronics manufacturing, and industrial chemistry sectors. (Citation: Trend Micro Daserf Nov 2017) (Citation: Secureworks BRONZE BUTLER Oct 2017)

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows, Linux, macOS, SaaS | Initial Access | Drive-by Compromise | BRONZE BUTLER compromised three Japanese websites using a Flash exploit to perform watering hole attacks. | Packet capture, Network device logs, Process use of network, Web proxy, Network intrusion detection system, SSL/TLS inspection |
| Linux, Windows, macOS | Execution | Exploitation for Client Execution | BRONZE BUTLER exploited Microsoft Word vulnerability CVE-2014-4114 for execution. | Anti-virus, System calls, Process monitoring |
| Linux, Windows, macOS | Execution | User Execution | BRONZE BUTLER attempted to get users to launch malicious Microsoft Word attachments delivered via spearphishing emails. | Anti-virus, Process command-line parameters, Process monitoring |
| Windows, macOS, Linux | Initial Access | Spearphishing Attachment | BRONZE BUTLER used spearphishing emails with malicious Microsoft Word attachments to infect victims. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, macOS, Windows | Command and Control, Defense Evasion | Web Service | BRONZE BUTLER's MSGET downloader uses a dead drop resolver to access malicious payloads. | Host network interface, Netflow/Enclave netflow, Network protocol analysis, Packet capture, SSL/TLS inspection |
| Linux, Windows, macOS | Exfiltration | Data Compressed | BRONZE BUTLER compressed data into password-protected RAR archives prior to exfiltration. | Binary file metadata, File monitoring, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows | Command and Control | Standard Application Layer Protocol | BRONZE BUTLER malware has used HTTP for C2. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Linux, macOS, Windows | Command and Control, Lateral Movement | Remote File Copy | BRONZE BUTLER has used various tools to download files, including DGet (a similar tool to wget). | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Linux, macOS, Windows | Defense Evasion | Masquerading | BRONZE BUTLER has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems. | File monitoring, Process monitoring, Binary file metadata |
| Windows | Defense Evasion, Privilege Escalation | Bypass User Account Control | BRONZE BUTLER malware xxmm contains a UAC bypass tool for privilege escalation. | System calls, Process monitoring, Authentication logs, Process command-line parameters |
| Linux, macOS, Windows | Collection | Data from Network Shared Drive | BRONZE BUTLER has exfiltrated files stolen from file shares. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Execution, Persistence, Privilege Escalation | Scheduled Task | BRONZE BUTLER has used `at` and `schtasks` to register a scheduled task to execute malware during lateral movement. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Discovery | File and Directory Discovery | BRONZE BUTLER has collected a list of files from the victim and uploaded it to its C2 server, then created a new list of specific files to steal. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Defense Evasion | Deobfuscate/Decode Files or Information | BRONZE BUTLER downloads encoded payloads and decodes them on the victim. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Collection | Screen Capture | BRONZE BUTLER has used a tool to capture screenshots. | API monitoring, Process monitoring, File monitoring |
| Linux, macOS, Windows | Defense Evasion, Execution | Scripting | BRONZE BUTLER has used VBS, VBE, and batch scripts for execution. | Process monitoring, File monitoring, Process command-line parameters |
| Linux, macOS, Windows | Exfiltration | Data Encrypted | BRONZE BUTLER has compressed and encrypted data into password-protected RAR archives prior to exfiltration. | File monitoring, Process monitoring, Process command-line parameters, Binary file metadata |
| Linux, macOS, Windows | Defense Evasion | Binary Padding | BRONZE BUTLER downloader code has included "0" characters at the end of the file to inflate the file size in a likely attempt to evade anti-virus detection. | Binary file metadata, File monitoring, Malware reverse engineering |
| Linux, macOS, Windows | Command and Control | Standard Cryptographic Protocol | BRONZE BUTLER has used RC4 encryption (for Datper malware) and AES (for xxmm malware) to obfuscate HTTP traffic. | Packet capture, Netflow/Enclave netflow, Malware reverse engineering, Process use of network, Process monitoring, SSL/TLS inspection |
| Windows, Linux, macOS | Credential Access | Credential Dumping | BRONZE BUTLER has used various tools to perform credential dumping. | API monitoring, Process monitoring, PowerShell logs, Process command-line parameters |
| Linux, macOS, Windows | Defense Evasion | File Deletion | BRONZE BUTLER uploader or malware the uploader uses command to delete the RAR archives after they have been exfiltrated. | File monitoring, Process command-line parameters, Binary file metadata |
| Windows | Discovery | System Time Discovery | BRONZE BUTLER has used `net time` to check the local time on a target system. | Process monitoring, Process command-line parameters, API monitoring |
| Windows | Persistence | Registry Run Keys / Startup Folder | BRONZE BUTLER has used a batch script that adds a Registry Run key to establish malware persistence. | Windows Registry, File monitoring |
| Windows | Lateral Movement | Pass the Ticket | BRONZE BUTLER has created forged Kerberos Ticket Granting Ticket (TGT) and Ticket Granting Service (TGS) tickets to maintain administrative access. | Authentication logs |
| Linux, macOS, Windows, Office 365, Azure AD | Discovery | Account Discovery | BRONZE BUTLER has used `net user /domain` to identify account information. | Azure activity logs, Office 365 account logs, API monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Execution | Command-Line Interface | BRONZE BUTLER uses the command-line interface. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, GCP, Azure, AWS | Discovery | Remote System Discovery | BRONZE BUTLER typically uses `ping` and `Net` to enumerate systems. | Network protocol analysis, Process monitoring, Process use of network, Process command-line parameters |
| Linux, macOS, Windows, GCP, AWS, Azure | Collection | Data from Local System | BRONZE BUTLER has exfiltrated files stolen from local systems. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Command and Control | Custom Cryptographic Protocol | BRONZE BUTLER has used a tool called RarStar that encodes data with a custom XOR algorithm when posting it to a C2 server. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Linux, macOS, Windows | Command and Control | Data Encoding | Several BRONZE BUTLER tools encode data with base64 when posting it to a C2 server. | Packet capture, Process use of network, Process monitoring, Network protocol analysis |
| Windows | Execution | PowerShell | BRONZE BUTLER has used PowerShell for execution. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |

This table provides a detailed overview of the tactics, techniques, and procedures (TTPs) employed by BRONZE BUTLER, along with the relevant data sources for detection and analysis.
