## PolarDB 开源版 通过rdkit 支撑生物、化学分子结构数据存储与计算、分析   
### 作者                  
digoal                  
### 日期                  
2022-12-28                  
### 标签                  
PostgreSQL , PolarDB , rdkit , 生物 , 化学 , 分子 , 图 , 计算 , 索引 , 分析 , 查询           
----                  
## 背景    
PolarDB 的云原生存算分离架构, 具备低廉的数据存储、高效扩展弹性、高速多机并行计算能力、高速数据搜索和处理; PolarDB与计算算法结合, 将实现双剑合璧, 推动业务数据的价值产出, 将数据变成生产力.                  
本文将介绍PolarDB 开源版 通过rdkit 支撑生物、化学分子结构数据存储与计算、分析    
测试环境为macOS+docker, PolarDB部署请参考下文:                  
- [《如何用 PolarDB 证明巴菲特的投资理念 - 包括PolarDB简单部署》](../202209/20220908_02.md)       
## rdkit 介绍
分子具有连接、分形、图、组合的特征, 低级生命组成高级生命, 众多高级生命组成社会, 众多低维生物通过分形组成高维生物.     
- [《用PostgreSQL 递归SQL与plpgsql函数 绘制分形图 - 曼德勃罗集(Mandelbrot-上帝的指纹) 和 Julia 集 - `z->z^2+c`》](../202208/20220818_02.md)    
https://www.rdkit.org/docs/Overview.html  
- Business-friendly BSD license  
- Core data structures and algorithms in C++  
- Python 3.x wrappers generated using Boost.Python  
- Java and C# wrappers generated with SWIG  
- 2D and 3D molecular operations  
- Descriptor generation for machine learning  
- Molecular database cartridge for PostgreSQL  
- Cheminformatics nodes for KNIME (distributed from the KNIME community site: https://www.knime.com/rdkit)  
PolarDB 通过rdkit插件实现生物、化学分子结构数据存储与计算、分析. (相似搜索、子结构或精确匹配搜索、分子比较等)  
https://www.rdkit.org/docs/Cartridge.html  
数据类型  
```  
postgres=#  \dT  
        List of data types  
 Schema |   Name    | Description   
--------+-----------+-------------  
 public | bfp       | a bit vector fingerprint   
 public | _internal |   
 public | mol       | an rdkit molecule.  
 public | qmol      | an rdkit molecule containing query features  
 public | reaction  |   
 public | sfp       | a sparse count vector fingerprint   
(6 rows)  
```  
操作符  
```  
postgres=# \do+  
                                            List of operators  
 Schema | Name | Left arg type | Right arg type |   Result type    |        Function        | Description   
--------+------+---------------+----------------+------------------+------------------------+-------------  
 public | #    | bfp           | bfp            | boolean          | public.dice_sml_op     |   
 public | #    | sfp           | sfp            | boolean          | public.dice_sml_op     |   
 public | %    | bfp           | bfp            | boolean          | public.tanimoto_sml_op |   
 public | %    | sfp           | sfp            | boolean          | public.tanimoto_sml_op |   
 public |   | bfp           | bfp            | double precision | dice_dist              |   
 public |   | bfp           | bfp            | double precision | tanimoto_dist          |   
 public |    | bfp           | bfp            | boolean          | bfp_ne                 |   
 public | <>   | mol           | mol            | boolean          | mol_ne                 |   
 public | <>   | reaction      | reaction       | boolean          | reaction_ne            |   
 public | <>   | sfp           | sfp            | boolean          | sfp_ne                 |   
 public |     | bfp           | bfp            | boolean          | bfp_gt                 |   
 public | >    | mol           | mol            | boolean          | mol_gt                 |   
 public | >    | sfp           | sfp            | boolean          | sfp_gt                 |   
 public | >=   | bfp           | bfp            | boolean          | bfp_ge                 |   
 public | >=   | mol           | mol            | boolean          | mol_ge                 |   
 public | >=   | sfp           | sfp            | boolean          | sfp_ge                 |   
 public | ?   | reaction      | reaction       | boolean          | substructfp            |   
 public | @=   | mol           | mol            | boolean          | mol_eq                 |   
 public | @=   | reaction      | reaction       | boolean          | reaction_eq            |   
 public | @>   | mol           | mol            | boolean          | public.substruct       |   
 public | @>   | mol           | qmol           | boolean          | public.substruct       |   
 public | @>   | reaction      | reaction       | boolean          | public.substruct       |   
(36 rows)  
```  
函数  
```  
postgres=# \df  
                                                                             List of functions  
 Schema |             Name             | Result data type |                                           Argument data types                                            | Type   
--------+------------------------------+------------------+----------------------------------------------------------------------------------------------------------+------  
 public | add                          | sfp              | sfp, sfp                                                                                                 | func  
 public | all_values_gt                | boolean          | sfp, integer                                                                                             | func  
 public | all_values_lt                | boolean          | sfp, integer                                                                                             | func  
 public | atompair_fp                  | sfp              | mol                                                                                                      | func  
 public | atompairbv_fp                | bfp              | mol                                                                                                      | func  
 public | avalon_fp                    | bfp              | mol, boolean DEFAULT false, integer DEFAULT 15761407                                                     | func  
 public | bfp_cmp                      | integer          | bfp, bfp                                                                                                 | func  
 public | bfp_eq                       | boolean          | bfp, bfp                                                                                                 | func  
 public | bfp_from_binary_text         | bfp              | bytea                                                                                                    | func  
 public | bfp_ge                       | boolean          | bfp, bfp                                                                                                 | func  
 public | bfp_gt                       | boolean          | bfp, bfp                                                                                                 | func  
 public | bfp_in                       | bfp              | cstring                                                                                                  | func  
 public | bfp_le                       | boolean          | bfp, bfp                                                                                                 | func  
 public | bfp_lt                       | boolean          | bfp, bfp                                                                                                 | func  
 public | bfp_ne                       | boolean          | bfp, bfp                                                                                                 | func  
 public | bfp_out                      | cstring          | bfp                                                                                                      | func  
 public | bfp_to_binary_text           | bytea            | bfp                                                                                                      | func  
 public | dice_dist                    | double precision | bfp, bfp                                                                                                 | func  
 public | dice_sml                     | double precision | bfp, bfp                                                                                                 | func  
 public | dice_sml                     | double precision | sfp, sfp                                                                                                 | func  
 public | dice_sml_op                  | boolean          | bfp, bfp                                                                                                 | func  
 public | dice_sml_op                  | boolean          | sfp, sfp                                                                                                 | func  
 public | featmorgan_fp                | sfp              | mol, integer DEFAULT 2                                                                                   | func  
 public | featmorganbv_fp              | bfp              | mol, integer DEFAULT 2                                                                                   | func  
 public | fmcs                         | text             | mol                                                                                                      | agg  
 public | fmcs                         | text             | text                                                                                                     | agg  
 public | fmcs_mol_transition          | internal         | internal, mol                                                                                            | func  
 public | fmcs_mols                    | text             | internal                                                                                                 | func  
 public | fmcs_smiles                  | cstring          | cstring, cstring                                                                                         | func  
 public | fmcs_smiles                  | text             | text                                                                                                     | func  
 public | fmcs_smiles                  | text             | text, text                                                                                               | func  
 public | fmcs_smiles_transition       | text             | text, text                                                                                               | func  
 public | gbfp_compress                | internal         | internal                                                                                                 | func  
 public | gbfp_consistent              | boolean          | internal, bytea, smallint, oid, internal                                                                 | func  
 public | gbfp_decompress              | internal         | internal                                                                                                 | func  
 public | gbfp_distance                | double precision | internal, bytea, smallint, oid                                                                           | func  
 public | gbfp_fetch                   | internal         | internal                                                                                                 | func  
 public | gbfp_penalty                 | internal         | internal, internal, internal                                                                             | func  
 public | gbfp_picksplit               | internal         | internal, internal                                                                                       | func  
 public | gbfp_same                    | internal         | internal, internal, internal                                                                             | func  
 public | gbfp_union                   | _internal        | internal, internal                                                                                       | func  
 public | gen_arr                      | integer[]        | normal integer, hot integer                                                                              | func  
 public | gin_bfp_consistent           | boolean          | internal, smallint, bfp, integer, internal, internal, internal, internal                                 | func  
 public | gin_bfp_extract_query        | internal         | bfp, internal, smallint, internal, internal, internal, internal                                          | func  
 public | gin_bfp_extract_value        | internal         | bfp, internal                                                                                            | func  
 public | gin_bfp_triconsistent        | boolean          | internal, smallint, bfp, integer, internal, internal, internal                                           | func  
 public | gmol_compress                | internal         | internal                                                                                                 | func  
 public | gmol_consistent              | boolean          | bytea, internal, integer                                                                                 | func  
 public | gmol_decompress              | internal         | internal                                                                                                 | func  
 public | gmol_penalty                 | internal         | internal, internal, internal                                                                             | func  
 public | gmol_picksplit               | internal         | internal, internal                                                                                       | func  
 public | gmol_same                    | internal         | bytea, bytea, internal                                                                                   | func  
 public | gmol_union                   | integer[]        | bytea, internal                                                                                          | func  
 public | greaction_compress           | internal         | internal                                                                                                 | func  
 public | greaction_consistent         | boolean          | bytea, internal, integer                                                                                 | func  
 public | gsfp_compress                | internal         | internal                                                                                                 | func  
 public | gsfp_consistent              | boolean          | bytea, internal, integer                                                                                 | func  
 public | gslfp_compress               | internal         | internal                                                                                                 | func  
 public | gslfp_consistent             | boolean          | bytea, internal, integer                                                                                 | func  
 public | gslfp_decompress             | internal         | internal                                                                                                 | func  
 public | gslfp_penalty                | internal         | internal, internal, internal                                                                             | func  
