23.10.1 Windows应用程序编辑器
23.10.2 把Windows Runtime类型映射为.NET类型
23.11 小结
第24章 安全性
24.1 概述
24.2 验证用户信息
24.2.1 使用Windows标识
24.2.2 Windows Principal
24.2.3 使用声称
24.3 加密数据
24.3.1 创建和验证签名
24.3.2 实现安全的数据交换
24.3.3 使用RSA签名和散列
24.3.4 实现数据的保护
24.4 资源的访问控制
24.5 使用证书发布代码
24.6 小结
第25章 网络
25.1 网络
25.2 HttpClient类
25.2.1 发出异步的Get请求
25.2.2 抛出异常
25.2.3 传递标题
25.2.4 访问内容
25.2.5 用HttpMessageHandler自定义请求
25.2.6 使用SendAsync创建HttpRequestMessage
25.2.7 使用HttpClient和Windows Runtime
25.3 使用WebListener类
25.4 使用实用工具类
25.4.1 URI
25.4.2 IPAddress
25.4.3 IPHostEntry
25.4.4 Dns
25.5 使用TCP
25.5.1 使用TCP创建HTTP客户程序
25.5.2 创建TCP侦听器
25.5.3 创建TCP客户端
25.5.4 TCP和UDP
25.6 使用UDP
25.6.1 建立UDP接收器
25.6.2 创建UDP发送器
25.6.3 使用多播
25.7 使用套接字
25.7.1 使用套接字创建侦听器
25.7.2 使用NetworkStream和套接字
25.7.3 通过套接字使用读取器和写入器
25.7.4 使用套接字实现接收器
25.8 小结
第26章 Composition
26.1 概述
26.2 Composition库的体系结构
26.2.1 使用特性的Composition
26.2.2 基于约定的部件注册
26.3 定义协定
26.4 导出部件
26.4.1 创建部件
26.4.2 使用部件的部件
26.4.3 导出元数据
26.4.4 使用元数据进行惰性加载
26.5 导入部件
26.5.1 导入连接
26.5.2 部件的惰性加载
26.5.3 读取元数据
26.6 小结
第27章 XML和JSON
27.1 数据格式
27.1.1 XML
27.1.2 .NET支持的XML标准
27.1.3 在框架中使用XML
27.1.4 JSON
27.2 读写流格式的XML
27.2.1 使用XmlReader类读取XML
27.2.2 使用XmlWriter类
27.3 在.NET中使用DOM
27.3.1 使用XmlDocument类读取
27.3.2 遍历层次结构
27.3.3 使用XmlDocument插入节点
27.4 使用XPathNavigator类
27.4.1 XPathDocument类
27.4.2 XPathNavigator类
27.4.3 XPathNodeIterator类
27.4.4 使用XPath导航XML
27.4.5 使用XPath评估
27.4.6 用XPath修改XML
27.5 在XML中序列化对象
27.5.1 序列化简单对象
27.5.2 序列化一个对象树
27.5.3 没有特性的序列化
27.6 LINQ to XML
27.6.1 XDocument对象
27.6.2 XElement对象
27.6.3 XNamespace对象
27.6.4 XComment对象
27.6.5 XAttribute对象
27.6.6 使用LINQ查询XML文档
27.6.7 查询动态的XML文档
27.6.8 转换为对象
27.6.9 转换为XML
27.7 JSON
27.7.1 创建JSON
27.7.2 转换对象
27.7.3 序列化对象
27.8 小结
第28章 本地化
28.1 全球市场
28.2 System.Globalization名称空间
28.2.1 Unicode问题
28.2.2 区域性和区域
28.2.3 使用区域性
28.2.4 排序
28.3 资源
28.3.1 资源读取器和写入器
28.3.2 使用资源文件生成器
28.3.3 通过ResourceManager使用资源文件
28.3.4 System.Resources名称空间
28.4 使用WPF本地化
28.5 使用ASP.NET Core本地化
28.5.1 注册本地化服务
28.5.2 注入本地化服务
28.5.3 区域性提供程序
28.5.4 在ASP.NET Core中使用资源
28.6 本地化通用Windows平台
28.6.1 给UWP使用资源
28.6.2 使用多语言应用程序工具集进行本地化
28.7 创建自定义区域性
28.8 小结
第Ⅲ部分 Windows应用程序
第29章 核心XAML
29.1 XAML的作用
29.2 XAML概述
29.2.1 使用WPF把元素映射到类上
29.2.2 通过通用Windows应用程序把元素映射到类上
29.2.3 使用自定义.NET类
29.2.4 把属性用作特性
29.2.5 把属性用作元素
29.2.6 使用集合和XAML
29.3 依赖属性
29.3.1 创建依赖属性
29.3.2 值变更回调和事件
29.3.3 强制值回调和WPF
29.4 路由事件
29.4.1 用于Windows应用程序的路由事件
29.4.2 WPF的冒泡和隧道
29.4.3 用WPF实现自定义路由事件
29.5 附加属性
29.6 标记扩展
29.6.1 创建自定义标记扩展
29.6.2 XAML定义的标记扩展
29.7 小结
第30章 样式化XAML应用程序
30.1 样式设置
30.2 形状
30.3 几何图形
30.3.1 使用段的几何图形
30.3.2 使用PML的几何图形
30.3.3 合并的几何图形（WPF）
30.4 变换
30.4.1 缩放
30.4.2 平移
30.4.3 旋转
30.4.4 倾斜
30.4.5 组合变换和复合变换
30.4.6 使用矩阵的变换
30.4.7 变换布局
30.5 画笔
30.5.1 SolidColorBrush
30.5.2 LinearGradientBrush
30.5.3 ImageBrush
30.5.4 WebViewBrush
30.5.5 只用于WPF的画笔
30.6 样式和资源
30.6.1 样式
30.6.2 资源
30.6.3 从代码中访问资源
30.6.4 动态资源（WPF）
30.6.5 资源字典
30.6.6 主题资源（UWP）
30.7 模板
30.7.1 控件模板
30.7.2 数据模板
30.7.3 样式化ListView
30.7.4 ListView项的数据模板
30.7.5 项容器的样式
30.7.6 项面板
30.7.7 列表视图的控件模板
30.8 动画
30.8.1 时间轴
30.8.2 缓动函数
30.8.3 关键帧动画
30.8.4 过渡（UWP应用程序）
30.9 可视化状态管理器
30.9.1 用控件模板预定义状态
30.9.2 定义自定义状态
30.9.3 设置自定义的状态
30.10 小结
第31章 模式和XAML应用程序
31.1 使用MVVM的原因
31.2 定义MVVM模式
31.3 共享代码
31.3.1 使用API协定和通用Windows平台
31.3.2 使用共享项目
31.3.3 使用移动库
31.4 示例解决方案
31.5 模型
31.5.1 实现变更通知
31.5.2 使用Repository模式
31.6 视图模型
31.6.1 命令
31.6.2 服务和依赖注入
31.7 视图
31.7.1 注入视图模型
31.7.2 用于WPF的数据绑定
31.7.3 用于UWP的已编译数据绑定
31.8 使用事件传递消息
31.9 IoC容器
31.10 使用框架
31.11 小结
第32章 Windows应用程序：用户界面
32.1 概述
32.2 导航
32.2.1 导航回最初的页面
32.2.2 重写Page类的导航
32.2.3 在页面之间导航
32.2.4 后退按钮
32.2.5 Hub
32.2.6 Pivot
32.2.7 应用程序shell
32.2.8 汉堡按钮
32.2.9 分隔视图
32.2.10 给SplitView窗格添加内容
32.3 布局
32.3.1 VariableSizedWrapGrid
32.3.2 RelativePanel
32.3.3 自适应触发器
