    45  E   40133d  
    75  u   4012f3  *  
    23  #   4014b9  
得到这8个输入字符即可开始构造了。
由于函数功能很多样，因此构造方法很多，在此仅表述我的构造方法：
由于输入buffer有限，因此不适合向右移动指针太多来找寻合适的字符。所以我就原地变换—毕竟将一个字符变成另一个字符满打满算也只要4个输入，移动指针可就轻而易举几十上百了。
下列计划中push表示将char_table中的值取入m，A->B表示将A通过func_2和3变换成B，->1表示指针后移1位
    push P    # $  
    P->B    # t/  
    pop B    # 8  
    #111(用于填充make，其实1个就够，懒得算了233)  
    B->i    # CH  
    ->1        # 0  
    pop i    # 8  
    i->n    # C&  
    ->1        # 0  
    pop n    # 8  
    ->1        # 0  
    n->g    # t(  
    pop g    # 8  
    ->1        # 0  
    pop g    # 8  
    g->o    # C)  
    ->1        # 0  
    pop o    # 8  
    ->1        # 0  
    make x00    # #0  
    auto i;for(i=0;i** ****
