  [ '4', 1, 126, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 16, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 6, 0 ],
  [ '4', 2, 4, 0 ],
  [ '=', 1, 2, 1 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 66, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 12, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 71, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 9, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 8, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 92, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 9, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 67, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 11, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 31, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 45, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 8, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 90, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 10, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 110, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 8, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '4', 2, 4, 0 ],
  [ ';', 1, 2, 1 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 43, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '4', 2, 3, 0 ],
  [ ';', 1, 2, 1 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 58, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 8, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 50, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 9, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 100, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 108, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 10, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 57, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 1, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 59, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 1, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 106, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 116, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, -56, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 88, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 111, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 104, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 116, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 109, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ '4', 2, 2, 0 ],
  [ ';', 1, 2, 1 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 56, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ '4', 2, 1, 0 ],
  [ ';', 1, 2, 1 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 51, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ 'n', 0, 1, 0 ],
  [ '4', 1, 106, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 3, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, -126, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 69, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ '=', 0, 1, 0 ],
  [ '4', 1, 8, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 110, 0 ],
  [ '=', 0, 1, 0 ],
  [ 'O', 0, 0, 0 ],
  [ '4', 0, -1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 2, 0 ],
  [ ':', 0, 1, 0 ],
  [ '4', 1, 4, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 1, 0 ],
  [ ';', 0, 1, 0 ],
  [ '4', 1, 8, 0 ],
