 PEX_AUTOCONFIG_BAGG_CREATE,[STRING] was created by the PEX   auto-config feature.,$1：二层聚合接口名称,5,PEX/5/PEX_AUTOCONFIG_BAGG_CREATE:   Bridge-Aggregation10 was created by the PEX auto-config feature.,父设备运行IRF3.1系统自动配置功能时，自动创建二层聚合接口用来作级联接口,不需要处理
 PEX_AUTOCONFIG_BAGG_NORESOURCE,Not enough resources to create a Layer 2   aggregate interface.,无,5,PEX/5/PEX_AUTOCONFIG_BAGG_NORESOURCE: Not   enough resources to create a Layer 2 aggregate interface.,父设备运行IRF3.1系统自动配置功能时，没有空闲资源创建二层聚合接口,删除设备上不需要使用的聚合接口，释放资源
 PEX_AUTOCONFIG_BAGG_REMOVEMEMBER,[STRING] was removed from [STRING].,$1：物理接口名称   $2：二层聚合接口名称,5,PEX/5/PEX_AUTOCONFIG_BAGG_REMOVEMEMBER: GigabitEthernet   1/2/0/1 was removed from Bridge-Aggregation10.,父设备运行IRF3.1系统自动配置功能时，会自动将连接PEX的物理接口添加到作为级联接口的聚合组中。添加端口时，如果检查到该物理接口已经被添加到其他级联接口的聚合组中，则先将该物理接口从其他级联接口的聚合组中删除,不需要处理
 PEX_AUTOCONFIG_CAPABILITY_ENABLE,PEX connection capability was enabled on   [STRING] and the interface was assigned to PEX group [UINT32].,$1：二层聚合接口名称   $2：PEX组编号,5,PEX/5/PEX_AUTOCONFIG_CAPABILITY_ENABLE: PEX   connection capability was enabled on Bridge-Aggregation 10 and the interface   was assigned to PEX group 1.,父设备运行IRF3.1系统自动配置功能时，自动开启连接PEX的二层聚合接口的PEX连接能力，并将该接口加入PEX组中,不需要处理
 PEX_AUTOCONFIG_CASCADELIMIT,Failed to assign cascade port [STRING] to   PEX group [UINT32]. Reason: Maximum number of cascade ports already reached   in the PEX group.,$1：二层聚合接口名称   $2：PEX组编号,5,PEX/5/PEX_AUTOCONFIG_CASCADELIMIT: Failed   to assign cascade port Bridge-Aggregation10 to PEX group1. Reason: Maximum   number of cascade ports already reached in the PEX group.,父设备运行IRF3.1系统自动配置功能时，检测到PEX组中级联接口的数目已达到上限，无法再将聚合接口加入该PEX组中,删除该组中空闲的级联接口，释放资源
 PEX_AUTOCONFIG_CONNECTION_ERROR,A PEX connected to more than one   upper-tier PEXs.,无,5,PEX/5/PEX_AUTOCONFIG_CONNECTION_ERROR: A   PEX connected to more than one upper-tier PEXs.,父设备运行IRF3.1系统自动配置功能时，检测到PEX和两台或两台以上上级PEX之间存在物理连接,PEX上行链路只能连接到同一台上级PEX，否则可能导致PEX无法上线或上线后功能运行异常。请检查并修改组网连接
 PEX_AUTOCONFIG_DIFFGROUPNUMBER,[STRING] failed to join in PEX group [UINT32].   Reason: Its upper-tier PEX was in PEX group [UINT32]. Please make sure they   are in the same PEX group.,$1：二层聚合接口名称   $2：PEX组编号   $3：PEX组编号,5,PEX/5/PEX_AUTOCONFIG_DIFFGROUPNUMBER:   Bridge-Aggregation10 failed to join in PEX group 1. Reason: Its upper-tier PEX   was in PEX group 2. Please make sure they are in the same PEX group.,父设备运行IRF3.1系统自动配置功能，开启PEX二层聚合接口连接PEX的能力并将接口加入PEX组时，所指定的PEX组编号与上级PEX所在PEX组编号不同,下级PEX只能与上级PEX加入同一PEX组，请修改配置
 PEX_AUTOCONFIG_DYNAMICBAGG_STP,[STRING] was automatically set to dynamic   aggregation mode and configured as an STP edge port.,$1：二层聚合接口名称,5,PEX/5/PEX_AUTOCONFIG_DYNAMICBAGG_STP:   Bridge-Aggregation10 was automatically set to dynamic aggregation mode and   configured as an STP edge port.,父设备运行IRF3.1系统自动配置功能时，将级联接口自动配置为动态聚合模式并且配置为STP边缘端口,不需要处理
 PEX_AUTOCONFIG_GROUP_CREATE,PEX group [UINT32] was created.,$1：PEX组编号,5,PEX/5/PEX_AUTOCONFIG_GROUP_CREATE: PEX   group 1 was created.,父设备运行IRF3.1系统自动配置功能时，自动创建PEX组,不需要处理
 PEX_AUTOCONFIG_NONUMBERRESOURCE,No virtual slot numbers are available.（集中式）   No virtual chassis numbers are available.（分布式）,无,5,PEX/5/PEX_AUTOCONFIG_NONUMBERRESOURCE: No   virtual slot numbers are available.（集中式）   PEX/5/PEX_AUTOCONFIG_NONUMBERRESOURCE: No   virtual chassis numbers are available.（分布式）,父设备运行IRF3.1系统自动配置功能时，没有虚拟框/槽号资源用来分配,删除空闲级联接口或在空闲级联接口上取消分配虚拟框/槽号的配置，释放资源
 PEX_AUTOCONFIG_NOT_CASCADEPORT,"[STRING] was already assigned to [STRING],   which is an aggregate interface not enabled with PEX connection capability.   Please remove [STRING] from [STRING] or use another physical interface to   connect the PEX.",$1：物理接口名称   $2：二层聚合接口名称   $3：物理接口名称   $4：二层聚合接口名称,5,"PEX/5/PEX_AUTOCONFIG_NOT_CASCADEPORT: GigabitEthernet   1/2/0/1 was already assigned to Bridge-Aggregation10, which is an aggregate   interface not enabled with PEX connection capability. Please remove   GigabitEthernet 1/2/0/1 from Bridge-Aggregation10 or use another physical   interface to connect the PEX.",父设备运行IRF3.1系统自动配置功能时，检测到连接PEX的物理接口已经加入到聚合组中，但对应聚合接口没有开启连接PEX的能力,将物理接口从聚合组中退出或更换其他物理接口
