### Description
This issue may be similar to #5286. The following `curl` commands and Scrapy Shell commands demonstrate the problem:

#### Using `curl`:
1. **HTTPS over HTTPS proxy:**
   ```sh
   $ curl --proxy 'https://user:PI:EMAIL:port' https://ipinfo.io/ip
   # Yields: proxy_ip
   ```

2. **HTTP over HTTPS proxy:**
   ```sh
   $ curl --proxy 'https://user:PI:EMAIL:port' http://ipinfo.io/ip
   # Yields: proxy_ip
   ```

3. **HTTP (no proxy):**
   ```sh
   $ curl http://ipinfo.io/ip
   # Yields: home_ip
   ```

4. **HTTPS (no proxy):**
   ```sh
   $ curl https://ipinfo.io/ip
   # Yields: home_ip
   ```

#### Using Scrapy Shell:
1. **HTTPS over HTTPS proxy:**
   ```python
   fetch(scrapy.Request('https://ipinfo.io/ip', meta={'download_timeout': 5, 'proxy': 'https://user:PI:EMAIL:port'}))
   # Times out or hangs indefinitely if no timeout specified
   ```

2. **HTTP over HTTPS proxy:**
   ```python
   fetch(scrapy.Request('http://ipinfo.io/ip', meta={'download_timeout': 5, 'proxy': 'https://user:PI:EMAIL:port'}))
   # Yields: proxy_ip
   ```

3. **HTTP (no proxy):**
   ```python
   fetch(scrapy.Request('http://ipinfo.io/ip', meta={'download_timeout': 5}))
   # Yields: home_ip
   ```

4. **HTTPS (no proxy):**
   ```python
   fetch(scrapy.Request('https://ipinfo.io/ip', meta={'download_timeout': 5}))
   # Yields: home_ip
   ```

### Steps to Reproduce
1. Fetch an HTTPS request using an HTTPS proxy.
   - **Expected behavior:** Response received.
   - **Actual behavior:** Scrapy hangs indefinitely or times out if a timeout is specified.
   - **Reproduces how often:** 100%

### Versions
Output of `scrapy version --verbose`:
- Scrapy: 2.4.1
- lxml: 4.7.1.0
- libxml2: 2.9.12
- cssselect: 1.1.0
- parsel: 1.6.0
- w3lib: 1.22.0
- Twisted: 21.7.0
- Python: 3.10.2 | packaged by conda-forge | (main, Feb 1 2022, 19:29:00) [GCC 9.4.0]
- pyOpenSSL: 22.0.0 (OpenSSL 1.1.1f 31 Mar 2020)
- cryptography: 36.0.0
- Platform: Linux-5.4.0-100-generic-x86_64-with-glibc2.31

### Additional Context
**Conda environment.yml:**
```yaml
channels:
  - conda-forge
  - defaults
dependencies:
  - python >=3.9.0
  - scrapy
  - brotlipy
  - zstandard
  - rich
  - genanki
  - imagemagick
  - apsw
  - pip
  - pip:
    - m3u8
    - switch
```

**`conda env export` output:**
```yaml
channels:
  - conda-forge
  - defaults
dependencies:
  - _libgcc_mutex=0.1=conda_forge
  - _openmp_mutex=4.5=1_gnu
  - appdirs=1.4.4=pyh9f0ad1d_0
  - apsw=3.37.0.r1=py310h4988143_0
  - atk-1.0=2.36.0=h3371d22_4
  - attrs=21.4.0=pyhd8ed1ab_0
  - automat=20.2.0=py_0
  - bcrypt=3.2.0=py310h6acc77f_2
  - brotlipy=0.7.0=py310h6acc77f_1003
  - bzip2=1.0.8=h7f98852_4
  - ca-certificates=2021.10.8=ha878542_0
  - cached-property=1.5.2=hd8ed1ab_1
  - cached_property=1.5.2=pyha770c72_1
  - cairo=1.16.0=ha00ac49_1009
  - cffi=1.15.0=py310h0fdd8cc_0
  - chevron=0.14.0=pyhd3deb0d_1
  - colorama=0.4.4=pyh9f0ad1d_0
  - commonmark=0.9.1=py_0
  - constantly=15.1.0=py_0
  - cryptography=36.0.0=py310h9ce1e76_0
  - cssselect=1.1.0=py_0
  - dataclasses=0.8=pyhc8e2a94_3
  - expat=2.4.4=h9c3ff4c_0
  - fftw=3.3.10=nompi_h77c792f_102
  - font-ttf-dejavu-sans-mono=2.37=hab24e00_0
  - font-ttf-inconsolata=3.000=h77eed37_0
  - font-ttf-source-code-pro=2.038=h77eed37_0
  - font-ttf-ubuntu=0.83=hab24e00_0
  - fontconfig=2.13.94=ha180cfb_0
  - fonts-conda-ecosystem=1=0
  - fonts-conda-forge=1=0
  - freetype=2.10.4=h0708190_1
  - fribidi=1.0.10=h36c2ea0_0
  - frozendict=2.3.0=py310h6acc77f_1
  - future=0.18.2=py310hff52083_4
  - gdk-pixbuf=2.42.6=h04a7f16_0
  - genanki=0.13.0=pyhd8ed1ab_0
  - gettext=0.19.8.1=h73d1719_1008
  - ghostscript=9.54.0=h9c3ff4c_1
  - giflib=5.2.1=h36c2ea0_2
  - graphite2=1.3.13=h58526e2_1001
  - graphviz=2.50.0=h85b4f2f_1
