### Table 11: Median (a) and Mean (b) Interactions per Post from Non-Misinformation (N) Pages

This table presents the median (a) and mean (b) interactions per post from non-misinformation (N) pages, broken down by interaction type and political affiliation. The alternating rows show the difference in interactions for posts from misinformation pages (misinformation delta relative to non-misinformation pages). Note that the values do not sum up to the overall aggregate because the computations are done independently. This is a detailed version of Table 5, computed separately for each type of post.

#### (a) Median Interactions

| Political Affiliation | Comments (N) | (misinfo.) | Shares (N) | (misinfo.) | Reactions (N) | (misinfo.) |
|-----------------------|--------------|------------|------------|-------------|---------------|------------|
| Far Left              | 4.00         | +595       | 2.00       | +453        | 18.0          | +1.87 k    |
| Center                | 5.00         | -1.00      | 4.00       | +5.00       | 27.0          | +50.0      |
| Center                | 8.00         | +2.00      | 8.00       | +10.0       | 47.0          | +291       |
| Center                | 8.00         | +9.00      | 2.00       | +1.00       | 17.0          | +2.00      |
| Center                | 3.00         | +22.0      | 6.00       | +33.0       | 31.0          | +248       |
| Center                | 83.0         | +87.0      | 12.0       | +38.0       | 85.0          | +238       |
| Center                | 9.00         | -9.00      | 5.00       | -5.00       | 39.0          | -39.0      |
| Left                  | 5.00         | +3.00      | 4.00       | +22.0       | 34.0          | +45.0      |
| Left                  | 25.0         | -13.0      | 16.0       | +153        | 206           | +276       |
| Left                  | 9.00         | -7.50      | 2.00       | +4.50       | 25.0          | -4.00      |
| Left                  | 12.0         | +3.00      | 13.0       | +107        | 91.0          | +138       |
| Left                  | 136          | -72.0      | 18.0       | +55.0       | 315           | -142       |
| Left                  | 1.00         | +2.00      | 1.00       | +17.5       | 18.0          | +30.5      |
| Right                 | 6.00         | +48.5      | 4.00       | +21.0       | 32.0          | +172       |
| Right                 | 3.00         | +114       | 3.00       | +254        | 33.0          | +1.59 k    |
| Right                 | 1.00         | +42.0      | 1.00       | +13.0       | 11.0          | +78.0      |
| Right                 | 11.0         | +128       | 15.0       | +490        | 78.0          | +2.07 k    |
| Right                 | 106          | -22.0      | 22.0       | +28.0       | 122           | +158       |
| Right                 | 10.0         | +148       | 6.00       | +94.0       | 56.0          | +585       |
| Far Right             | 36.0         | +18.0      | 25.0       | +13.0       | 198           | +75.0      |
| Far Right             | 33.0         | +124       | 86.0       | +122        | 421           | +748       |
| Far Right             | 2.00         | +177       | 3.00       | +95.5       | 20.0          | +1.00 k    |
| Far Right             | 87.0         | +223       | 196        | +195        | 733           | +1.07 k    |
| Far Right             | 17.0         | +2.18 k    | 13.0       | +464        | 74.0          | +3.32 k    |
| Far Right             | 4.00         | +34.0      | 5.00       | +15.0       | 38.0          | +145       |

#### (b) Mean Interactions

| Political Affiliation | Comments (N) | (misinfo.) | Shares (N) | (misinfo.) | Reactions (N) | (misinfo.) |
|-----------------------|--------------|------------|------------|-------------|---------------|------------|
| Far Left              | 183          | +417       | 108        | +317        | 970           | +1.66 k    |
| Far Left              | 251          | +1.97 k    | 743        | +5.24 k     | 3.02 k        | +20.6 k    |
| Far Left              | 439          | +929       | 154        | +295        | 1.21 k        | +2.72 k    |
| Far Left              | 495          | +471       | 1.39 k     | +597        | 8.90 k        | -3.54 k    |
| Far Left              | 194          | +730       | 79.9       | +130        | 621           | +747       |
| Far Left              | 65.9         | +1.44 k    | 47.7       | +1.65 k     | 348           | +7.25 k    |
| Center                | 76.4         | +5.92      | 43.5       | +21.4       | 254           | +774       |
| Center                | 157          | -29.6      | 203        | +125        | 1.07 k        | +1.13 k    |
| Center                | 182          | -138       | 40.4       | -19.5       | 181           | -55.7      |
| Center                | 72.0         | +71.1      | 167        | +325        | 872           | +1.17 k    |
| Center                | 328          | +159       | 68.9       | +200        | 311           | +608       |
| Center                | 123          | -118       | 28.7       | -20.1       | 229           | -168       |
| Left                  | 129          | -83.6      | 71.1       | +139        | 585           | -164       |
| Left                  | 335          | -299       | 342        | -60.8       | 4.87 k        | -4.13 k    |
| Left                  | 313          | -308       | 253        | -229        | 2.05 k        | -1.97 k    |
| Left                  | 164          | -136       | 250        | +0.09       | 1.47 k        | -1.10 k    |
| Left                  | 850          | -357       | 147        | +123        | 1.78 k        | -1.01 k    |
| Left                  | 118          | -110       | 42.2       | -4.83       | 378           | -288       |
| Right                 | 142          | +294       | 73.1       | +350        | 446           | +1.57 k    |
| Right                 | 157          | +245       | 207        | +1.34 k     | 823           | +5.55 k    |
| Right                 | 158          | +446       | 104        | +528        | 664           | +2.95 k    |
| Right                 | 129          | +694       | 271        | +3.08 k     | 871           | +6.65 k    |
| Right                 | 580          | +117       | 126        | +199        | 797           | +402       |
| Right                 | 124          | +749       | 34.0       | +966        | 218           | +4.74 k    |
| Far Right             | 355          | +365       | 282        | +121        | 1.63 k        | +1.23 k    |
| Far Right             | 415          | +1.27 k    | 809        | +1.07 k     | 3.38 k        | +7.42 k    |
| Far Right             | 155          | +1.65 k    | 253        | +1.54 k     | 1.16 k        | +19.8 k    |
| Far Right             | 685          | +581       | 1.77 k     | +723        | 6.78 k        | +247       |
| Far Right             | 955          | +6.98 k    | 363        | +1.40 k     | 1.64 k        | +10.1 k    |
| Far Right             | 84.2         | +157       | 85.2       | +167        | 481           | +1.14 k    |

**Note:** The values in the (misinfo.) column represent the difference in interactions between posts from misinformation pages and non-misinformation pages. Positive values indicate higher interactions on misinformation pages, while negative values indicate lower interactions.
