# 2018年3月31日热点 - 勒索软件周：主要为小变种

## 译文声明
本文为翻译文章，具体内容及含义请以原文为准。译文仅供参考。

## 资讯类

### 勒索软件周 - 2018年3月30日：多数为小变种
来源：[Bleeping Computer](https://www.bleepingcomputer.com/news/security/the-week-in-ransomware-march-30th-2018-mostly-small-variants/)

### 配置错误的Django应用程序暴露了秘密API密钥和数据库密码
来源：[Bleeping Computer](https://www.bleepingcomputer.com/news/security/misconfigured-django-apps-are-exposing-secret-api-keys-database-passwords/)

### 报告：联网汽车可能对交通运输系统造成干扰

### AutoHotKey恶意软件现已成为现实威胁

## 技术类

### 探索Cobalt Strike的ExternalC2框架

### 有趣的闪存（和意外内存泄漏）

### Exodus钱包（基于ElectronJS框架）远程执行代码漏洞
来源：[CX Security](https://cxsecurity.com/issue/WLB-2018030249)

### 越狱iOS设备上全局开启WebView远程调试功能

### Faleemi Windows桌面软件中的本地缓冲区溢出问题
来源：[Exploit Database](https://www.exploit-db.com/exploits/44382/)

### 宜信漏洞管理平台‘洞察’

### QYKCMS后台任意文件上传与读取漏洞分析
来源：[微信公众号](https://mp.weixin.qq.com/s?__biz=MzA3NzE2MjgwMg==&mid=2448903645&idx=1&sn=bd058d8d8b35bcbe228590b287a668ca)
