# G0070: Dark Caracal

## Description
Dark Caracal, identified as a threat group, has been attributed to the Lebanese General Directorate of General Security (GDGS) and has been operational since at least 2012. (Citation: Lookout Dark Caracal Jan 2018)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | Defense Evasion, Execution | Scripting | Dark Caracal has used macros in Word documents that, when executed, download a second-stage payload. | Process monitoring, File monitoring, Process command-line parameters |
| Windows, Linux, macOS, SaaS | Initial Access | Drive-by Compromise | Dark Caracal leveraged watering hole attacks to serve up malicious code. | Packet capture, Network device logs, Process use of network, Web proxy, Network intrusion detection system, SSL/TLS inspection |
| Windows | Persistence | Registry Run Keys / Startup Folder | Dark Caracal's version of Bandook adds a registry key to `HKEY_USERS\Software\Microsoft\Windows\CurrentVersion\Run` for persistence. | Windows Registry, File monitoring |
| Linux, Windows, macOS | Execution | User Execution | Dark Caracal disguises their malware as legitimate software (e.g., Flash Player, Office, or PDF documents) to entice users to click on it. | Anti-virus, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows, GCP, AWS, Azure | Collection | Data from Local System | Dark Caracal collected the complete contents of the 'Pictures' folder from compromised Windows systems. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Defense Evasion, Execution | Compiled HTML File | Dark Caracal used a compiled HTML file containing a command to download and run an executable. | File monitoring, Process monitoring, Process command-line parameters |
| Windows, macOS, Linux | Initial Access | Spearphishing via Service | Dark Caracal conducted spearphishing attacks via Facebook and WhatsApp. | SSL/TLS inspection, Anti-virus, Web proxy |
| Linux, macOS, Windows | Discovery | File and Directory Discovery | Dark Caracal collected file listings of all default Windows directories. | File monitoring, Process monitoring, Process command-line parameters |
| Windows, macOS | Defense Evasion | Software Packing | Dark Caracal used UPX to pack Bandook. | Binary file metadata |
| Linux, macOS, Windows | Defense Evasion | Obfuscated Files or Information | Dark Caracal obfuscated strings in Bandook by base64 encoding and then encrypting them. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |
| Linux, macOS, Windows | Command and Control | Standard Application Layer Protocol | Dark Caracal's version of Bandook communicates with their server over a TCP port using HTTP payloads, which are Base64 encoded and suffixed with the string “&&&”. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Linux, macOS, Windows | Collection | Screen Capture | Dark Caracal took screenshots using their Windows malware. | API monitoring, Process monitoring, File monitoring |
| Android, iOS | Command and Control, Exfiltration | Standard Application Layer Protocol | Dark Caracal controls implants using standard HTTP communication. | - |
| Android, iOS | Initial Access | Deliver Malicious App via Other Means | Dark Caracal distributes Pallas via trojanized applications hosted on watering hole websites. | - |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) employed by Dark Caracal, along with the relevant data sources for detecting and mitigating these threats.
