以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 引用文献

1. **大规模远程JavaScript包含的评估**。CCS, 2012。
2. **Erlend Oftedal. Retire.js**。在线：https://retirejs.github.io/retire.js/，2019。
3. **Xiang Pan, Yinzhi Cao, Shuangping Liu, Yu Zhou, Yan Chen, and Tingzhe Zhou. CSPautogen: 基于黑盒的内容安全策略在实际在线环境中的强制执行**。CCS, 2016。
4. **Charles Reis, Alexander Moshchuk, and Nasko Oskov. 站点隔离：浏览器内网站的进程分离**。USENIX Security, 2019。
5. **Gregor Richards, Christian Hammer, Brian Burg, and Jan Vitek. The Eval That Men Do**。ECOOP, 2011。
6. **Sebastian Roth, Timothy Barron, Stefano Calzavara, Nick Nikiforakis, and Ben Stock. 复杂的安全策略？部署内容安全策略的纵向分析**。NDSS, 2020。
7. **Pratik Soni, Enrico Budianto, and Prateek Saxena. 西西里防御：基于签名的Web JavaScript白名单**。CCS, 2015。
8. **Sid Stamm, Brandon Sterne, and Gervase Markham. 通过内容安全策略约束Web**。WWW, 2010。
9. **Marius Steffens, Marius Musch, Martin Johns, and Ben Stock. SMURF开源版本**。在线：https://smurf-ndss.github.io/。
10. **Marius Steffens, Christian Rossow, Martin Johns, and Ben Stock. 不要信任本地用户：调查持续客户端跨站脚本攻击在野外的普遍性**。NDSS, 2019。
11. **Ben Stock, Stephan Pfißner, Bernd Kaiser, Sebastian Lekies, and Martin Johns. 从脸掌到脑弯：探索客户端跨站脚本攻击**。CCS, 2015。
12. **Ben Stock, Martin Johns, Marius Steffens, and Michael Backes. Web如何自我纠缠：揭示客户端Web（不）安全性历史**。USENIX Security, 2017。
13. **Tobias Urban, Martin Degeling, Thorsten Holz, and Norbert Pohlmann. 超越首页：测量第三方动态**。TheWebConf, 2020。
14. **Antoine Vastel, Peter Snyder, and Benjamin Livshits. 谁过滤了过滤器：理解众包广告拦截的增长、有用性和效率**。arXiv预印本 arXiv:1810.09160, 2018。
15. **W3C. 内容安全策略Level 2**。在线：https://www.w3.org/TR/CSP2/#changes-from-level-1，2016年12月。
16. **W3C. 使用'unsafe-hashes'**。在线：https://w3c.github.io/webappsec-csp/#unsafe-hashes-usage，2018年12月。
17. **Webshrinker. Webshrinker**。在线：https://www.webshrinker.com/，2020年5月。
18. **Lukas Weichselbaum, Michele Spagnuolo, Sebastian Lekies, and Artur Janc. CSP已死，CSP万岁！论白名单的安全性和内容安全策略的未来**。CCS, 2016。
19. **Michael Weissbacher, Tobias Lauinger, and William Robertson. CSP为何失败？CSP采纳的趋势和挑战**。RAID, 2014。
20. **Chuan Yue and Haining Wang. Web上不安全JavaScript实践的测量研究**。ACM TWEB, 2013。

### 结果概览

#### 表VI：最长链与最短路径

| 日期       | 最长链 | 最短路径 |
|------------|--------|----------|
| 2020-01-13 | 7      | 1        |
| 2020-01-20 | 8      | 1        |
| 2020-01-27 | 1      | 1        |
| 2020-02-03 | 1      | 1        |
| 2020-02-10 | 1      | 1        |
| 2020-02-17 | 1      | 1        |
| 2020-02-24 | 1      | 1        |
| 2020-03-02 | 1      | 1        |
| 2020-03-09 | 1      | 1        |
| 2020-03-16 | 1      | 1        |
| 2020-03-23 | 1      | 1        |
| 2020-03-30 | 1      | 1        |

虽然整体趋势保持稳定，但具体数字显示出总体下降的趋势。这主要是由于我们在分析期间无法连接到一些应用程序。

#### 表VII：最常见的第三方脚本及其内容变化

| 脚本位置                                                                 | 受影响站点数 | 发现版本数 |
|-------------------------------------------------------------------------|--------------|-------------|
| https://connect.facebook.net/en_US/sdk.js                               | 789          | 245         |
| https://www.googletagservices.com/tag/js/gpt.js                         | 641          | 91          |
| https://securepubads.g.doubleclick.net/tag/js/gpt.js                    | 336          | 69          |
| https://sb.scorecardresearch.com/beacon.js                              | 276          | 3           |
| https://connect.facebook.net/en_US/all.js                               | 186          | 177         |
| https://www.googleadservices.com/pagead/conversion_async.js             | 142          | 71          |
| https://pagead2.googlesyndication.com/pagead/show_companion_ad.js       | 109          | 37          |
| https://www.google.com/recaptcha/api.js                                 | 104          | 2           |
| https://connect.facebook.net/en_US/fbevents.js                          | 98           | 3           |
| https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101 | 95           | 2           |
| https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js          | 57           | 6           |
| https://www.youtube.com/iframe_api                                      | 50           | 2           |
| https://connect.facebook.net/en_US/sdk.js?hash=42272dd37ca5caf2a2797a1147783a65&ua=modern_es6 | 50           | 8           |
| https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914 | 48           | 2           |
| https://cse.google.com/adsense/search/async-ads.js                      | 48           | 2           |
| https://c.amazon-adsystem.com/aax2/apstag.js                            | 47           | 2           |
| https://connect.facebook.net/en_GB/sdk.js                               | 45           | 114         |
| https://connect.facebook.net/en_US/fbds.js                              | 43           | 89          |
| https://apis.google.com/js/platform.js                                  | 40           | 2           |
| https://connect.facebook.net/ja_JP/sdk.js                               | 36           | 84          |

此表展示了在我们的研究期间，内容发生变化的最常见第三方脚本。表格显示了受影响的应用程序数量以及在相应URL下观察到的不同脚本哈希值的数量。

---
