对设备是否加入了严格的权限控制，防止攻击者对设备进行连接调试，分析转账中功能实现部分，交易过程中本地数据读取等。
3.2.2 是否允许用户对设备存储区进行读写
对于设备存储区，是否有做严格加密，对存储区的权限控制是否严格，如不严格，则会被黑客进行拆机对存储区做分析提取数据。
3.2.3 是否允许用户对设备内存进行转储分析
对设备被调试是否有做检测，防止内存数据泄露，如未做相关设计，则会导致黑客进行数据采集和逆向分析。
3.2.4 是否采用加密芯片
私钥存储是否采用加密芯片保存相关信息，运行系统和私钥存储是否分离，如未采用，则安全性相对会低。
### 3.3业务功能实现机制
3.3.1设备使用密码设置
是否提醒用户设置解锁密码，解锁手势或指纹解锁，错误密码解锁时间周期，设备交易密码强度是否为较高，如未有完善的密码设置控制，则在设备丢失后无法被人直接进入查看个人隐私信息，进行交易。
3.3.2创建钱包助记词安全
新用户使用钱包时创建助记词，私钥过程是否安全，是否本地保存，本地保存如何来做，如相关功能设计未考虑安全性，则会导致相关数据被逆向调试分析泄露，对用户钱财造成损失。
3.3.3交易过程安全
对于收账地址是否完全显示，是否有验证地址被修改，如未校验，则容易使用户转账转错，钱财受到损失。。
3.3.4数据存储安全
有哪些数据是保存在存储设备上，私钥储存方式如何，是否保存在设备存储卡上，被外部获取，如相关功能设计不完善，则容易被黑客攻击。
3.3.5系统完整性安全
设备系统是否有严格的完整性校验，用于自检设备是否被人刷机，正品保障，否则容易在设备出厂经销地方被黑客或攻击者进行篡改。
## 四、总结
现阶段，市面上有大量良莠不齐的数字货币钱包存在，而不少开发团队在以业务优先的原则下，暂时对自身钱包产品的安全性并未做到足够的防护，一旦出现安全性问题会导致大量用户出现账户货币被盗，而由于数字货币实现的特殊性，被盗资产非常难以追回，因此钱包的安全性是至关重要的。我们团队会不断跟进钱包安全，为区块链生态安全贡献一份力量。
对于漏洞等级的相关说明，我们做了一下总结，如下表：
名称
| 等级 | 危害  
---|---|---  
助记词创建过程不安全 | 高级 | 助记词的创建过程如果允许被录屏，截屏等操作，会导致助记词被窃取  
助记词不安全存储 | 高级 | 助记词明文或者弱加密存储，黑客在拿到后可以暴力解密出来导致助记词被窃取  
私钥不安全生成 | 高级 | 私钥生成过程存在问题，导致攻击者可模拟私钥生成，造成私钥被窃取  
私钥不安全存储 | 高级 | 私钥使用不安全存储可能导致恶意应用获取到私钥，造成私钥被窃取  
硬件钱包助记词不安全存储 | 高级 | 助记词的不安全存储可能导致助记词被窃取  
转账地址可篡改 | 高级 | 如果恶意软件可以篡改转账地址将会导致用户将数字货币转到黑客账户  
服务器弱口令 | 高级 | 服务器使用弱口令，黑客极易拿下服务器权限  
硬件钱包系统漏洞攻击 | 高级 | 不进行定期扫描系统漏洞可能会存在漏洞，导致黑客攻击获取邮件钱包权限  
本地敏感信息不安全存储 | 中级 | 本地敏感信息不安全存储可能导致敏感信息的泄露  
钱包导入过程不安全 | 中级 | 钱包导入的时候如果允许录屏截屏会导致密钥泄露  
交易密码弱口令 | 中级 | 如果交易密钥使用弱口令，黑客可以暴力破解并操作账户  
用户输入不安全 | 中级 | 用户输入如果被黑客监听或者劫持，关键信息可能会被黑客猜测出来  
助记词/私钥回传 | 中级 | 数字钱包开发商将私钥/助记词等数据回传可能导致私钥/助记词的泄露  
查询越权 | 中级 | 如果用户数据在钱包服务器进行存储，越权漏洞会泄露用户信息  
未进行系统漏洞扫描 | 中级 | 未进行系统漏洞扫描，系统可能存在能被黑客利用的漏洞，可能被黑客窃取到关键数据  
域名解析被篡改 | 中级 | 域名解析被篡改会导致劫持  
钱包域名DNS污染 | 中级 | DNS被污染可能导致用户被劫持，可能被钓鱼窃取用户账户密码身份证等信息  
服务器未定期进行漏洞扫描 | 中级 | 服务器未定期做漏洞扫描可能会存在高危漏洞，导致被黑客入侵拿下权限  
