### 术语解释与优化

#### 非法信息交易
- **菜商**：通过非法手段获取公民个人信息，并批量出售给“金主”。
- **卡农**：非法收购银行卡，然后批量转售给“金主”。
- **话务员**：具体实施电信诈骗的团伙成员。他们通常接受“金主”的培训，并根据不同的层级扮演不同角色。
- **话术本**：包含诈骗套路的剧本，包括对话内容、辅助道具（如虚假网站、伪造图片）及表述方式等。

#### 兼职刷单诈骗
兼职刷单是目前最常见的诈骗类型之一。骗子通过发布网络广告招募刷单人员，承诺每完成一次任务即支付佣金和本金。然而，从第二单开始，骗子会以各种理由要求受害者继续付款购物，但不会返还任何资金。
- **外宣**：专门负责在社交媒体或群聊中发布兼职广告的人。
- **小白/肥羊**：指被兼职广告吸引并咨询如何刷单的潜在受害者。
- **主持**：在语音聊天群中负责维持秩序并分配任务的人。
- **老师**：负责培训外宣人员，并解答小白关于刷单流程的问题。
- **干饭**：高返利。
- **稀饭**：低返利。

#### 神药诈骗
- **马**：目标患者，类似于兼职诈骗中的“小白/肥羊”。
- **抓马**：确定目标后，派遣人员进行搭讪并推销所谓的神药。
- **垫蓝**：当受害者上钩后，诈骗者根据其穿着打扮和行为举止现场确定诈骗金额。如果受害者身上没有足够的现金，诈骗者会安排一个“好心人”为其垫付费用，这一过程称为“垫篮”。

#### 色情服务/诈骗
随着公安机关对涉黄犯罪的严厉打击，色情服务逐渐转向互联网平台，甚至出现了以提供色情服务为名进行连环诈骗的情况。
- **色粉**：通过发布带有色情暗示的内容吸引来的粉丝。
- **站街**：在线上通过技术手段模拟站街女的行为。
- **号商**：专门注册各大社交软件账号并养号出售的商家。
- **键盘手**：专业代聊人员（多为男性），冒充女性与受害人聊天并安排见面。
- **养火花**：键盘手成功吸引到目标后，与其建立感情联系的过程。
- **机房**：拥有一定数量键盘手，并为其提供住宿、培训等一条龙服务的组织，对外常自称公司。
- **散键盘**：独立从事代聊工作的自由职业者。
- **出台**：小姐提供的上门或外出色情服务。
- **楼凤**：隐匿在自己家中（自有或租住）提供色情服务的女人。
- **做局**：通过线上或线下手段实施诈骗的团伙。

#### 洗钱
- **水房**：专门从事洗钱活动的集团。
- **声佬**：水房内负责打电话、发信息、邮寄等工作的人，相当于业务员。
- **刷机佬**：负责使用POS机将赃款转移到网上结算中心。
- **接数佬**：负责联络“声佬”和“刷机佬”，确保各个环节顺畅运作。
- **卡佬**：负责买卖各类银行卡。
- **车手**：通过ATM机提取诈骗所得赃款，并从中抽取提成的人，因其常骑摩托车或电动车作案而得名。

#### 盗号养号
- **信封**：被盗QQ账号信息的集合。
- **信封号**：被盗的QQ账号。
- **取信**：获取QQ账号及其密码信息。
- **洗信**：筛选并套现被盗账号中有价值的信息，通常由专业的“洗信人”或“洗信工作室”完成。
    - **二手信**：经过初步处理后的被盗账号信息，通常以较小单位出售，在黑市上每个信封大约包含一千个账号。
        - **群发信**：用于向被盗账号的所有好友发送消息。
        - **广告信**：在QQ空间植入广告。
        - **忽悠信**：利用被盗账号向好友发送诈骗信息，如急需用钱或遭遇困境等。
        - **老信**：最终被榨干价值的QQ账号，可能被卖给黑客编写密码词典或邮件群发者。

#### 盗刷银行卡
盗刷银行卡是指犯罪分子通过非法手段获取银行卡信息后，复制卡片或在网上进行非法操作。
- **料**：主要指银行卡账号、密码、持卡人身份证号及绑定手机号四大类信息（CVV四大件）。
- **内料**：境内银行卡的四大件信息。
- **外料**：境外银行卡的四大件信息。
- **轨道料**：通过改装POS机获取的精准银行卡信息。
- **下料**：非法搜集CVV四大件信息。
- **洗料**：将诈骗所得资金进行转账、套现及洗白，涉及多种细分职业。
- **洗拦截料**：通过植入木马病毒截获用户手机验证码进而套现，属于洗料的一种方法。
- **挂马**：制作或出租木马病毒。
- **刷货**：利用复制银行卡实施盗刷的过程。
- **鹅场**：微信支付。
- **猫场**：支付宝。

#### 网络赌博
网络赌博指通过互联网（如赌博网站、博彩APP、微信群等）进行的非法赌博活动。由于此类活动不受法律保护，参与者往往不敢报警。
- **菠菜网站**：“菠菜”是“博彩”的谐音，指非法博彩网站，在世界杯期间尤为活跃。
- **出千**：在赌博过程中作弊。
- **埋雷**：在微信红包赌博群中，庄家利用外挂软件控制谁抢到特定金额的红包，以此牟利。
- **猪蹄**：“猪蹄”是“主推”的谐音，指赌博中介。

### 参考资料
\[1] 揭秘博彩黑产的支付江湖产业链，鄂西一农夫，https://mp.weixin.qq.com/s/Tq6kHYBQr3HPdxjQddgtSw  
\[2] 38个诈骗界最流行的“黑话”，这些黑话你都掌握了吗？，[C4rpeDime](https://cloud.tencent.com/developer/user/2638143)，https://cloud.tencent.com/developer/article/1348394  
\[3] 搞反诈需要知道的“术语（含黑话）”集合（2），明不可欺，https://mp.weixin.qq.com/s/ahm-eX8CMgtlYuReFhtG5w  
\[4] 互联网上的犯罪“黑话”（1），信息时代的犯罪侦查，https://mp.weixin.qq.com/s/cRcqjLorHWPlIrJlxhKb6w  
\[5] DataCon2020优秀解题思路分享：网络黑产方向，浙江大学matrix战队，https://datacon.qianxin.com/blog/archives/196
