 DOT1X_SMARTON_FAILURE,-IfName=[STRING]-MACAddr=[STRING]; User   failed SmartOn authentication because [STRING].,$1：接口名   $2：MAC地址   $3：失败原因，包括如下取值：   ·the password was wrong.：密码错误   ·the switch ID was wrong.：Switch ID错误,6,DOT1X/6/DOT1X_SMARTON_FAILURE:-IfName=GigabitEthernet1/0/4-MACAddr=0010-8400-22b9;   User failed SmartOn authentication because the password is mismatched.,SmartOn认证失败，及其原因,根据失败原因修改相关配置
 DOT1X_UNICAST_NOT_EFFECTIVE,The unicast trigger feature is enabled   but is not effective on interface [STRING].,$1：接口名,3,DOT1X/3/DOT1X_UNICAST_NOT_EFFECTIVE: The   unicast trigger feature is enabled but is not effective on interface   Ethernet3/1/2.,单播触发特性在接口上不生效，因为该接口不支持单播触发特性,更换到支持单播触发功能的接口上对用户进行802.1X认证
 DRNI_IFEVENT_DR_BIND,Interface [STRING] was assigned to DR   group [UINT32].,$1：二层聚合接口   $2：分布式聚合组编号,6,DRNI/6/DRNI_IFEVENT_DR_BIND: Interface   Bridge-Aggregation1 was assigned to DR group 1.,聚合接口加入分布式聚合组，触发该日志的原因为用户设置,无
 DRNI_IFEVENT_DR_GLOBALDOWN,The state of DR interface [STRING]   changed to globally down.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_DR_GLOBALDOWN: The   state of DR interface Bridge-Aggregation1 changed to globally down.,分布式聚合接口变为全局DOWN状态，触发该日志的原因为两台DR设备相同DR口的成员端口都变为未选中状态，则为全局DOWN状态,检查DR设备的系统配置，系统优先级、系统MAC地址、系统编号是否已配置且一致
 DRNI_IFEVENT_DR_GLOBALUP,The state of DR interface [STRING]   changed to globally up.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_DR_GLOBALUP: The   state of DR interface Bridge-Aggregation1 changed to globally up.,分布式聚合接口变为全局UP状态，触发该日志的原因为两台DR设备相同DR口中第一次有成员端口变为被选中状态，则为全局UP状态,无
 DRNI_IFEVENT_DR_NOSELECTED,Local DR interface [STRING] does not have   Selected member ports.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_DR_NOSELECTED: Local   DR interface Bridge-Aggregation1 does not have Selected member ports.,DR接口对应的聚合组内无选中端口,检查聚合组成员端口配置或者线缆连接情况
 DRNI_IFEVENT_DR_PEER_NOSELECTED,Peer DR interface [STRING] does not have   Selected member ports.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_DR_PEER_NOSELECTED:   Peer DR interface Bridge-Aggregation1 does not have Selected member ports.,对端DR接口对应的聚合组内无选中端口,检查对端聚合组成员端口配置或者线缆连接情况
 DRNI_IFEVENT_DR_PEER_SELECTED,Peer DR interface [STRING] has Selected   member ports.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_DR_PEER_SELECTED:   Peer DR interface Bridge-Aggregation1 has Selected member ports.,对端DR接口对应的聚合组内存在选中端口,无
 DRNI_IFEVENT_DR_SELECTED,Local DR interface [STRING] has Selected   member ports.,$1：二层聚合接口,6,DRNI/6/DRNI_IFEVENT_DR_SELECTED: Local DR   interface Bridge-Aggregation1 has Selected member ports.,DR接口对应的聚合组内存在选中端口,无
 DRNI_IFEVENT_DR_UNBIND,Interface [STRING] was removed from DR   group [UINT32].,$1：二层聚合接口   $2：分布式聚合组编号,6,DRNI/6/DRNI_IFEVENT_DR_UNBIND: Interface Bridge-Aggregation1   was removed from DR group 1.,聚合接口退出分布式聚合组，触发该日志的原因为用户设置,无
 DRNI_IFEVENT_IPP_BIND,Interface [STRING] was configured as IPP [UINT16].,$1：二层聚合接口   $2：IPP口编号,6,DRNI/6/DRNI_IFEVENT_IPP_BIND: Interface Bridge-Aggregation1   was configured as IPP 1.,聚合接口配置为IPP口，触发该日志的原因为用户设置,无
