### CSRF Defense in Web Frameworks

Below is a comprehensive table that outlines the status of Cross-Site Request Forgery (CSRF) defense mechanisms in various web frameworks. The legend provides the key to understanding the symbols and colors used in the table.

#### Legend:
- **=** CSRF defense
- **-** Not offered
- **Red** = No official CSRF defense
- **Blue** = CSRF defense via official external library
- **-** Already secure
- **F** Fixed
- **P** Fix in progress
- **N** Not confirmed (risk acceptance)
- **R** Under review
- **U** Unanswered
- **M** Not maintained anymore
- **Empty cell** = Not evaluated

---

| Web Framework  | JavaScript | Python | Java | PHP | C# |
|----------------|------------|--------|------|-----|----|
| #1             | Express    | Flask  | Spring | Laravel | ASP.NET Web Forms |
| #2             | Meteor     | Django | Play  | Symfony | ASP.NET MVC |
| #3             | Koa        | Tornado | Spark | Slim   | ASP.NET Core |
| #4             | Hapi       | Bottle  | Vert.x-Web | CakePHP | Service Stack |
| #5             | Sails      | Pyramid | Vaadin | Zend/Laminas | Nancy |
| #6             | Fastify    | Falcon  | Dropwizard | CodeIgniter | - |
| #7             | -          | Zope   | Blade  | FuelPHP | - |
| #8             | Total.js   | Masonite | ZK   | Yii2   | - |
| #9             | AdonisJs   | TurboGears | Apache Struts | Phalcon | - |
| #10            | -          | Web2py | Apache Wicket | Li3 | - |

#### CSRF Defense Status:

| Framework      | CSRF Defense Status |
|----------------|---------------------|
| Express        | P                   |
| Meteor         | U                   |
| Koa            | R                   |
| Hapi           | F                   |
| Sails          | -                   |
| Fastify        | N                   |
| Total.js       | M                   |
| AdonisJs       | -                   |
| Flask          | -                   |
| Django         | =                   |
| Tornado        | R                   |
| Bottle         | N                   |
| Pyramid        | P                   |
| Falcon         | F                   |
| Zope           | U                   |
| Masonite       | -                   |
| TurboGears     | R                   |
| Web2py         | N                   |
| Spring         | =                   |
| Play           | -                   |
| Spark          | R                   |
| Vert.x-Web     | N                   |
| Vaadin         | F                   |
| Dropwizard     | -                   |
| Blade          | U                   |
| ZK             | M                   |
| Apache Struts  | N                   |
| Apache Wicket  | -                   |
| Laravel        | =                   |
| Symfony        | =                   |
| Slim           | -                   |
| CakePHP        | F                   |
| Zend/Laminas   | -                   |
| CodeIgniter    | N                   |
| FuelPHP        | R                   |
| Yii2           | -                   |
| Phalcon        | P                   |
| Li3            | U                   |
| ASP.NET Web Forms | = |
| ASP.NET MVC    | =                   |
| ASP.NET Core   | =                   |
| Service Stack  | -                   |
| Nancy          | N                   |

This table provides a clear and concise overview of the CSRF defense status for each web framework, making it easier to understand the security posture of different frameworks.
