# 某某日志审计系统项目技术方案

**北京网御星云信息安全技术有限公司**

**日期：2014年2月 - 2014年9月**

## 目录
1. 项目概述
   1.1 日志管理面临的挑战
   1.2 日志审计系统的需求（补充用户需求）
   1.3 日志审计的意义
2. 日志审计方案设计分析
   2.1 设计原则
   2.2 实现目标分析
   2.3 日志审计技术原理分析
3. 日志审计系统解决方案
   3.1 系统总体设计
      3.1.1 系统概述
      3.1.2 系统结构
      3.1.3 系统组成
   3.2 系统功能设计
      3.2.1 综合展示
      3.2.2 工作台
      3.2.3 资产管理
      3.2.4 日志采集
      3.2.5 日志范式化与分类
      3.2.6 日志过滤与归并
      3.2.7 日志转发
      3.2.8 日志采集器管理
      3.2.9 日志代理
      3.2.10 日志存储
      3.2.11 关联分析
      3.2.12 日志实时监视
      3.2.13 日志统计分析
      3.2.14 日志查询
      3.2.15 日志导出
      3.2.16 规则告警
      3.2.17 报表管理
      3.2.18 参考知识管理
      3.2.19 级联管理
      3.2.20 权限管理
      3.2.21 系统管理
   3.3 系统功能特点
      3.3.1 高性能的日志管理技术架构
      3.3.2 详尽的日志范式化与日志分类
      3.3.3 集中化的日志综合审计
      3.3.4 可视化日志审计
      3.3.5 丰富灵活的报表报告
      3.3.6 对用户网络和业务影响最小
      3.3.7 友好的用户交互体验
      3.3.8 完善的系统自身安全性保证
      3.3.9 无缝向日志审计系统扩展
   3.4 运行环境
   3.5 性能设计
      3.5.1 采集性能
      3.5.2 传输性能
   3.6 安全设计
      3.6.1 加密传输
      3.6.2 自身日志采集
   3.7 系统部署
      3.7.1 单级部署
      3.7.2 审计中心双机热备部署
      3.7.3 多级部署
4. 项目实施计划
   4.1 成立项目小组
   4.2 第一次工程协调会
   4.3 设备交货
      4.3.1 到货验收
      4.3.2 施工准备
      4.3.3 第二次工程协调会
      4.3.4 系统实施
      4.3.5 系统测试
      4.3.6 定制开发测试、修订
      4.3.7 文档整理和现场培训
      4.3.8 终验
      4.3.9 技术支持
      4.3.10 培训计划
5. 项目管理方案
   5.1 项目管理标准
   5.2 质量管理
      5.2.1 质量管理的方法
      5.2.2 不合格品管理
      5.2.3 质量统计分析工具
      5.2.4 质量改进
      5.2.5 变更控制管理
      5.2.6 项目沟通管理
      5.2.7 项目成本管理
      5.2.8 项目风险管理
6. 项目咨询方案
   6.1.1 现场安装需求调研
   6.1.2 制定详细的实施技术方案
7. 售后服务计划
   7.1 网御星云服务支持体系
      7.1.1 组织结构
      7.1.2 服务流程
      7.1.3 售后服务分支机构
      7.1.4 售后服务人员
   7.2 网御星云质保期内的服务
      7.2.1 备品备件服务
      7.2.2 产品升级服务
      7.2.3 例行维护服务
