::: titlepage
# []{#assembly_understanding-the-ebpf-features-in-rhel_configuring-and-managing-networking.html#ref_overview-of-xdp-features-by-network-cards_assembly_understanding-the-ebpf-features-in-rhel}网卡的 XDP 功能概述 {.title}
:::
以下是支持 XDP 的网卡概述以及您可以在它们中使用的 XDP 功能：
::: informaltable
+---------+---------+-------+--------+---------+---------+---------+
| 网卡    | 驱动    | Basic | 重定向 | 目标    | HW      | Ze      |
|         |         |       |        |         | offload | ro-copy |
+:========+:========+:======+:=======+:========+:========+:========+
| Amazon  | `       | 是    | 是     | 是      | 否      | 否      |
| Elastic | ena`{.l |       |        |         |         |         |
| Network | iteral} |       |        |         |         |         |
| Adapter |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| B       | `bnxt   | 是    | 是     | 是      | 否      | 否      |
| roadcom | _en`{.l |       |        | [^\[a\  |         |         |
| NetXtr  | iteral} |       |        | ]^](#as |         |         |
| eme-C/E |         |       |        | sembly_ |         |         |
| 10/2    |         |       |        | underst |         |         |
| 5/40/50 |         |       |        | anding- |         |         |
| gigabit |         |       |        | the-ebp |         |         |
| E       |         |       |        | f-featu |         |         |
| thernet |         |       |        | res-in- |         |         |
|         |         |       |        | rhel_co |         |         |
|         |         |       |        | nfiguri |         |         |
|         |         |       |        | ng-and- |         |         |
|         |         |       |        | managin |         |         |
|         |         |       |        | g-netwo |         |         |
|         |         |       |        | rking.h |         |         |
|         |         |       |        | tml#ftn |         |         |
|         |         |       |        | .xdp-on |         |         |
|         |         |       |        | -interf |         |         |
|         |         |       |        | ace){#a |         |         |
|         |         |       |        | ssembly |         |         |
|         |         |       |        | _unders |         |         |
|         |         |       |        | tanding |         |         |
|         |         |       |        | -the-eb |         |         |
|         |         |       |        | pf-feat |         |         |
|         |         |       |        | ures-in |         |         |
|         |         |       |        | -rhel_c |         |         |
|         |         |       |        | onfigur |         |         |
|         |         |       |        | ing-and |         |         |
|         |         |       |        | -managi |         |         |
|         |         |       |        | ng-netw |         |         |
|         |         |       |        | orking. |         |         |
|         |         |       |        | html#xd |         |         |
|         |         |       |        | p-on-in |         |         |
|         |         |       |        | terface |         |         |
|         |         |       |        | .fo     |         |         |
|         |         |       |        | otnote} |         |         |
|         |         |       |        | [^      |         |         |
|         |         |       |        | \[b\]^] |         |         |
|         |         |       |        | (#assem |         |         |
|         |         |       |        | bly_und |         |         |
|         |         |       |        | erstand |         |         |
|         |         |       |        | ing-the |         |         |
|         |         |       |        | -ebpf-f |         |         |
|         |         |       |        | eatures |         |         |
|         |         |       |        | -in-rhe |         |         |
|         |         |       |        | l_confi |         |         |
|         |         |       |        | guring- |         |         |
|         |         |       |        | and-man |         |         |
|         |         |       |        | aging-n |         |         |
|         |         |       |        | etworki |         |         |
|         |         |       |        | ng.html |         |         |
|         |         |       |        | #ftn.re |         |         |
|         |         |       |        | quires- |         |         |
|         |         |       |        | queues- |         |         |
|         |         |       |        | ge-cpu- |         |         |
|         |         |       |        | index){ |         |         |
|         |         |       |        | #assemb |         |         |
|         |         |       |        | ly_unde |         |         |
|         |         |       |        | rstandi |         |         |
|         |         |       |        | ng-the- |         |         |
|         |         |       |        | ebpf-fe |         |         |
|         |         |       |        | atures- |         |         |
|         |         |       |        | in-rhel |         |         |
|         |         |       |        | _config |         |         |
|         |         |       |        | uring-a |         |         |
|         |         |       |        | nd-mana |         |         |
|         |         |       |        | ging-ne |         |         |
|         |         |       |        | tworkin |         |         |
|         |         |       |        | g.html# |         |         |
|         |         |       |        | require |         |         |
|         |         |       |        | s-queue |         |         |
|         |         |       |        | s-ge-cp |         |         |
|         |         |       |        | u-index |         |         |
|         |         |       |        | .fo     |         |         |
|         |         |       |        | otnote} |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Cavium  | `ni     | 是    | 否     | 否      | 否      | 否      |
| Thunder | cvf`{.l |       |        |         |         |         |
| Virtual | iteral} |       |        |         |         |         |
| f       |         |       |        |         |         |         |
| unction |         |       |        |         |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Intel®  | `i      | 是    | 是     | yes     | 否      | 是      |
| E       | 40e`{.l |       |        | [^\     |         |         |
| thernet | iteral} |       |        | [a\]^]( |         |         |
| Con     |         |       |        | #assemb |         |         |
| troller |         |       |        | ly_unde |         |         |
| XL710   |         |       |        | rstandi |         |         |
| Family  |         |       |        | ng-the- |         |         |
|         |         |       |        | ebpf-fe |         |         |
|         |         |       |        | atures- |         |         |
|         |         |       |        | in-rhel |         |         |
|         |         |       |        | _config |         |         |
|         |         |       |        | uring-a |         |         |
|         |         |       |        | nd-mana |         |         |
|         |         |       |        | ging-ne |         |         |
|         |         |       |        | tworkin |         |         |
|         |         |       |        | g.html# |         |         |
|         |         |       |        | ftn.xdp |         |         |
|         |         |       |        | -on-int |         |         |
|         |         |       |        | erface) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
|         |         |       |        | [       |         |         |
|         |         |       |        | ^\[b\]^ |         |         |
|         |         |       |        | ](#asse |         |         |
|         |         |       |        | mbly_un |         |         |
|         |         |       |        | derstan |         |         |
|         |         |       |        | ding-th |         |         |
|         |         |       |        | e-ebpf- |         |         |
|         |         |       |        | feature |         |         |
|         |         |       |        | s-in-rh |         |         |
|         |         |       |        | el_conf |         |         |
|         |         |       |        | iguring |         |         |
|         |         |       |        | -and-ma |         |         |
|         |         |       |        | naging- |         |         |
|         |         |       |        | network |         |         |
|         |         |       |        | ing.htm |         |         |
|         |         |       |        | l#ftn.r |         |         |
|         |         |       |        | equires |         |         |
|         |         |       |        | -queues |         |         |
|         |         |       |        | -ge-cpu |         |         |
|         |         |       |        | -index) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
+---------+---------+-------+--------+---------+---------+---------+
| Intel®  | `       | 是    | 是     | yes     | 否      | 是      |
| E       | Ice`{.l |       |        | [^\     |         |         |
| thernet | iteral} |       |        | [a\]^]( |         |         |
| Con     |         |       |        | #assemb |         |         |
| nection |         |       |        | ly_unde |         |         |
| E800    |         |       |        | rstandi |         |         |
| 系列    |         |       |        | ng-the- |         |         |
|         |         |       |        | ebpf-fe |         |         |
|         |         |       |        | atures- |         |         |
|         |         |       |        | in-rhel |         |         |
|         |         |       |        | _config |         |         |
|         |         |       |        | uring-a |         |         |
|         |         |       |        | nd-mana |         |         |
|         |         |       |        | ging-ne |         |         |
|         |         |       |        | tworkin |         |         |
|         |         |       |        | g.html# |         |         |
|         |         |       |        | ftn.xdp |         |         |
|         |         |       |        | -on-int |         |         |
|         |         |       |        | erface) |         |         |
|         |         |       |        | {.footn |         |         |
|         |         |       |        | oteref} |         |         |
|         |         |       |        | [       |         |         |
|         |         |       |        | ^\[b\]^ |         |         |
|         |         |       |        | ](#asse |         |         |
