# 从其他文档中重用内容
Id属性为策略分配了一个URI。QName命名也是允许的。

## 策略附加
### WSDL引用
- **Document Policy**: `wsdl:service` 描述了策略附件，该附件标识了策略。

## WSDL与WS-Policy
- **抽象和部署策略**：  
  - **PortType**（端口类型）是必需的。
  - **Abstract policy** 涉及操作（如输入消息、输出消息等）。
  - **Binding**（绑定）定义了具体的协议（例如SOAP/HTTP或IIOP）。
  - **Deployment QoS**（服务质量）策略支持服务端口。

## WS-Policy与SOAP
- **Policies** 定义了所遵循的服务质量协议。
- **wsse:X509v3** 头信息会出现在SOAP信封中。
- **QoS policies** 附属于服务或服务端点，代表协议。
- 示例：`MIIEZzCCA9Cg...`

## 使用WS-Policy
- 请求者发现提供者声明的质量需求，并相应地进行配置。
- 既可以在开发时也可以在运行时使用。
- 请求者可以搜索支持其QoS要求的服务。
- 在对等设置中，匹配器可以找到兼容的服务（对称发现场景）。
- 可以基于发布的策略制定合同。
- 政策匹配具有商业意义。

## 典型使用场景
- **简单SOA模型**：
  - WSDL描述或UDDI服务条目标识服务遵循的所有策略。
  - 服务请求者检查服务接口和策略，以确定其技术兼容性。
  - 这是一个静态模型，策略用于表示服务支持的技术堆栈。
  - “匹配”表示服务使用兼容的策略堆栈。
  - 通常会导致应用程序实现之间的隐式绑定。
  - 松耦合仅限于选择技术上等效的服务，并使用非功能性方面（如价格、评级等）。
  - SOA模型本质上引入了描述的发布和运行时选择。

## 动态中间件重新配置
- 有效的动态绑定需要中间件配置的运行时适应。
- J2EE专注于将中间件配置从代码开发人员转移到部署阶段。
- SOC要求进一步移动到运行时服务发现：
  - 无缝适应目标策略设置。
  - 从可能的选项中进行选择，并进行基本的策略协商。

## WS-Policy状态
- WS-Policy规范已发布，带有RF许可条款，详见：[IBM DeveloperWorks](http://www-106.ibm.com/developerworks/webservices/library/ws-polfram/summary.html)
- **WS-PolicyFramework** 和 **WS-PolicyAttachments** 将提交标准化。

## 服务元数据总结
- 明确的元数据是SOA的核心特征。
- 元数据必须完全定义服务合同，包括功能和非功能方面。
- WSDL和策略都是元数据的一部分。
- 元数据可以支持服务发现和工具化。
- 高级运行时可以从合同可变点获得更大的灵活性。

## 发现基础设施
- **注册表**：请求者在第三方中心目录中搜索提供者。
- **元数据交换**：请求者和提供者可以直接交换策略，无需第三方参与。

## WS-Metadata Exchange
- 目标：允许提供者根据个别请求者和交互自定义其策略。
- 请求者发送：
  - 身份和上下文信息。
  - 执行上下文可能隐式传输。
- 提供者返回一组策略或错误信息，以应用于交互。
- 如果任何一方无法处理另一方的策略，则应抛出“错误”。

## 更多关于元数据交换
- 在交互开始时进行。
- MDE模型是一种请求-响应交互，用于检索自定义策略。
- 一旦设置了策略，双方的中间件都必须能够处理动态发现的策略。
- 组件特性在启动时重新配置。
- 组件被重新配置以处理适用于交互的发现策略。
- 任何一方都可以在交互过程中随时发送未请求的策略。
- 特别适用于长时间运行的事务，在这些事务中，策略的变化是常见的。
