### 问题描述

我需要为 Ubuntu 上的 MySQL 获取正确的 AppArmor 配置文件。目前，我认为自己使用的配置文件可能已经过时（如下所示）。请问在哪里可以找到正确的配置文件？是否有权威来源提供标准的 AppArmor 配置文件？或者这些配置文件是否包含在 MySQL 源代码中？是否存在一种标准方法来更新这些配置文件，还是必须手动确定其内容？

例如：
```bash
sudo apparmor get-updated-profile-for mysql
```

#### 环境信息
- MySQL 5.7
- Ubuntu 16.04

#### 当前配置文件
```plaintext
/etc/apparmor.d$ cat usr.sbin.mysqld 
# vim:syntax=apparmor
# Last Modified: Tue Jun 19 17:37:30 2007
#include <tunables/global>

/usr/sbin/mysqld {
  #include <abstractions/base>
  #include <abstractions/nameservice>
  #include <abstractions/user-tmp>
  #include <abstractions/mysql>
  #include <abstractions/winbind>

  capability dac_override,
  capability sys_resource,
  capability setgid,
  capability setuid,

  network tcp,

  /etc/hosts.allow r,
  /etc/hosts.deny r,
  /etc/mysql/*.pem r,
  /etc/mysql/conf.d/ r,
  /etc/mysql/conf.d/* r,
  /etc/mysql/*.cnf r,
  /usr/lib/mysql/plugin/ r,
  /usr/lib/mysql/plugin/*.so* mr,
  /usr/sbin/mysqld mr,
  /usr/share/mysql/** r,
  /var/log/mysql.log rw,
  /var/log/mysql.err rw,
  /var/lib/mysql/ r,
  /var/lib/mysql/** rwk,
  /var/log/mysql/ r,
  /var/log/mysql/* rw,
  /var/run/mysqld/mysqld.pid rw,
  /var/run/mysqld/mysqld.sock w,
  /var/run/mysqld/mysqld.sock.lock rw,
  /run/mysqld/mysqld.pid rw,
  /run/mysqld/mysqld.sock w,
  /run/mysqld/mysqld.sock.lock rw,
  /sys/devices/system/cpu/ r,

  # Site-specific additions and overrides. See local/README for details.
  #include <local/usr.sbin.mysqld>
}
```

### 解决方案

通过在一个干净的 Ubuntu 服务器上安装 MySQL，可以获取到正确的配置文件。以下是当前的配置文件：

```plaintext
# vim:syntax=apparmor
# Last Modified: Tue Feb 09 15:28:30 2016
#include <tunables/global>

/usr/sbin/mysqld {
  #include <abstractions/base>
  #include <abstractions/nameservice>
  #include <abstractions/user-tmp>
  #include <abstractions/mysql>
  #include <abstractions/winbind>

  # 允许系统资源访问
  /sys/devices/system/cpu/ r,
  capability sys_resource,
  capability dac_override,
  capability setuid,
  capability setgid,

  # 允许网络访问
  network tcp,

  /etc/hosts.allow r,
  /etc/hosts.deny r,

  # 允许配置文件访问
  /etc/mysql/** r,

  # 允许 PID、Socket 和 Socket 锁文件访问
  /var/run/mysqld/mysqld.pid rw,
  /var/run/mysqld/mysqld.sock rw,
  /var/run/mysqld/mysqld.sock.lock rw,
  /run/mysqld/mysqld.pid rw,
  /run/mysqld/mysqld.sock rw,
  /run/mysqld/mysqld.sock.lock rw,

  # 允许执行服务器二进制文件
  /usr/sbin/mysqld mr,
  /usr/sbin/mysqld-debug mr,

  # 允许插件访问
  /usr/lib/mysql/plugin/ r,
  /usr/lib/mysql/plugin/*.so* mr,

  # 允许错误消息和字符集访问
  /usr/share/mysql/ r,
  /usr/share/mysql/** r,

  # 允许数据目录访问
  /var/lib/mysql/ r,
  /var/lib/mysql/** rwk,

  # 允许数据文件目录访问
  /var/lib/mysql-files/ r,
  /var/lib/mysql-files/** rwk,

  # 允许密钥环目录访问
  /var/lib/mysql-keyring/ r,
  /var/lib/mysql-keyring/** rwk,

  # 允许日志文件访问
  /var/log/mysql.err rw,
  /var/log/mysql.log rw,
  /var/log/mysql/ r,
  /var/log/mysql/** rw,

  # Site-specific additions and overrides. See local/README for details.
  #include <local/usr.sbin.mysqld>
}
```

### 总结

- **权威来源**：通常情况下，Ubuntu 的官方仓库会包含最新的 AppArmor 配置文件。你可以通过在新的 Ubuntu 服务器上安装 MySQL 来获取最新的配置文件。
- **更新方法**：如果你需要手动更新配置文件，可以参考上述最新的配置文件，并根据你的具体需求进行调整。

希望这能帮助你解决问题！
