# Java反序列化实战

## 作者简介
- **廖新喜**（@xxlegend），绿盟科技安全研究经理。
- 招聘信息：绿盟科技攻防实验室正在招聘，研究方向包括WebShell检测和安全大数据分析。联系邮箱：liaoxinxi[@]nsfocus.com 或 liwenjin[@]nsfocus.com。
- 个人经历：
  - 看雪大会讲师、Pycon大会讲师及央视专访嘉宾。
  - 向RedHat、Apache、Amazon、Weblogic、阿里等提交多份RCE漏洞报告。
  - 博客地址：[xxlegend.com](http://xxlegend.com)

## 反序列化入门
### 序列化与反序列化
- **序列化**：将对象转换为二进制串进行存储，对应方法是`writeObject`。
- **反序列化**：将二进制串转换回对象，对应方法是`readObject`。
- 类必须实现`Serializable`接口才能被序列化。

### 存储格式
- 常见的存储方式包括Base64编码（如rO0）、压缩后的Base64（如H4sl）以及MII等。
- 在Servlets HTTP、Sockets、Session管理器中常见的协议有JMX、RMI、JMS、JNDI等。
- XML相关库如Xstream、XMLDecoder通常在HTTP请求体中以`Content-Type: application/xml`的形式出现。
- JSON相关的库如Jackson和Fastjson则常见于HTTP请求中。

### 使用场景
- **Ysoserial**：生成原生序列化PoC工具。
- **Marshalsec**：生成第三方格式序列化PoC工具。
- **Freddy**：Burp插件，用于测试反序列化漏洞。
- **Java-Deserialization-Cheat-Sheet**：反序列化漏洞利用指南。

## Fastjson与Weblogic
### Fastjson简介
- **Fastjson**是由Alibaba开发的高性能JSON库，支持快速匹配算法，提供`toJsonString`和`parseObject`两个主要接口用于序列化和反序列化。
- 支持基于TemplateImpl和JNDI的反序列化攻击。
- PoC示例：[GitHub链接](https://github.com/shengqi158/fastjson-remote-code-execute-poc)
- 黑名单机制绕过案例：
  - 1.2.43版本：`com.sun.rowset.RowSetImp`
  - 1.2.41版本：`Lcom.sun.rowset.RowSetImpl;`
  - 1.2.42版本：`LLcom.sum.rowset.RowSetImpl;;`

### Weblogic介绍
- **Weblogic**是Oracle旗下的首个商业化J2EE应用服务器，支持标准化、模块化的组件，并通过T3协议与其他Oracle产品协同工作。
- 相关CVE编号及其描述：
  - **CVE-2015-4852**：涉及Commons-Collections库。
  - **CVE-2016-3510**：涉及MarshalledObject。
  - **CVE-2016-0638**：涉及StreamMessage。
  - **CVE-2017-3248**：涉及JRMPListener。
  - **CVE-2017-10271**：XMLDecoder绕过。
  - **CVE-2017-3506**：基于XMLDecoder。
  - **CVE-2018-2628**：基于JRMPClient。

## 反序列化防御策略
- **避免反序列化不可信数据**。
- **对反序列化数据加密签名**，确保解密发生在反序列化之前。
- **添加认证授权**到反序列化接口。
- **限制反序列化服务仅监听本地或启用防火墙**。
- **及时升级第三方库和JDK**，特别是关注JEP290补丁。

## 结语
尽管Oracle计划逐步放弃对反序列化的支持，但鉴于其历史重要性及广泛使用，非原生反序列化机制依然存在安全隐患。因此，持续的安全防护措施不可或缺。

- 关注微博和公众号获取更多资讯。
