User: 如何建立监控系统，实时监测网络流量？请列举常用的监控工具和其特点。
Assistant: 建立监控系统可以通过以下步骤来实现：

1. 确定监控需求：确定要监控的对象、监控目的、监控指标及监控方法。

2. 选择监控工具：根据监控需求选择具有实时监测网络流量能力的监控工具。

3. 安装监控工具：将选定的监控工具安装在需要监控的设备上。

4. 配置监控工具：根据监控需求配置监控工具，设置监控目标、监控指标和告警规则等。

5. 实时监测网络流量：启动监控工具并实时监测网络流量，对监测结果进行分析和统计，发现问题及时采取措施。

常用的监控工具包括：

1. Nagios：一个开源的网络监控系统，支持分布式监控和告警系统。

2. Zabbix：一个企业级的开源监控工具，支持实时监控网络流量和系统性能，并提供可视化报表以及告警功能。

3. Cacti：一个基于SNMP协议的图形化网络流量监控系统，可监测带宽使用情况、端口流量、网络设备状态等。

4. PRTG：一款商业化的网络监控软件，支持监测网络流量、数据库性能、服务器设备状态等，并提供可视化报表和告警功能。

5. SolarWinds：一款商业化的全面的网络监控软件，支持实时监测网络流量、服务器性能、应用程序性能等。具有可编程的报表系统和告警功能。
