尊敬的白帽子们：

为了进一步激发各位挖掘漏洞的热情，先知（安全情报）平台将继续举办12月“月度排行榜”活动。前10名的安全专家将获得由阿里提供的现金奖励。具体活动规则如下：

1. 活动时间：2016年12月1日至12月31日
2. 参与对象：所有在先知（安全情报）平台通过实名认证的白帽子
3. 活动规则：
   - 在活动期间，参与者需在先知平台上提交企业厂商或通用厂商的漏洞。
   - 提交的漏洞经审核通过后，参与者将根据其贡献获得相应的积分。
   - 积分最高的前10名白帽子将获得以下现金奖励：
     - 第一名：人民币10,000元
     - 第二名：人民币8,000元
     - 第三名：人民币7,000元
     - 第四名：人民币6,000元
     - 第五名：人民币5,000元
     - 第六名：人民币4,000元
     - 第七名：人民币3,000元
     - 第八名：人民币2,000元
     - 第九名：人民币1,000元
     - 第十名：人民币500元

4. 奖励发放：
   - 获奖者名单将于次年1月初在先知官网公布。
   - 奖金将在1月底（争取春节前）直接发放至获奖者的支付宝账户。

欢迎各位积极参与，为自己赢得一份丰厚的新年礼物！

先知团队敬上
