以下是经过优化的文本，使其更加清晰、连贯和专业：

---

### 温度监测记录

| 记录编号 | 设备编号 | 设备名称 | 设备类型 | 监测类型 | 时间戳 | 状态 | 详细信息 | 状态代码 | 备注 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1344 | 315096 | node-152 | node | temperature | 1138047991 | 1 | ambient=27 | E2 | ambient= |
| 1345 | 315071 | node-175 | node | temperature | 1138046940 | 1 | ambient=29 | E2 | ambient= |
| 1346 | 321202 | gige6 | gige | temperature | 1139481957 | 1 | warning | E46 | warning |
| 1347 | 321182 | gige3 | gige | temperature | 1139469899 | 1 | normal | E31 | normal |
| 1348 | 320143 | node-222 | node | temperature | 1139331900 | 1 | ambient=28 | E2 | ambient= |
| 1349 | 335435 | gige3 | gige | temperature | 1140254414 | 1 | normal | E31 | normal |
| 1350 | 334882 | node-231 | node | temperature | 1140199680 | 1 | ambient=28 | E2 | ambient= |
| 1351 | 334573 | node-241 | node | temperature | 1140184290 | 1 | ambient=27 | E2 | ambient= |
| 1352 | 334522 | node-239 | node | temperature | 1140174390 | 1 | ambient=26 | E2 | ambient= |
| 1353 | 334127 | node-231 | node | temperature | 1140143250 | 1 | ambient=25 | E2 | ambient= |
| 1354 | 334100 | node-51 | node | temperature | 1140142440 | 1 | ambient=30 | E2 | ambient= |
| 1355 | 333962 | node-43 | node | temperature | 1140139500 | 1 | ambient=35 | E2 | ambient= |
| 1356 | 333864 | node-145 | node | temperature | 1140138780 | 1 | ambient=32 | E2 | ambient= |
| 1357 | 333848 | node-168 | node | temperature | 1140138750 | 1 | ambient=29 | E2 | ambient= |
| 1358 | 333509 | node-168 | node | temperature | 1140135990 | 1 | ambient=35 | E2 | ambient= |
| 1359 | 333067 | gige7 | gige | temperature | 1140124268 | 1 | critical | E15 | critical |
| 1360 | 341488 | node-240 | node | temperature | 1140266130 | 1 | ambient=27 | E2 | ambient= |
| 1361 | 341499 | node-242 | node | temperature | 1140267870 | 1 | ambient=29 | E2 | ambient= |
| 1362 | 341605 | node-227 | node | temperature | 1140281700 | 1 | ambient=28 | E2 | ambient= |
| 1363 | 341711 | node-233 | node | temperature | 1140296011 | 1 | ambient=28 | E2 | ambient= |
| 1364 | 355102 | node-238 | node | temperature | 1140888121 | 1 | ambient=25 | E2 | ambient= |
| 1365 | 355008 | node-238 | node | temperature | 1140877380 | 1 | ambient=25 | E2 | ambient= |
| 1366 | 349339 | node-235 | node | temperature | 1140676800 | 1 | ambient=27 | E2 | ambient= |
| 1367 | 348402 | node-241 | node | temperature | 1140555150 | 1 | ambient=30 | E2 | ambient= |
| 1368 | 348398 | node-236 | node | temperature | 1140554910 | 1 | ambient=28 | E2 | ambient= |
| 1369 | 348173 | gige7 | gige | temperature | 1140469273 | 1 | critical | E15 | critical |
| 1370 | 348112 | node-238 | node | temperature | 1140446850 | 1 | ambient=25 | E2 | ambient= |
| 1371 | 366358 | gige6 | gige | temperature | 1141480585 | 1 | normal | E31 | normal |
| 1372 | 361170 | node-245 | node | temperature | 1141238460 | 1 | ambient=27 | E2 | ambient= |
| 1373 | 360990 | gige6 | gige | temperature | 1141136483 | 1 | normal | E31 | normal |
| 1374 | 360474 | node-236 | node | temperature | 1141005000 | 1 | ambient=25 | E2 | ambient= |
| 1375 | 360467 | node-114 | node | temperature | 1141003082 | 1 | ambient=28 | E2 | ambient= |
| 1376 | 381136 | node-88 | node | temperature | 1142037660 | 1 | ambient=33 | E2 | ambient= |
| 1377 | 380953 | node-21 | node | temperature | 1141983900 | 1 | ambient=36 | E2 | ambient= |
| 1378 | 380813 | node-98 | node | temperature | 1141951865 | 1 | ambient=30 | E2 | ambient= |
| 1379 | 379973 | node-48 | node | temperature | 1141835730 | 1 | ambient=36 | E2 | ambient= |
| 1380 | 379970 | node-63 | node | temperature | 1141834980 | 1 | ambient=33 | E2 | ambient= |
| 1381 | 379954 | gige6 | gige | temperature | 1141834439 | 1 | normal | E31 | normal |
| 1382 | 379511 | node-184 | node | temperature | 1141817851 | 1 | ambient=31 | E2 | ambient= |
| 1383 | 379230 | gige3 | gige | temperature | 1141762078 | 1 | normal | E31 | normal |
| 1384 | 374787 | node-91 | node | temperature | 1141676911 | 1 | ambient=27 | E2 | ambient= |
| 1385 | 372864 | node-34 | node | temperature | 1141676137 | 1 | ambient=26 | E2 | ambient= |
| 1386 | 371466 | gige3 | gige | temperature | 1141598132 | 1 | warning | E46 | warning |
| 1387 | 387363 | gige7 | gige | temperature | 1142103247 | 1 | critical | E15 | critical |
| 1388 | 401995 | gige4 | gige | temperature | 1142584554 | 1 | normal | E31 | normal |
| 1389 | 402021 | gige3 | gige | temperature | 1142592234 | 1 | normal | E31 | normal |
| 1390 | 402094 | node-37 | node | temperature | 1142615010 | 1 | ambient=33 | E2 | ambient= |
| 1391 | 402312 | gige7 | gige | temperature | 1142637295 | 1 | warning | E46 | warning |
| 1392 | 408247 | gige3 | gige | temperature | 1142754835 | 1 | normal | E31 | normal |
| 1393 | 416519 | node-159 | node | temperature | 1143214291 | 1 | ambient=36 | E2 | ambient= |
| 1394 | 415931 | node-84 | node | temperature | 1143096421 | 1 | ambient=33 | E2 | ambient= |
| 1395 | 415780 | gige3 | gige | temperature | 1143058438 | 1 | normal | E31 | normal |
| 1396 | 415395 | node-194 | node | temperature | 1142947861 | 1 | ambient=26 | E2 | ambient= |
| 1397 | 431593 | node-233 | node | temperature | 1143831330 | 1 | ambient=25 | E2 | ambient= |
| 1398 | 431548 | node-114 | node | temperature | 1143825180 | 1 | ambient=27 | E2 | ambient= |
| 1399 | 431421 | node-110 | node | temperature | 1143811410 | 1 | ambient=31 | E2 | ambient= |
| 1400 | 428615 | node-229 | node | temperature | 1143728610 | 1 | ambient=25 | E2 | ambient= |
| 1401 | 428555 | node-220 | node | temperature | 1143724650 | 1 | ambient=28 | E2 | ambient= |
| 1402 | 428281 | gige5 | gige | temperature | 1143696187 | 1 | warning | E46 | warning |
| 1403 | 426064 | gige6 | gige | temperature | 1143571810 | 1 | normal | E31 | normal |
| 1404 | 425832 | node-121 | node | temperature | 1143482567 | 1 | ambient=32 | E2 | ambient= |
| 1405 | 425772 | node-80 | node | temperature | 1143482491 | 1 | ambient=33 | E2 | ambient= |
| 1406 | 425740 | node-138 | node | temperature | 1143482449 | 1 | ambient=28 | E2 | ambient= |
| 1407 | 425701 | node-36 | node | temperature | 1143482413 | 1 | ambient=31 | E2 | ambient= |
| 1408 | 425504 | gige7 | gige | temperature | 1143447307 | 1 | critical | E15 | critical |
| 1409 | 425034 | gige3 | gige | temperature | 1143379144 | 1 | normal | E31 | normal |
| 1410 | 436350 | node-241 | node | temperature | 1143896370 | 1 | ambient=30 | E2 | ambient= |
| 1411 | 436394 | node-239 | node | temperature | 1143899370 | 1 | ambient=29 | E2 | ambient= |
| 1412 | 436897 | node-114 | node | temperature | 1143962820 | 1 | ambient=30 | E2 | ambient= |
| 1413 | 448165 | gige3 | gige | temperature | 1144567339 | 1 | normal | E31 | normal |
| 1414 | 445454 | gige6 | gige | temperature | 1144440503 | 1 | normal | E31 | normal |
