### 甲方威胁情报杂谈

#### 分享嘉宾
- **王伟 (alert7)**
  - Xfocus核心成员
  - 前McAfee高级研究员
  - 翰海源联合创始人&技术总监
  - 微博：_alert7_
  - 阿里安全归零实验室 功夫

#### 议程
1. 甲方威胁情报的尴尬
2. 甲方情报能力成熟度模型
3. 传统情报体系
4. 情报的一些特性
5. 把威胁情报卖给甲方

### 甲方威胁情报的尴尬

#### 现状的尴尬
- **2015年**：被称为威胁情报元年，各大甲方公司纷纷建立威胁情报团队。
- **2017年底**：听说许多甲方威胁情报团队解散。

#### 价值衡量的尴尬
- **正向业务（盈利）**：销售额/利润、装机量/用户数、建立优势。
- **负向业务（成本）**：内部保障、风险解决、内需。

#### 快速变化的风险与能力产品的尴尬
- 如果有产品化的想法，但一开始不知道如何实施，等到风险开始减小时，已经花费了20%的成本解决了80%的风险。此时是否还需要继续打造产品？
- 快速响应风险时，人工运营效率低下，能力沉淀不足，长远发展路径不明确。

#### 如何平衡？
- **风险 vs 产品**
- **位置的尴尬**：
  - 工作部分重叠
  - 是否具有核心竞争力

- **定位的尴尬**：
  - **保镖 vs 商业化**
  - **愿景 vs 战略/打法**
  - **项目/抓手**

### 甲方情报能力成熟度模型

#### 传统威胁情报的成熟度
- **情报能力的成熟度**：
  - 预测
  - 溯源调查
  - 源头识别
  - 影响评估
  - 识别事件（确认线索）

- **成熟度对比**：传统威胁情报 vs 情报能力

#### 正向安全与反向安全
- **正向安全**：SDL、安全管理规范、安全测试、杀病毒、IDS/IPS、防APT产品、防火墙、漏扫。
- **反向安全**：
  - 能否发现攻击和风险？
  - 能否快速止血？
  - 能否评估影响范围？
  - 能否知道是谁（人、资产等）意图是什么？
  - 能否预测下一步行动？

- **检测识别**
  - 源头识别
  - 评估影响
  - 快速止血
  - 溯源调查（人、资产、手法、产业链）
  - 预测
  - 看清大盘
  - 事件
  - 情报线索

### 传统情报体系

#### 情报学
- **萨尔基斯**：情报具有机密性。
- **汉德尔**：情报具备对抗性，反情报也是情报的组成部分。
- **谢尔曼-肯特**：
  - 作为名称，情报是知识。
  - 作为动词，情报基本活动分为收集、分析、反情报。
  - 情报 = 信息 + 分析结果。
  - 情报分析本质上是一场智力游戏。
  - 情报本质是用来降低不确定性的。

#### 传统情报工作的要素
- **情报收集**：人力情报、公开信息、技术情报、翻译、解密。
- **情报分析**：关联、推导。
- **反情报**：反谍、电子干扰、保密&加密、假情报、隐蔽行动、暴力支援、影响。
- **其他类型的情报**：声学情报、红外情报、激光情报、核情报、光学情报、雷达情报、地理空间情报、互联网深度情报。

#### 情报生成的过程
- **数据 → 信息 → 知识 → 智力**
  - 收集
  - 行动/决策
  - 分发流转
  - 序化
  - 破译
  - 评估
  - 反馈
  - 博大精深

### 情报的一些特性
- **需要对手**：情报是针对对手的。
- **更偏对外**：情报更多关注外部环境。
- **目标相关**：情报总是为了解决具体问题。
- **可行动性**：情报应该是可供行动使用的。
- **技术红利**：情报要充分利用技术优势。

#### 案例
- **CNCERT合作**：《最高检诈骗通报预警》

### 把威胁情报卖给甲方

#### IOC
- **卖贴业务的风险**：事件/线索
- **SaaS威胁情报服务**
- **源数据**
- **黑库**
- **风险情报**
- **数据**
- **能力**
- **个人提交**：ASRC
- **IP数据**
- **蜜罐代理数据**
- **暗网数据**
- **全网指纹**

### Q & A

通过以上优化，文本更加清晰、连贯和专业，结构也更为合理。希望这对你有所帮助！
