    I0512 09:28:31.605048   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.605826   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.606277   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.606822   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.607275   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.607747   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.608286   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.608954   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.613493   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.614224   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.614875   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.615406   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.615859   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.616381   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.616824   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.617335   14774 :1] &{bob 2 [] map[]} is acting as &{system:serviceaccount:default:default  [system:serviceaccounts system:serviceaccounts:default] map[]}
    I0512 09:28:31.617676   14774 etcd_utils.go:96] Deleting all etcd keys
    W0512 09:28:31.619153   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:31.619180   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:31.652898   14774 controller.go:262] Resetting endpoints for master service "kubernetes" to kind:"" apiVersion:"" 
    I0512 09:28:31.657752   14774 etcd_utils.go:96] Deleting all etcd keys
    W0512 09:28:31.659518   14774 abac.go:108] Policy file /tmp/auth_test388169203 contained unversioned rules. See docs/admin/authorization.md#abac-mode for ABAC file format details.
    W0512 09:28:31.660675   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:31.660699   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:31.693616   14774 controller.go:262] Resetting endpoints for master service "kubernetes" to kind:"" apiVersion:"" 
    I0512 09:28:31.704714   14774 etcd_utils.go:96] Deleting all etcd keys
    W0512 09:28:31.706815   14774 abac.go:108] Policy file /tmp/auth_test030420662 contained unversioned rules. See docs/admin/authorization.md#abac-mode for ABAC file format details.
    W0512 09:28:31.707368   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:31.707390   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:31.751120   14774 controller.go:262] Resetting endpoints for master service "kubernetes" to kind:"" apiVersion:"" 
    I0512 09:28:31.764410   14774 etcd_utils.go:96] Deleting all etcd keys
    W0512 09:28:31.765751   14774 abac.go:108] Policy file /tmp/auth_test596867229 contained unversioned rules. See docs/admin/authorization.md#abac-mode for ABAC file format details.
    W0512 09:28:31.767029   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:31.767054   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:31.799048   14774 controller.go:262] Resetting endpoints for master service "kubernetes" to kind:"" apiVersion:"" 
    I0512 09:28:31.803804   14774 etcd_utils.go:96] Deleting all etcd keys
    W0512 09:28:31.806652   14774 genericapiserver.go:259] Network range for service cluster IPs is unspecified. Defaulting to 10.0.0.0/24.
    I0512 09:28:31.806685   14774 genericapiserver.go:288] Node port range unspecified. Defaulting to 30000-32767.
    W0512 09:28:31.841011   14774 controller.go:262] Resetting endpoints for master service "kubernetes" to kind:"" apiVersion:"" 
