199.30.25.70 - - [12/Jun/2017:18:34:59 +0800] "GET /assets/js/colorbox/jquery.colorbox-zh-CN.js HTTP/1.1" 200 439 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "-" 0.000 -
199.30.25.3 - - [12/Jun/2017:18:35:00 +0800] "GET /assets/js/site.js HTTP/1.1" 200 2045 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "-" 0.000 -
66.249.64.193 - - [12/Jun/2017:18:36:18 +0800] "GET /docs/upload/ HTTP/1.1" 302 154 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-" 0.000 -
202.108.16.145 - - [12/Jun/2017:18:36:19 +0800] "POST /report HTTP/1.1" 200 37 "-" "Apache-HttpClient/4.2.5 (java 1.5)" "-" 0.001 0.001
66.249.64.219 - - [12/Jun/2017:18:36:19 +0800] "GET /docs/upload/ HTTP/1.1" 404 2798 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-" 0.000 -
42.159.27.156 - - [12/Jun/2017:18:36:29 +0800] "POST /report HTTP/1.1" 200 37 "-" "Apache-HttpClient/4.2.5 (java 1.5)" "-" 0.001 0.001
119.184.100.214 - - [12/Jun/2017:18:37:23 +0800] "GET /products/ HTTP/1.1" 200 8157 "http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-0478853856099881&output=html&h=90&slotname=8277880990&adk=2218711530&adf=2539016345&w=728&lmt=1497263947&flash=23.0.0&url=http%3A%2F%2Fwww.wocha.com%2FIP%2F192.168.1.134&wgl=1&dt=1497263947375&bpp=54&bdt=290&fdt=58&idt=247&shv=r20170605&cbv=r20170110&saldr=sa&correlator=2421597069313&frm=20&ga_vid=688742979.1497263948&ga_sid=1497263948&ga_hid=1619888607&ga_fc=0&pv=2&iag=3&icsg=2&nhd=1&dssz=2&mdo=0&mso=0&u_tz=480&u_his=1&u_java=1&u_h=900&u_w=1440&u_ah=870&u_aw=1440&u_cd=24&u_nplug=20&u_nmime=38&adx=322&ady=297&biw=1423&bih=753&abxe=1&eid=10593696%2C828064251%2C21060297&oid=3&ref=http%3A%2F%2Fwww.so.com%2Flink%3Furl%3Dhttp%253A%252F%252Fwww.wocha.com%252FIP%252F192.168.1.134%26q%3D192%2B168%2B1%2B134%26ts%3D1497263823%26t%3D0333183f8a9d18af12450eedfab0b21%26src%3Dhaosou&rx=0&eae=0&fc=528&brdim=0%2C93%2C0%2C93%2C1440%2C0%2C1440%2C753%2C1440%2C753&vis=1&rsz=%7C%7CeE%7C&abl=CS&ppjl=f&pfx=0&fu=8&bc=1&ifi=1&xpc=CxSpXrC0yd&p=http%3A//www.wocha.com&dtd=275" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
119.184.100.214 - - [12/Jun/2017:18:37:23 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
119.184.100.214 - - [12/Jun/2017:18:37:23 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
119.184.100.214 - - [12/Jun/2017:18:37:23 +0800] "GET /assets/js/site.js HTTP/1.1" 200 796 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
119.184.100.214 - - [12/Jun/2017:18:37:24 +0800] "GET /assets/img/rzy/production/subnav_bg.png HTTP/1.1" 200 1736 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
119.184.100.214 - - [12/Jun/2017:18:37:24 +0800] "GET /assets/img/rzy/production/subnav_bg_act.png HTTP/1.1" 200 2547 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
119.184.100.214 - - [12/Jun/2017:18:37:24 +0800] "GET /assets/img/rzy/small-icons.png HTTP/1.1" 200 72322 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.025 -
119.184.100.214 - - [12/Jun/2017:18:37:24 +0800] "GET /assets/img/rzy/product/advan-icons.png HTTP/1.1" 200 186133 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.071 -
141.8.142.66 - - [12/Jun/2017:18:37:25 +0800] "GET /about/partner.html HTTP/1.1" 404 2798 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "-" 0.000 -
119.184.100.214 - - [12/Jun/2017:18:37:25 +0800] "GET /assets/img/rzy/product/galaxy.png HTTP/1.1" 200 2162177 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 1.555 -
59.175.234.103 - - [12/Jun/2017:18:37:57 +0800] "POST /report HTTP/1.1" 200 37 "-" "Apache-HttpClient/4.2.5 (java 1.5)" "-" 0.001 0.001
139.199.149.193 - - [12/Jun/2017:18:38:51 +0800] "POST /report HTTP/1.1" 200 37 "-" "Apache-HttpClient/4.2.5 (java 1.5)" "-" 0.001 0.001
