### 3.15 ALL_SEQUENCES
The `ALL_SEQUENCES` view provides information about all user-defined sequences on which the user has SELECT or UPDATE privileges.

| Name             | Type    | Description                                                                 |
|------------------|---------|-----------------------------------------------------------------------------|
| sequence_owner   | TEXT    | User name of the sequence's owner.                                          |
| schema_name      | TEXT    | Name of the schema in which the sequence resides.                           |
| sequence_name    | TEXT    | Name of the sequence.                                                       |
| min_value        | NUMERIC | The lowest value that the server will assign to the sequence.               |
| max_value        | NUMERIC | The highest value that the server will assign to the sequence.              |
| increment_by     | NUMERIC | The value added to the current sequence number to create the next number.  |
| cycle_flag       | TEXT    | Specifies if the sequence should wrap when it reaches `min_value` or `max_value`. |
| order_flag       | TEXT    | Will always return 'Y'.                                                     |
| cache_size       | NUMERIC | The number of pre-allocated sequence numbers stored in memory.             |
| last_number      | NUMERIC | The value of the last sequence number saved to disk.                        |

### 3.16 ALL_SOURCE
The `ALL_SOURCE` view provides a source code listing of the following program types: functions, procedures, triggers, package specifications, and package bodies.

| Name           | Type    | Description                                                                 |
|----------------|---------|-----------------------------------------------------------------------------|
| owner          | TEXT    | User name of the program's owner.                                           |
| schema_name    | TEXT    | Name of the schema in which the program belongs.                            |
| name           | TEXT    | Name of the program.                                                        |
| type           | TEXT    | Type of program – possible values are: FUNCTION, PACKAGE, PACKAGE BODY, PROCEDURE, and TRIGGER. |
| line           | INTEGER | Source code line number relative to a given program.                        |
| text           | TEXT    | Line of source code text.                                                   |

### 3.17 ALL_SUBPART_KEY_COLUMNS
The `ALL_SUBPART_KEY_COLUMNS` view provides information about the key columns of those partitioned tables which are subpartitioned that reside in the database.

| Name            | Type              | Description                                                                 |
|-----------------|-------------------|-----------------------------------------------------------------------------|
| owner           | TEXT              | The owner of the table.                                                     |
| schema_name     | TEXT              | The name of the schema in which the table resides.                          |
| name            | TEXT              | The name of the table in which the column resides.                          |
| object_type     | CHARACTER(5)      | For compatibility only; always 'TABLE'.                                     |
| column_name     | TEXT              | The name of the column on which the key is defined.                         |
| column_position | INTEGER           | 1 for the first column; 2 for the second column, etc.                       |

### 3.18 ALL_SYNONYMS
The `ALL_SYNONYMS` view provides information on all synonyms that may be referenced by the current user.

| Name                | Type    | Description                                                                 |
|---------------------|---------|-----------------------------------------------------------------------------|
| owner               | TEXT    | User name of the synonym's owner.                                           |
| schema_name         | TEXT    | The name of the schema in which the synonym resides.                        |
| synonym_name        | TEXT    | Name of the synonym.                                                        |
| table_owner         | TEXT    | User name of the object's owner.                                            |
| table_schema_name   | TEXT    | The name of the schema in which the table resides.                          |
| table_name          | TEXT    | The name of the object that the synonym refers to.                          |
| db_link             | TEXT    | The name of any associated database link.                                   |

### 3.19 ALL_TAB_COLUMNS
The `ALL_TAB_COLUMNS` view provides information on all columns in all user-defined tables and views.

| Name              | Type              | Description                                                                 |
|-------------------|-------------------|-----------------------------------------------------------------------------|
| owner             | CHARACTER VARYING | User name of the owner of the table or view in which the column resides.    |
| schema_name       | CHARACTER VARYING | Name of the schema in which the table or view resides.                      |
| table_name        | CHARACTER VARYING | Name of the table or view.                                                  |
| column_name       | CHARACTER VARYING | Name of the column.                                                         |
| data_type         | CHARACTER VARYING | Data type of the column.                                                    |
| data_length       | NUMERIC           | Length of text columns.                                                     |
| data_precision    | NUMERIC           | Precision (number of digits) for NUMBER columns.                            |
| data_scale        | NUMERIC           | Scale of NUMBER columns.                                                    |
