### Ethical and Legal Issues in Research Using Illicit Datasets

#### Summary of Legal and Ethical Issues

The following table summarizes the legal and ethical issues, as well as the justifications provided by the authors for each paper. Legal issues are defined in §5, ethical issues in §4.3, and justifications in §7.3.

- **•** indicates that the legal issue is applicable (even if it was not discussed).
- **** indicates that the issue was discussed or the justification was used.
- **** indicates that the issue was not discussed or the justification was not used.
- **G** indicates that the authors decided the work could not be justified and did not use the dataset.
- In the REB approval column, **∅** means not applicable, and **E** means exempt.
- **Safeguards:**
  - SS: Secure Storage
  - P: Privacy
  - CS: Controlled Sharing
- **Harms:**
  - I: Illicit Measurement
  - PA: Potential Abuse
  - DA: De-Anonymization
  - SI: Sensitive Information
  - RH: Researcher Harm
  - BC: Behavioral Change
- **Benefits:**
  - R: Reproducibility
  - U: Uniqueness
  - DM: Defense Mechanisms
  - AT: Anthropology and Transparency

| Dataset                | Legal/ Ethical Issues | Justifications | Safeguards | Harms | Benefits | REB Approval |
|------------------------|-----------------------|----------------|------------|-------|----------|--------------|
| AT&T database          | • • •                 | 325            |            |       |          |              |
| Pushdo/Cutwail botnet  | 33 • • •             | 52 exploit kits|            |       |          |              |
| Carna Scan             | 373 malware pieces    | MS + 4 others  |            |       |          |              |
|                        | MS,RY + 6 others      | MS,YV,FB + 9 others| | | | |
|                        | MS,RY,YV              | MS,RY,FB       |            |       |          |              |
| Underground forums     | 8                     | 5 carding forums|           |       |          |              |
| TwBooter               | TwBooter, 36 others   | Asylum, Lizard, Vdos| | | | |
| Patreon                | Vdos, CMDBooter       | 6 underground forums| | | | |
| Manning Wikileaks      |                       | Snowden NSA leaks| | | | |
| I,PA,SI,RH             | R,U,DM                | DM,AT          | PA         |       |          |              |
| RH,BC                  | SI,BC                 | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
| SI,BC                  | SI                    | SI             | SI         |       |          |              |
